Detection Date,Run File Name,Sample ID,Cup Number,Auto Dilution Factor,Manual Dilution Factor,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration

2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,nitrite in water,S1,1,1,TN,ug N/L,2.26,31.1,1450,TP,ug P/L,0.0926,1.12,-15.1
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,nitrate in water,S2,1,1,TN,ug N/L,2.19,30.4,1420,TP,ug P/L,0.0931,1.16,-13.9
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,chk 25/260,17,1,1,TN,ug N/L,0.562,8.47,319,TP,ug P/L,0.142,2.46,28.3
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,chk1500/150,1,1,1,TN,ug N/L,2.46,31.4,1470,TP,ug P/L,0.348,5.73,138
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,water,S3,1,1,TN,ug N/L,-0.00285,0.0291,-83.6,TP,ug P/L,0.093,1.15,-14
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,bisulfate,S4,1,1,TN,ug N/L,0.0182,0.207,-75.3,TP,ug P/L,0.0201,0.187,-44.9
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,waterblank,20,1,1,TN,ug N/L,0.123,1.74,-2.84,TP,ug P/L,0.0876,1.56,-0.944
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,digestchk,25,1,1,TN,ug N/L,0.724,9.75,382,TP,ug P/L,0.158,2.74,37.8
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,spkblank,30,1,1,TN,ug N/L,0.48,6.51,225,TP,ug P/L,0.137,2.33,24.1
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,chk25/250,7,1,1,TN,ug N/L,0.515,7.01,249,TP,ug P/L,0.135,2.3,23.3
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S27_dilute,170,1,1,TN,ug N/L,0.266,3.67,88.5,TP,ug P/L,0.107,1.9,10.2
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S69_dilute,172,1,1,TN,ug N/L,0.231,3.52,81.4,TP,ug P/L,0.0942,1.61,0.687
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S102_dilute,174,1,1,TN,ug N/L,0.343,4.88,146,TP,ug P/L,0.111,1.95,11.6
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S2_rerun,36,1,1,TN,ug N/L,0.469,6.51,224,TP,ug P/L,0.195,3.36,58.2
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S7_reurn,41,1,1,TN,ug N/L,0.371,5.18,161,TP,ug P/L,0.319,5.38,126
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S14_rerun,50,1,1,TN,ug N/L,0.242,3.26,69.3,TP,ug P/L,0.0977,1.74,4.9
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S18_reurn,54,1,1,TN,ug N/L,0.996,13.6,572,TP,ug P/L,0.145,2.52,30.3
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S19_rr,55,1,1,TN,ug N/L,0.413,5.8,190,TP,ug P/L,0.106,1.87,9.32
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S20_rr,56,1,1,TN,ug N/L,0.519,7.21,258,TP,ug P/L,0.112,1.97,12.4
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S21_rr,59,1,1,TN,ug N/L,0.553,7.74,284,TP,ug P/L,0.131,2.27,22.1
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S22rr,60,1,1,TN,ug N/L,0.485,7.04,250,TP,ug P/L,0.174,2.99,46
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S25rr,63,1,1,TN,ug N/L,0.547,7.59,277,TP,ug P/L,0.105,1.81,7.16
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S26rr,64,1,1,TN,ug N/L,0.618,8.44,318,TP,ug P/L,0.133,2.32,23.9
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S30rr,68,1,1,TN,ug N/L,0.61,8.45,318,TP,ug P/L,0.243,4.14,84.4
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S32rr,72,1,1,TN,ug N/L,0.491,6.9,243,TP,ug P/L,0.193,3.3,56.3
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S39rr,79,1,1,TN,ug N/L,0.477,6.55,227,TP,ug P/L,0.117,2.1,16.5
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S41rr,83,1,1,TN,ug N/L,0.259,3.64,87.3,TP,ug P/L,0.111,1.93,11.2
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S43rr,85,1,1,TN,ug N/L,0.491,6.85,241,TP,ug P/L,0.108,1.93,11.2
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S47rr,89,1,1,TN,ug N/L,0.572,8.06,299,TP,ug P/L,0.127,2.17,18.9
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S49rr,91,1,1,TN,ug N/L,0.848,11.7,479,TP,ug P/L,0.144,2.41,26.8
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S50rr,92,1,1,TN,ug N/L,0.382,5.29,166,TP,ug P/L,0.101,1.79,6.49
2/22/2023,OM_2-22-2023_04-26-39PM BRN edit.omn,S54rr,98,1,1,TN,ug N/L,0.566,7.83,288,TP,ug P/L,0.129,2.27,22.3
