Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,co2_slope,co2_R2,co2_flux_umolCm2s,ch4_slope,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
FCR,50,2020-07-06T04:00:00Z,1,13:25:57,13:29:56,33.79,0.049,0.97,0.28,0.007,0.96,0.04,NA,NA
FCR,50,2020-07-06T04:00:00Z,2,13:41:05,13:45:04,37.1,0.073,0.99,0.412,0.008,0.99,0.045,NA,NA
FCR,50,2020-07-13T04:00:00Z,1,13:04:38,13:08:37,34.64,0.025,0.98,0.142,0.003,1,0.017,NA,NA
FCR,50,2020-07-20T04:00:00Z,1,11:02:32,11:06:31,37.14,-0.04,0.98,-0.226,0.004,0.99,0.023,NA,NA
FCR,50,2020-07-20T04:00:00Z,2,11:07:59,11:11:58,37.93,-0.061,0.98,-0.344,0.006,0.97,0.034,NA,NA
FCR,50,2020-07-27T04:00:00Z,1,09:58:59,10:02:58,30.6,-0.076,0.95,-0.438,0.011,0.95,0.063,NA,NA
FCR,50,2020-07-27T04:00:00Z,2,10:07:12,10:11:10,32.51,-0.078,0.99,-0.447,0.003,0.98,0.017,NA,NA
FCR,50,2020-08-10T04:00:00Z,1,13:26:51,13:30:50,38.33,-0.059,0.98,-0.332,0.004,0.96,0.023,NA,NA
FCR,50,2020-08-24T04:00:00Z,1,12:42:25,12:46:24,31.44,-0.025,0.97,-0.144,0.002,0.98,0.012,NA,NA
FCR,50,2020-08-24T04:00:00Z,2,12:54:21,12:58:20,33.02,-0.048,0.99,-0.275,0.004,1,0.023,NA,NA
FCR,50,2020-09-02T04:00:00Z,1,12:43:29,12:47:28,36.08,-0.013,0.92,-0.074,0.003,0.98,0.017,NA,NA
FCR,50,2020-09-02T04:00:00Z,2,12:55:18,12:59:17,36.91,-0.01,0.91,-0.057,0.002,0.98,0.011,NA,NA
FCR,50,2020-09-11T04:00:00Z,1,08:13:34,08:17:33,25.7,-0.05,0.99,-0.293,0.001,0.99,0.006,NA,NA
FCR,50,2020-09-11T04:00:00Z,2,08:22:17,08:26:16,27.09,-0.054,0.99,-0.315,0.001,0.96,0.006,NA,NA
FCR,50,2020-10-30T04:00:00Z,1,11:39:59,11:43:58,20.29,0.02,0.91,0.119,0.001,0.92,0.006,NA,NA
FCR,50,2020-10-30T04:00:00Z,2,11:51:48,11:55:47,20.55,0.044,0.98,0.263,-0,0,-0,NA,NA
