Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,co2_slope_ppmS,co2_R2,co2_flux_umolCm2s,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
FCR,50,2020-07-06T05:00:00Z,1,13:26:04,13:30:03,33.83,0.051,0.98,0.291,0.007,0.97,0.04,0,0
FCR,50,2020-07-06T05:00:00Z,2,13:41:15,13:45:14,37.13,0.072,0.99,0.407,0.008,0.99,0.045,0,0
FCR,50,2020-07-13T05:00:00Z,1,13:04:43,13:08:42,34.67,0.025,0.98,0.142,0.003,1,0.017,0,0
FCR,50,2020-07-13T05:00:00Z,2,13:11:33,13:15:32,36.2,0.046,0.85,0.261,0.005,0.86,0.028,0,0
FCR,50,2020-07-20T05:00:00Z,1,11:02:36,11:06:35,37.15,-0.04,0.98,-0.226,0.004,0.99,0.023,0,0
FCR,50,2020-07-20T05:00:00Z,2,11:08:08,11:12:07,37.94,-0.062,0.99,-0.349,0.007,0.98,0.039,0,0
FCR,50,2020-07-27T05:00:00Z,1,09:59:06,10:03:05,30.64,-0.077,0.95,-0.444,0.012,0.96,0.069,0,0
FCR,50,2020-07-27T05:00:00Z,2,10:07:18,10:11:16,32.53,-0.078,0.98,-0.447,0.003,0.98,0.017,0,0
FCR,50,2020-08-10T05:00:00Z,1,13:22:46,13:26:45,38.06,-0.029,0.59,-0.163,0.003,0.7,0.017,0,0
FCR,50,2020-08-10T05:00:00Z,2,13:26:36,13:30:35,38.32,-0.057,0.97,-0.321,0.004,0.95,0.023,0,0
FCR,50,2020-08-24T05:00:00Z,1,12:42:30,12:46:29,31.45,-0.025,0.97,-0.144,0.002,0.98,0.012,0,0
FCR,50,2020-08-24T05:00:00Z,2,12:54:33,12:58:32,33.04,-0.047,0.99,-0.269,0.004,1,0.023,0,0
FCR,50,2020-09-02T05:00:00Z,1,12:43:34,12:47:33,36.09,-0.013,0.92,-0.074,0.003,0.98,0.017,0,0
FCR,50,2020-09-02T05:00:00Z,2,12:55:37,12:59:36,36.93,-0.01,0.91,-0.057,0.002,0.99,0.011,0,0
FCR,50,2020-09-11T05:00:00Z,1,08:13:43,08:17:42,25.73,-0.05,0.99,-0.293,0.001,0.98,0.006,0,0
FCR,50,2020-09-11T05:00:00Z,2,08:22:30,08:26:29,27.12,-0.055,0.99,-0.321,0.001,0.96,0.006,0,0
FCR,50,2020-10-30T05:00:00Z,1,11:40:14,11:44:13,20.3,0.018,0.89,0.107,0.001,0.91,0.006,0,0
FCR,50,2020-10-30T05:00:00Z,2,11:51:45,11:55:44,20.55,0.045,0.98,0.269,-0.003,0.02,-0.018,0,0
