Reservoir,Site,DateTime,Flow_cms,Method
FCR,1,5/30/2019 12:00,0.05113,S
FCR,99,5/30/2019 12:00,0.0275854,S
FCR,100,5/30/2019 12:00,0.037759348,S
FCR,101,5/30/2019 12:00,0.034115104,S
FCR,102,5/30/2019 12:00,0.01090952,S
BVR,100,5/30/2019 12:00,0.002615699,S
BVR,200,5/30/2019 12:00,0.0060461,S
BVR,100,6/20/2019 12:00,0.007360629,S
BVR,200,6/20/2019 12:00,0.0045931,S
FCR,1,6/27/2019 12:00,0.00368925,S
FCR,99,6/27/2019 12:00,0.0148243,S
FCR,100,6/27/2019 12:00,0.016705778,S
FCR,101,6/27/2019 12:00,0.012802242,S
FCR,102,6/27/2019 12:00,1.28E-05,S
BVR,200,6/27/2019 12:00,0.00451909,S
FCR,1,7/18/2019 12:00,0.013062446,S
FCR,99,7/18/2019 12:00,0.005135225,S
FCR,100,7/18/2019 12:00,0.005134307,S
FCR,101,7/18/2019 12:00,0.004274691,S
FCR,102,7/18/2019 12:00,0.001146158,S
BVR,100,7/18/2019 12:00,0.004735426,S
BVR,200,7/18/2019 12:00,0.003221387,S
BVR,100,7/24/2019 12:00,0.009384452,S
BVR,200,7/24/2019 12:00,0.010486362,S
FCR,1,8/22/2019 12:00,0.009762845,S
FCR,99,8/22/2019 12:00,0.004152117,S
FCR,100,8/22/2019 12:00,0.004032924,S
FCR,101,8/22/2019 12:00,0.003163671,S
FCR,102,8/22/2019 12:00,0.000909201,S
BVR,100,8/22/2019 12:00,0.00402539,S
BVR,200,8/22/2019 12:00,0.002061457,S
FCR,200,8/22/2019 12:00,0.01161,V
FCR,200,9/2/2019 12:00,0.00594,V
FCR,1,10/4/2019 12:00,0.003118284,S
FCR,99,10/4/2019 12:00,0.002155302,S
FCR,101,10/4/2019 12:00,0.001733591,S
FCR,102,10/4/2019 12:00,0.001011647,S
BVR,100,10/4/2019 12:00,0.002258016,S
BVR,200,10/4/2019 12:00,0.000993843,S
FCR,200,10/4/2019 12:00,0,V
CCR,400,8/5/2020 12:00,0.002921122,B
CCR,400,8/19/2020 12:00,0.002859901,B
CCR,400,9/23/2020 12:00,0.000924602,B
CCR,501,9/23/2020 12:00,0.000924602,B
CCR,400,7/14/2021 12:00,0.002680434,B
CCR,301,9/23/2021 12:00,0.897434586,V
CCR,500,9/23/2021 12:00,3.260213591,V
CCR,400,10/14/2022 12:00,0.184970406,V
CCR,400,11/17/2022 12:00,0.941468254,V
