Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,co2_slope_ppmS,co2_R2,co2_flux_umolCm2s,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
FCR,50,2019-04-30T05:00:00Z,1,10:40:00,10:43:59,27.45,0.018,0.61,0.105,0.004,0.04,0.023,0,0
FCR,50,2019-04-30T05:00:00Z,2,10:55:41,10:59:40,29.27,0.053,0.97,0.307,0.015,0.96,0.087,0,0
