"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","co2_slope_ppmS","co2_R2","co2_flux_umolCm2s","ch4_slope_ppmS","ch4_R2","ch4_flux_umolCm2s","Flag_co2_flux_umolCm2s","Flag_ch4_flux_umolCm2s"
"BVR",50,2001-12-31,1,NA,NA,24.58,-0.052,0.1,-0.306,0.003,0.94,0.018,1,0
"BVR",50,2001-12-31,2,NA,NA,24.82,-0.06,0.11,-0.353,0.004,0.95,0.024,1,0
"BVR",1,2001-12-31,1,NA,NA,23.7,-0.052,0.3,-0.307,0.003,0.97,0.018,1,0
"BVR",1,2001-12-31,2,NA,NA,24.97,-0.038,0.13,-0.223,0.002,0.91,0.012,1,0
"BVR",50,2001-12-31,3,NA,NA,34.34,-0.035,0.25,-0.199,0.001,0.77,0.006,1,1
"BVR",50,2001-12-31,4,NA,NA,35.13,-0.032,0.09,-0.182,0.001,0.85,0.006,1,1
"BVR",1,2001-12-31,3,NA,NA,32.21,0.022,0.04,0.126,0.002,0.92,0.011,1,0
"BVR",1,2001-12-31,4,NA,NA,33.65,-0.012,0.02,-0.069,0.002,0.9,0.011,1,0
"BVR",50,2001-12-31,5,NA,NA,27.95,-0.049,0.26,-0.285,0.003,0.96,0.017,1,0
"BVR",50,2001-12-31,6,NA,NA,29.48,-0.061,0.18,-0.353,0.002,0.92,0.012,1,0
"BVR",1,2001-12-31,5,NA,NA,26.76,-0.037,0.08,-0.216,0.002,0.9,0.012,1,0
"BVR",1,2001-12-31,6,NA,NA,27.72,-0.028,0.08,-0.163,0.002,0.96,0.012,1,0
"BVR",50,2001-12-31,7,NA,NA,23.61,-0.019,0.03,-0.112,0.001,0.65,0.006,1,1
"BVR",50,2001-12-31,8,NA,NA,24.99,0.023,0.04,0.135,0.002,0.93,0.012,1,0
"BVR",1,2001-12-31,7,NA,NA,27.44,0.002,0,0.012,0.002,0.94,0.012,1,0
"BVR",1,2001-12-31,8,NA,NA,27.82,-0.014,0.02,-0.082,0.002,0.96,0.012,1,0
"BVR",50,2001-12-31,9,NA,NA,35.89,-0.055,0.77,-0.312,0.003,0.97,0.017,1,0
"BVR",50,2001-12-31,10,NA,NA,37.37,-0.047,0.67,-0.265,0.002,0.99,0.011,1,0
"BVR",1,2001-12-31,9,NA,NA,38.05,-0.05,0.66,-0.282,0.003,0.9,0.017,1,0
"BVR",1,2001-12-31,10,NA,NA,38.4,-0.075,0.72,-0.422,0.005,0.99,0.028,1,0
"BVR",1,2001-12-31,11,NA,NA,26.76,0.083,0.93,0.485,0.001,0.99,0.006,0,0
"BVR",1,2001-12-31,12,NA,NA,29.52,0.153,0.97,0.886,0.002,0.99,0.012,0,0
