"","Reservoir","Site","DateTime","Depth_m","Rep","ch4_umolL","co2_umolL","flag_ch4","flag_co2"
"1","FCR",50,2015-03-31,0.1,1,0.067583484,8.824011711,1,1
"2","FCR",50,2015-03-31,0.1,2,NA,NA,4,4
"3","FCR",50,2015-03-31,1.6,1,0.069565417,9.530102037,1,1
"4","FCR",50,2015-03-31,1.6,2,NA,NA,4,4
"5","FCR",50,2015-03-31,3.8,1,0.072427429,15.09666354,1,1
"6","FCR",50,2015-03-31,3.8,2,NA,NA,4,4
"7","FCR",50,2015-03-31,5,1,0.06799593,16.80452257,1,1
"8","FCR",50,2015-03-31,5,2,NA,NA,4,4
"9","FCR",50,2015-03-31,6.2,1,0.060762289,17.45537934,1,1
"10","FCR",50,2015-03-31,6.2,2,NA,NA,4,4
"11","FCR",50,2015-03-31,8,1,0.023887925,44.39053736,1,1
"12","FCR",50,2015-03-31,8,2,NA,NA,4,4
"13","FCR",50,2015-03-31,9,1,0.033123988,43.62333863,1,1
"14","FCR",50,2015-03-31,9,2,NA,NA,4,4
"15","FCR",100,2015-03-31,0.1,1,0.007076873,NA,1,1
"16","FCR",100,2015-03-31,0.1,2,NA,NA,4,4
"17","FCR",50,2015-04-07,0.1,1,0.006145841,9.855854077,1,1
"18","FCR",50,2015-04-07,0.1,2,NA,NA,4,4
"19","FCR",50,2015-04-07,1.6,1,0.103644874,11.99650889,1,1
"20","FCR",50,2015-04-07,1.6,2,NA,NA,4,4
"21","FCR",50,2015-04-07,3.8,1,0.124898943,15.85494329,1,1
"22","FCR",50,2015-04-07,3.8,2,NA,NA,4,4
"23","FCR",50,2015-04-07,5,1,0.044343269,18.4775959,1,1
"24","FCR",50,2015-04-07,5,2,NA,NA,4,4
"25","FCR",50,2015-04-07,6.2,1,0.027104599,48.09460188,1,1
"26","FCR",50,2015-04-07,6.2,2,NA,NA,4,4
"27","FCR",50,2015-04-07,8,1,0.022061956,46.58324216,1,1
"28","FCR",50,2015-04-07,8,2,NA,NA,4,4
"29","FCR",50,2015-04-07,9,1,0.036024573,45.82377887,1,1
"30","FCR",50,2015-04-07,9,2,NA,NA,4,4
"31","FCR",50,2015-04-13,0.1,1,0.179576596,24.58656451,1,1
"32","FCR",50,2015-04-13,0.1,2,NA,NA,4,4
"33","FCR",50,2015-04-13,1.6,1,0.193236302,13.28851214,1,1
"34","FCR",50,2015-04-13,1.6,2,NA,NA,4,4
"35","FCR",50,2015-04-13,3.8,1,0.096140334,17.9222348,1,1
"36","FCR",50,2015-04-13,3.8,2,NA,NA,4,4
"37","FCR",50,2015-04-13,5,1,0.036708328,25.94194966,1,1
"38","FCR",50,2015-04-13,5,2,NA,NA,4,4
"39","FCR",50,2015-04-13,6.2,1,0.041555333,35.69936501,1,1
"40","FCR",50,2015-04-13,6.2,2,NA,NA,4,4
"41","FCR",50,2015-04-13,8,1,0.05719717,46.08993002,1,1
"42","FCR",50,2015-04-13,8,2,NA,NA,4,4
"43","FCR",50,2015-04-13,9,1,0.064962983,51.36123556,1,1
"44","FCR",50,2015-04-13,9,2,NA,NA,4,4
"45","FCR",100,2015-04-13,0.1,1,0.007237602,10.13239256,1,1
"46","FCR",100,2015-04-13,0.1,2,NA,NA,4,4
"47","FCR",50,2015-04-21,0.1,1,0.241003561,12.2583711,1,1
"48","FCR",50,2015-04-21,0.1,2,0.237632362,NA,1,4
"49","FCR",50,2015-04-21,1.6,1,0.254142066,15.22438777,1,2
"50","FCR",50,2015-04-21,1.6,2,0.251932894,9.393853738,1,2
"51","FCR",50,2015-04-21,3.8,1,0.10825436,25.35282938,1,1
"52","FCR",50,2015-04-21,3.8,2,0.0917204,28.58509165,1,1
"53","FCR",50,2015-04-21,5,1,0.089833521,34.02764777,1,1
"54","FCR",50,2015-04-21,5,2,0.089760375,31.48732848,1,1
"55","FCR",50,2015-04-21,6.2,1,0.127363998,NA,1,4
"56","FCR",50,2015-04-21,6.2,2,0.108006374,32.00233244,1,1
"57","FCR",50,2015-04-21,8,1,0.132321369,48.67306654,1,1
"58","FCR",50,2015-04-21,8,2,0.149996723,48.04093002,1,1
"59","FCR",50,2015-04-21,9,1,0.114057396,53.0046861,1,1
"60","FCR",50,2015-04-21,9,2,0.11450917,50.16769831,1,1
"61","FCR",100,2015-04-21,0.1,1,0.008454873,14.70757962,1,1
"62","FCR",100,2015-04-21,0.1,2,0.009550961,19.32148459,1,1
"63","FCR",50,2015-04-28,0.1,1,0.162916661,16.98229371,1,1
"64","FCR",50,2015-04-28,0.1,2,0.160752807,19.43196907,1,1
"65","FCR",50,2015-04-28,1.6,1,0.173374622,13.36712252,1,2
"66","FCR",50,2015-04-28,1.6,2,0.176715776,23.85448942,1,2
"67","FCR",50,2015-04-28,3.8,1,0.176832465,13.11805644,1,1
"68","FCR",50,2015-04-28,3.8,2,0.174483673,15.96417556,1,1
"69","FCR",50,2015-04-28,5,1,0.044909432,46.01534015,1,1
"70","FCR",50,2015-04-28,5,2,0.045802613,49.14017712,1,1
"71","FCR",50,2015-04-28,6.2,1,0.028721918,57.21681217,1,1
"72","FCR",50,2015-04-28,6.2,2,0.029960486,50.78311268,1,1
"73","FCR",50,2015-04-28,8,1,0.021151172,93.15559162,1,1
"74","FCR",50,2015-04-28,8,2,0.023138023,99.98805382,1,1
"75","FCR",50,2015-04-28,9,1,0.048912913,75.20924851,1,1
"76","FCR",50,2015-04-28,9,2,0.049136084,69.02209338,1,1
"77","FCR",100,2015-04-28,0.1,1,0.00769067,12.25840037,1,1
"78","FCR",100,2015-04-28,0.1,2,0.008349372,9.541581788,1,1
"79","FCR",50,2015-05-05,0.1,1,0.22601984,12.59391585,1,1
"80","FCR",50,2015-05-05,0.1,2,0.238272845,5.055046227,1,1
"81","FCR",50,2015-05-05,1.6,1,0.229518981,10.50958823,1,1
"82","FCR",50,2015-05-05,1.6,2,0.228352818,11.50402842,1,1
"83","FCR",50,2015-05-05,3.8,1,0.247494096,18.23279425,1,1
"84","FCR",50,2015-05-05,3.8,2,0.235477601,16.18901918,1,1
"85","FCR",50,2015-05-05,5,1,0.139902549,28.59494753,1,1
"86","FCR",50,2015-05-05,5,2,0.151496511,25.30710006,1,1
"87","FCR",50,2015-05-05,6.2,1,0.028920794,55.86685657,1,1
"88","FCR",50,2015-05-05,6.2,2,0.03186702,57.67177644,1,1
"89","FCR",50,2015-05-05,8,1,0.052064588,51.10499522,1,1
"90","FCR",50,2015-05-05,8,2,NA,NA,4,4
"91","FCR",50,2015-05-05,9,1,0.307416682,63.08039518,1,1
"92","FCR",50,2015-05-05,9,2,0.334588187,55.99548389,1,1
"93","FCR",100,2015-05-05,0.1,1,0.010733669,11.6463859,1,1
"94","FCR",100,2015-05-05,0.1,2,0.009512398,11.49386285,1,1
"95","FCR",50,2015-05-11,0.1,1,0.383661941,8.709729543,1,1
"96","FCR",50,2015-05-11,0.1,2,0.354324007,9.148845268,1,1
"97","FCR",50,2015-05-11,1.6,1,0.401719774,7.726840093,1,1
"98","FCR",50,2015-05-11,1.6,2,0.417298799,8.300552639,1,1
"99","FCR",50,2015-05-11,3.8,1,0.270875873,10.45098105,1,1
"100","FCR",50,2015-05-11,3.8,2,NA,NA,4,4
"101","FCR",50,2015-05-11,5,1,0.100766975,31.3563743,1,1
"102","FCR",50,2015-05-11,5,2,NA,NA,4,4
"103","FCR",50,2015-05-11,6.2,1,0.042163766,67.74107276,1,2
"104","FCR",50,2015-05-11,6.2,2,0.041319995,135.7525699,1,2
"105","FCR",50,2015-05-11,8,1,0.06705773,62.01700256,1,2
"106","FCR",50,2015-05-11,8,2,0.078475589,137.9066736,1,2
"107","FCR",50,2015-05-11,9,1,0.049856309,77.59247609,1,1
"108","FCR",50,2015-05-11,9,2,0.0505955,79.60843426,1,1
"109","FCR",100,2015-05-11,0.1,1,0.012864483,11.02084416,1,1
"110","FCR",100,2015-05-11,0.1,2,0.014321397,11.35547063,1,1
"111","FCR",50,2015-05-18,0.1,1,0.370087007,8.917637907,1,1
"112","FCR",50,2015-05-18,0.1,2,0.378443738,9.424471958,1,1
"113","FCR",50,2015-05-18,1.6,1,0.5376097,7.829327326,1,1
"114","FCR",50,2015-05-18,1.6,2,0.557699399,7.577334668,1,1
"115","FCR",50,2015-05-18,3.8,1,0.608418483,15.7128051,1,1
"116","FCR",50,2015-05-18,3.8,2,0.586880225,15.61294976,1,1
"117","FCR",50,2015-05-18,5,1,0.191766032,48.55022526,1,1
"118","FCR",50,2015-05-18,5,2,0.174677381,51.2062021,1,1
"119","FCR",50,2015-05-18,6.2,1,0.186243729,53.16097102,1,1
"120","FCR",50,2015-05-18,6.2,2,0.184131822,56.47744353,1,1
"121","FCR",50,2015-05-18,8,1,0.041173613,83.10507498,1,1
"122","FCR",50,2015-05-18,8,2,0.047014706,92.73909143,1,1
"123","FCR",50,2015-05-18,9,1,0.036778267,92.61453642,1,1
"124","FCR",50,2015-05-18,9,2,0.04025631,93.7118657,1,1
"125","FCR",100,2015-05-18,0.1,1,0.015648474,8.052448348,1,2
"126","FCR",100,2015-05-18,0.1,2,0.015559363,12.99977891,1,2
"127","FCR",50,2015-05-25,0.1,1,0.380037996,8.502661814,1,1
"128","FCR",50,2015-05-25,0.1,2,0.371580418,8.274910202,1,1
"129","FCR",50,2015-05-25,1.6,1,0.482055389,8.978601449,1,1
"130","FCR",50,2015-05-25,1.6,2,0.463463848,8.522475573,1,1
"131","FCR",50,2015-05-25,3.8,1,0.772444059,15.39594734,1,1
"132","FCR",50,2015-05-25,3.8,2,0.771809861,11.8521823,1,1
"133","FCR",50,2015-05-25,5,1,0.371395807,48.13533722,1,1
"134","FCR",50,2015-05-25,5,2,0.390281653,48.4403862,1,1
"135","FCR",50,2015-05-25,6.2,1,0.251956538,60.88743769,1,1
"136","FCR",50,2015-05-25,6.2,2,0.277393713,63.29462644,1,1
"137","FCR",50,2015-05-25,8,1,0.040797825,108.921007,1,1
"138","FCR",50,2015-05-25,8,2,0.039196097,101.6604257,1,1
"139","FCR",50,2015-05-25,9,1,0.060465918,89.21554625,1,1
"140","FCR",50,2015-05-25,9,2,0.07123159,93.25691055,1,1
"141","FCR",100,2015-05-25,0.1,1,0.02053071,16.9549638,1,1
"142","FCR",100,2015-05-25,0.1,2,0.017392186,13.62340188,1,1
"143","FCR",50,2015-06-01,0.1,1,0.516678474,9.40532302,1,2
"144","FCR",50,2015-06-01,0.1,1,0.486077911,8.264037778,1,1
"145","FCR",50,2015-06-01,0.1,2,0.50498123,6.995644995,1,2
"146","FCR",50,2015-06-01,0.1,2,0.447158209,7.808955281,1,1
"147","FCR",50,2015-06-01,1.6,1,0.47363193,5.358141679,1,1
"148","FCR",50,2015-06-01,1.6,1,0.54769244,7.932126015,1,1
"149","FCR",50,2015-06-01,1.6,2,0.472577546,8.074320654,1,1
"150","FCR",50,2015-06-01,1.6,2,NA,NA,4,4
"151","FCR",50,2015-06-01,3.8,1,0.6494173,NA,1,4
"152","FCR",50,2015-06-01,3.8,1,0.653936548,9.681900726,1,1
"153","FCR",50,2015-06-01,3.8,2,0.512179304,24.32429317,1,1
"154","FCR",50,2015-06-01,3.8,2,0.511200151,24.13298138,1,1
"155","FCR",50,2015-06-01,5,1,0.309513518,40.36305124,1,2
"156","FCR",50,2015-06-01,5,1,0.274934755,37.34998534,1,2
"157","FCR",50,2015-06-01,5,2,0.37804587,27.28057515,1,2
"158","FCR",50,2015-06-01,5,2,0.375330441,23.69043566,1,2
