Pic_File_Name,DateTime,Date,Time,GageHeight_cm,Notes
10_Jun_19,2019-06-10 11:15:00,6/10/2019,11:14,22.5,NA
24_Jun_19,2019-06-24 13:00:00,6/24/2019,12:56,15,NA
R_Script,2019-06-27 15:45:00,6/27/2019,15:49,14.9,NA
8_Jul_19,2019-07-08 13:45:00,7/8/2019,13:48,12,NA
22_Jul_19,2019-07-22 14:15:00,7/22/2019,14:19,10,NA
12_Aug_19,2019-08-12 13:30:00,8/12/2019,13:21,12.5,NA
28_Aug_19,2019-08-28 16:30:00,8/28/2019,16:24,10,NA
27_Sep_19,2019-09-27 15:00:00,9/27/2019,14:53,8,NA
30_Oct_19,2019-10-30 13:00:00,10/30/2019,12:56,9,NA
6_Dec_19,2019-12-06 12:30:00,12/6/2019,12:26,13.5,Weir_obstructed_by_leaves_and_branches
29_Feb_20,2020-02-29 11:30:00,2/29/2020,11:30,10.5,No_data_as_of_02_Mar_2020
24_Mar_20,2020-03-24 12:45:00,3/24/2020,12:45,10.5,No_time_associated_with_picture
30_Mar_20,2020-03-30 17:30:00,3/30/2020,17:33,10.5,NA
20_Apr_20,2020-04-20 14:00:00,4/20/2020,14:00,25,Noted_erosion_on_side_of_weir_Obstructed_by_branches_No_time_associated_with_picture
22_Apr_20,2020-04-22 12:30:00,4/22/2020,12:33,22.2,Erosion_on_side_of_weir_Shored_up_side_of_weir
11_May_20,2020-05-11 15:00:00,5/11/2020,15:02,21,NA
18_May_20,2020-05-18 12:30:00,5/18/2020,12:29,20,No_data_from_WVWA
25_May_20,2020-05-25 13:45:00,5/25/2020,13:48,30,Weir_topped
12_Jun_20,2020-06-12 13:15:00,6/12/2020,13:15,28.5,Weir_topped
06_Jul_20,2020-07-06 15:15:00,7/6/2020,15:10,28,Weir_topped
10_Aug_20,2020-08-10 12:00:00,8/10/2020,NA,NA,Weir_completely_washed_out_No_water
13_Aug_20,2020-08-13 12:00:00,8/13/2020,NA,NA,Sensors_removed_from_weir
24_Aug_20,2020-08-24 16:00:00,8/24/2020,15:46,12,Sensors_Moved_Post_Construction
02_Sep_20_PreMove,2020-09-02 13:00:00,9/2/2020,13:00,14.5,NA
02_Sep_20_PostMove,2020-09-02 15:00:00,9/2/2020,15:00,14.5,Sensors_Moved
09_Sep_20,2020-09-09 14:15:00,9/9/2020,14:00,10,No_time_associated_with_picture
13_Sep_20,2020-09-13 12:00:00,9/13/2020,12:00,10.2,No_time_associated_with_picture
15_Sep_20,2020-09-15 15:00:00,9/15/2020,15:00,10,No_time_associated_with_picture
16_Sep_20,2020-09-16 16:00:00,9/16/2020,16:00,10,No_time_associated_with_picture
30_Sep_20,2020-09-30 13:30:00,9/30/2020,13:22,12.8,No_time_associated_with_picture
05_Oct_20,2020-10-05 15:45:00,10/5/2020,15:37,10,No_time_associated_with_picture
19_Oct_20,2020-10-19 16:30:00,10/19/2020,16:30,10,No_time_associated_with_picture
02_Nov_20,2020-11-02 13:15:00,11/2/2020,13:08,15,NA
09_Nov_20,2020-11-09 13:15:00,11/9/2020,13:14,11.3,No_time_associated_with_picture
27_Dec_20,2020-12-27 13:15:00,12/27/2020,13:15,23,Weir_obstructed_by_branches_No_time_associated_with_picture
07_Jan_21,2021-01-07 09:00:00,1/7/2021,10:30,20,
