"","Pic_File_Name","DateTime","Date","Time","GageHeight_cm","Notes","VT_Pressure_psia","VT_Temp_C"
"1","10_Jun_19",2019-06-10 11:15:00,"6/10/2019",11:14:00,22.5,NA,0.409,"19.46"
"2","24_Jun_19",2019-06-24 13:00:00,"6/24/2019",12:56:00,15,NA,0.296,"20.92"
"3","R_Script",2019-06-27 15:45:00,"6/27/2019",15:49:00,14.9,NA,0.291,"22.42"
"4","8_Jul_19",2019-07-08 13:45:00,"7/8/2019",13:48:00,12,NA,0.253,"22.62"
"5","22_Jul_19",2019-07-22 14:15:00,"7/22/2019",14:19:00,10,NA,0.232,"21.49"
"6","12_Aug_19",2019-08-12 13:30:00,"8/12/2019",13:21:00,12.5,NA,0.256,"21.53"
"7","28_Aug_19",2019-08-28 16:30:00,"8/28/2019",16:24:00,10,NA,0.221,"19.96"
"8","27_Sep_19",2019-09-27 15:00:00,"9/27/2019",14:53:00,8,NA,0.196,"19"
"9","30_Oct_19",2019-10-30 13:00:00,"10/30/2019",12:56:00,9,NA,0.222,"14.13"
"10","6_Dec_19",2019-12-06 12:30:00,"12/6/2019",12:26:00,13.5,"Weir_obstructed_by_leaves_and_branches",0.225,"5.098"
"11","29_Feb_20",2020-02-29 11:30:00,"2/29/2020",11:30:00,10.5,"No_data_as_of_02_Mar_2020",0.23,"3.416"
"12","24_Mar_20",2020-03-24 12:45:00,"3/24/2020",12:45:00,10.5,"No_time_associated_with_picture",0.241,"12"
"13","30_Mar_20",2020-03-30 17:30:00,"3/30/2020",17:33:00,10.5,NA,0.24,"14.42"
"14","20_Apr_20",2020-04-20 14:00:00,"4/20/2020",14:00:00,25,"Noted_erosion_on_side_of_weir_Obstructed_by_branches_No_time_associated_with_picture",0.431,"14.4"
"15","22_Apr_20",2020-04-22 12:30:00,"4/22/2020",12:33:00,22.2,"Erosion_on_side_of_weir_Shored_up_side_of_weir",0.395,"13.56"
"16","11_May_20",2020-05-11 15:00:00,"5/11/2020",15:02:00,21,NA,0.382,"12.08"
"17","18_May_20",2020-05-18 12:30:00,"5/18/2020",12:29:00,20,"No_data_from_WVWA",0.344,"17.48"
"18","25_May_20",2020-05-25 13:45:00,"5/25/2020",13:48:00,30,"Weir_topped",0.514,"16.89"
"19","12_Jun_20",2020-06-12 13:15:00,"6/12/2020",13:15:00,28.5,"Weir_topped",0.478,"23.03"
"20","06_Jul_20",2020-07-06 15:15:00,"7/6/2020",15:10:00,28,"Weir_topped",0.47,"26.26"
"21","10_Aug_20",2020-08-10 12:00:00,"8/10/2020",NA,NA,"Weir_completely_washed_out_No_water",0.031,"24.5"
"22","13_Aug_20",2020-08-13 12:00:00,"8/13/2020",NA,NA,"Sensors_removed_from_weir",0,"22.78"
"23","24_Aug_20",2020-08-24 16:00:00,"8/24/2020",15:46:00,12,"Sensors_Moved_Post_Construction",0.156,"21.67"
"24","02_Sep_20_PreMove",2020-09-02 13:00:00,"9/2/2020",13:00:00,14.5,NA,0.199,"21.37"
"25","02_Sep_20_PostMove",2020-09-02 15:00:00,"9/2/2020",15:00:00,14.5,"Sensors_Moved",0.109,"21.9"
"26","09_Sep_20",2020-09-09 14:15:00,"9/9/2020",14:00:00,10,"No_time_associated_with_picture",0.053,"19.71"
"27","13_Sep_20",2020-09-13 12:00:00,"9/13/2020",12:00:00,10.2,"No_time_associated_with_picture",0.056,"18.59"
"28","15_Sep_20",2020-09-15 15:00:00,"9/15/2020",15:00:00,10,"No_time_associated_with_picture",0.046,"16.67"
"29","16_Sep_20",2020-09-16 16:00:00,"9/16/2020",16:00:00,10,"No_time_associated_with_picture",0.048,"15.71"
"30","30_Sep_20",2020-09-30 13:30:00,"9/30/2020",13:22:00,12.8,"No_time_associated_with_picture",0.081,"14.3"
"31","05_Oct_20",2020-10-05 15:45:00,"10/5/2020",15:37:00,10,"No_time_associated_with_picture",0.043,"13.16"
"32","19_Oct_20",2020-10-19 16:30:00,"10/19/2020",16:30:00,10,"No_time_associated_with_picture",0.045,"13.1"
"33","02_Nov_20",2020-11-02 13:15:00,"11/2/2020",13:08:00,15,NA,0.106,"8.42"
"34","09_Nov_20",2020-11-09 13:15:00,"11/9/2020",13:14:00,11.3,"No_time_associated_with_picture",0.057,"15.16"
"35","27_Dec_20",2020-12-27 13:15:00,"12/27/2020",13:15:00,23,"Weir_obstructed_by_branches_No_time_associated_with_picture",0.201,"3.611"
"36","07_Jan_21",2021-01-07 09:00:00,"1/7/2021",10:30:00,20,NA,0.179,"3.099"
