"Reservoir","Site","Date","Rep","Start_time","End_time","Temp_C","CO2Slope_ppmS","CO2_R2","CO2Flux_umolCm2s","CH4Slope_ppmS","CH4_R2","CH4Flux_umolCm2s","Flag_CO2Flux_umolCm2s","Flag_CH4Flux_umolCm2s","Flag_Start_time","Flag_End_time"
"FCR",50,2023-04-18,1,"12:00:00",NA,21.21,0.033,0.97,0.196,0.006,0.98,0.036,0,0,1,1
"FCR",50,2023-04-18,2,"12:00:00",NA,22.9,0.022,0.96,0.13,0.004,0.99,0.024,0,0,1,1
"FCR",50,2023-04-18,3,"12:00:00",NA,23.14,0.033,0.96,0.195,0.005,0.97,0.03,0,0,1,1
"BVR",50,2023-04-24,1,"12:00:00",NA,16.14,-0.003,0.47,-0.018,0,0.97,0,1,0,1,1
"BVR",50,2023-04-24,2,"12:00:00",NA,17.61,-0.001,0.1,-0.006,0,0.94,0,1,0,1,1
"BVR",50,2023-04-24,3,"12:00:00",NA,18.29,-0.002,0.12,-0.012,0,0.94,0,1,0,1,1
"BVR",50,2023-05-01,1,"12:00:00",NA,16.21,0.034,0.92,0.206,0.001,0.94,0.006,0,0,1,1
"BVR",50,2023-05-01,2,"12:00:00",NA,17.23,0.013,0.92,0.078,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-05-01,1,"12:00:00",NA,15.64,0.016,0.92,0.097,0.002,0.96,0.012,0,0,1,1
"FCR",50,2023-05-01,2,"12:00:00",NA,16.72,0.023,0.98,0.139,0.003,1,0.018,0,0,1,1
"FCR",50,2023-05-01,3,"12:00:00",NA,17.12,0.047,0.97,0.284,0.005,0.97,0.03,0,0,1,1
"BVR",50,2023-05-08,1,"12:00:00",NA,27.15,0.022,0.94,0.128,0.001,0.98,0.006,0,0,1,1
"BVR",50,2023-05-08,2,"12:00:00",NA,28.8,0.019,0.95,0.11,0.001,0.99,0.006,0,0,1,1
"FCR",50,2023-05-08,1,"12:00:00",NA,31.74,-0.01,0.83,-0.057,0.002,0.98,0.011,1,0,1,1
"FCR",50,2023-05-08,2,"12:00:00",NA,33.14,-0.007,0.76,-0.04,0.001,0.99,0.006,1,0,1,1
"FCR",50,2023-05-16,1,"12:00:00",NA,25,-0.032,0.98,-0.188,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-05-16,2,"12:00:00",NA,25.78,-0.032,0.98,-0.188,0.002,0.97,0.012,0,0,1,1
"BVR",50,2023-05-22,1,"12:00:00",NA,27.51,0.033,0.95,0.192,0.004,0.96,0.023,0,0,1,1
"BVR",50,2023-05-22,2,"12:00:00",NA,29.11,0.03,0.98,0.174,0.004,0.99,0.023,0,0,1,1
"FCR",50,2023-06-05,1,"12:00:00",NA,26.01,-0.042,0.96,-0.246,0.001,0.96,0.006,0,0,1,1
"FCR",50,2023-06-05,2,"12:00:00",NA,27.3,-0.065,0.95,-0.379,0.003,0.96,0.017,0,0,1,1
"BVR",50,2023-06-05,1,"12:00:00",NA,27.63,0.024,0.94,0.14,0.002,0.99,0.012,0,0,1,1
"BVR",50,2023-06-05,2,"12:00:00",NA,28.77,0.013,0.89,0.075,0.002,1,0.012,1,0,1,1
"BVR",50,2023-06-14,1,"12:00:00",NA,25.96,0.028,0.96,0.164,0.004,0.98,0.023,0,0,1,1
"BVR",50,2023-06-14,2,"12:00:00",NA,28.1,0.017,0.95,0.099,0.003,1,0.017,0,0,1,1
"FCR",50,2023-06-14,1,"12:00:00",NA,25.48,-0.072,0.99,-0.423,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-06-14,2,"12:00:00",NA,27.08,-0.074,0.97,-0.432,0.001,0.98,0.006,0,0,1,1
"FCR",50,2023-06-19,1,"12:00:00",NA,26.93,-0.103,1,-0.602,0.002,0.99,0.012,0,0,1,1
"FCR",50,2023-06-19,2,"12:00:00",NA,27.79,-0.093,0.99,-0.542,0.002,0.99,0.012,0,0,1,1
"BVR",50,2023-06-26,1,"12:00:00",NA,26.66,0.007,0.82,0.041,0.002,1,0.012,1,0,1,1
"BVR",50,2023-06-26,2,"12:00:00",NA,28.4,0.006,0.8,0.035,0.001,0.99,0.006,1,0,1,1
"FCR",50,2023-06-26,1,"12:00:00",NA,35.9,-0.093,1,-0.527,0.004,1,0.023,0,0,1,1
"FCR",50,2023-06-26,2,"12:00:00",NA,36.31,-0.08,0.99,-0.453,0.004,0.99,0.023,0,0,1,1
"BVR",50,2023-07-03,1,"12:00:00",NA,29.21,-0.018,0.95,-0.104,0.002,0.97,0.012,0,0,1,1
"BVR",50,2023-07-03,2,"12:00:00",NA,30.8,-0.012,0.92,-0.069,0.002,0.98,0.012,0,0,1,1
"FCR",50,2023-07-03,1,"12:00:00",NA,34.21,-0.118,1,-0.673,0.008,0.98,0.046,0,0,1,1
"FCR",50,2023-07-03,2,"12:00:00",NA,35.22,-0.112,1,-0.636,0.006,0.99,0.034,0,0,1,1
"BVR",50,2023-07-10,1,"12:00:00",NA,27.43,0.001,0.05,0.006,0.001,0.99,0.006,1,0,1,1
"BVR",50,2023-07-10,2,"12:00:00",NA,29.78,-0.001,0.14,-0.006,0.001,1,0.006,1,0,1,1
"FCR",50,2023-07-10,1,"12:00:00",NA,32.33,-0.049,0.99,-0.281,0.004,0.99,0.023,0,0,1,1
"FCR",50,2023-07-10,2,"12:00:00",NA,33.84,-0.052,0.99,-0.297,0.003,1,0.017,0,0,1,1
"FCR",50,2023-07-24,1,"12:00:00",NA,31.68,0.12,0.95,0.69,0.004,0.95,0.023,0,0,1,1
"FCR",50,2023-07-24,2,"12:00:00",NA,32.47,0.068,0.94,0.39,0.002,0.94,0.011,0,0,1,1
"FCR",50,2023-07-24,3,"12:00:00",NA,32.84,0.055,0.89,0.315,0.002,0.88,0.011,1,1,1,1
"BVR",50,2023-07-24,1,"12:00:00",NA,32.95,-0.004,0.55,-0.023,0.001,0.99,0.006,1,0,1,1
