,Reservoir,Site,DateTime,Depth_m,TFe_mgL,TMn_mgL,SFe_mgL,SMn_mgL,Flag_DateTime,Flag_TFe,Flag_TMn,Flag_SFe,Flag_SMn
1,FCR,50,2014-04-01 12:00,0.1,0.327,0.0165,0.327,0.00759,1,0,0,0,0
2,FCR,50,2014-04-01 12:00,0.8,0.3334,0.027,0.3334,0.0051,1,0,0,0,0
3,FCR,50,2014-04-01 12:00,1.6,0.3338,0.0232,0.3338,0.00483,1,0,0,0,0
4,FCR,50,2014-04-01 12:00,2.8,0.3567,0.0175,0.3567,0.00501,1,0,0,0,0
5,FCR,50,2014-04-01 12:00,3.8,0.3474,0.0283,0.3474,0.00828,1,0,0,0,0
6,FCR,50,2014-04-01 12:00,5,0.3494,0.0194,0.3494,0.0142,1,0,0,0,0
7,FCR,50,2014-04-01 12:00,6.2,0.349,0.0193,0.349,0.01573,1,0,0,0,0
8,FCR,50,2014-04-01 12:00,8,0.3516,0.0175,0.3516,0.016,1,0,0,0,0
9,FCR,50,2014-04-01 12:00,9,0.4065,0.0196,0.4065,0.0168,1,0,0,0,0
10,FCR,50,2014-04-08 12:00,0.1,0.3239,0.01543,0.228,0.01006,1,0,0,0,0
11,FCR,50,2014-04-08 12:00,0.8,0.3273,0.0176,0.26,0.00773,1,0,0,0,0
12,FCR,50,2014-04-08 12:00,1.6,0.3495,0.01784,0.2899,0.00703,1,0,0,0,0
13,FCR,50,2014-04-08 12:00,2.8,0.3263,0.01896,0.2566,0.00649,1,0,0,0,0
14,FCR,50,2014-04-08 12:00,3.8,0.3175,0.01684,0.2679,0.01087,1,0,0,0,0
15,FCR,50,2014-04-08 12:00,5,0.307,0.01046,0.2831,0.01046,1,0,0,0,0
16,FCR,50,2014-04-08 12:00,6.2,0.3281,0.01323,0.2998,0.01323,1,0,0,0,0
17,FCR,50,2014-04-08 12:00,8,0.3896,0.04439,0.3896,0.04439,1,0,0,0,0
18,FCR,50,2014-04-08 12:00,9,0.413,0.05468,0.3803,0.05468,1,0,0,0,0
19,FCR,50,2014-04-16 12:00,0.1,0.2225,0.00965,0.2225,0.00965,1,0,0,0,0
