Reservoir,Site,DateTime,Depth_m,Rep,RunDate_DOC,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,Notes_DOC,SampleID_DOC
FCR,50,4/27/20 0:00,5,,9/3/20,2.56,3.3,5.85,0.13,,F 5m 27apr20
FCR,50,7/27/20 0:00,5,,9/3/20,2.16,4.47,6.63,0.13,,F 5m 27jul20
FCR,50,6/3/20 0:00,9,,9/4/20,3.06,3.32,6.39,0.32,,F 9m 03jun20
FCR,50,4/4/20 0:00,9,,9/4/20,3.21,3.5,6.7,0.25,,F 9m 04apr20
FCR,50,5/4/20 0:00,9,,9/4/20,4.66,4.34,9.01,0.32,,F 9m 04may20
FCR,50,6/8/20 0:00,9,,9/3/20,2.88,4.12,7,0.36,,F 9m 08jun20
FCR,50,8/10/20 0:00,9,,9/4/20,2.17,5.1,7.27,0.21,,F 9m 10aug20
FCR,50,5/11/20 0:00,9,R2,9/3/20,3.72,3.66,7.38,0.41,,F 9m 11may20 r2
FCR,50,6/12/20 0:00,9,,9/4/20,3.68,4.42,8.11,0.45,,F 9m 12jun20
FCR,50,7/13/20 0:00,9,,9/4/20,1.91,4.98,6.89,0.12,,F 9m 13jul20
FCR,50,5/18/20 0:00,9,,9/2/20,1.94,4.34,6.27,0.22,,F 9m 18may20
FCR,50,7/20/20 0:00,9,,9/3/20,1.71,4.97,6.68,0.12,,F 9m 20jul20
FCR,50,7/27/20 0:00,9,,9/1/20,2.4,5.33,7.72,0.22,,F 9m 27jul20
FCR,1,3/30/20 0:00,0.1,,9/2/20,2.17,5.9,8.06,0.2,,F F01 0.1m 19mar20
FCR,100,6/22/20 0:00,0.1,,9/4/20,2.41,2.18,4.59,0.11,,F F100 22jun20
FCR,100,6/8/20 0:00,0.1,,9/3/20,1.62,2.4,4.02,0.11,,F F100 inf 08jun20
FCR,200,3/30/20 0:00,0.1,R1,9/2/20,1.39,4.06,5.45,0.13,,F F200 0.1m 19mar20 r1
FCR,200,6/22/20 0:00,0.1,,9/2/20,1,3.51,4.51,0.15,,F F200 22jul20
FCR,45,3/30/20 0:00,0.1,R2,9/2/20,3.05,3.67,6.72,0.18,,F F45 0.1m 19mar20 r2
FCR,50,3/30/20 0:00,0.1,R2,9/2/20,2.79,3.62,6.41,0.14,,F F50 0.1m 30mar20 r2 RC
FCR,50,4/20/20 0:00,1.6,,9/2/20,2.65,3.3,5.94,0.14,,F F50 1.6m 20apr20
FCR,50,5/25/20 0:00,5,,9/2/20,1.84,3.47,5.32,0.12,,F F50 5m 25may20
FCR,50,5/25/20 0:00,9,,9/2/20,2.06,4.54,6.6,0.27,,F F50 9m 25may20
FCR,100,7/20/20 0:00,0.1,,9/3/20,2.26,2.47,4.73,0.14,,F inf 20jul20
FCR,100,2/29/20 0:00,0.1,,9/3/20,0.97,2.91,3.88,0.08,,F inf 29feb20
FCR,100,1/31/20 0:00,0.1,,9/2/20,0.63,3.34,3.97,0.03,,F inf 31jan20
FCR,200,7/20/20 0:00,0.1,,9/2/20,1.07,4.46,5.53,0.11,,F wet 20jul20
FCR,200,2/29/20 0:00,0.1,,9/3/20,1.29,2.8,4.1,0.13,,F wet 29feb20
FCR,50,7/6/20 0:00,0.1,,9/2/20,2.27,3.01,5.29,0.16,,F0.1m 06jul20
FCR,50,6/29/20 0:00,1.6,,9/4/20,2.24,2.81,5.04,0.09,,F1.6m 29jun20
FCR,100,7/6/20 0:00,0.1,,9/3/20,2.11,2.29,4.4,0.11,,F100 06jul20
FCR,100,8/7/20 0:00,0.1,,9/1/20,1,3.05,4.05,0.16,,F100 inf 07aur20
FCR,20,3/30/20 0:00,0.1,R1,9/1/20,3.27,3.66,6.93,0.16,,F20 0.1m 19mar20 r1
FCR,200,7/6/20 0:00,0.1,,9/4/20,1.6,3.57,5.17,0.15,,F200 06jul20
FCR,200,8/7/20 0:00,0.1,,9/1/20,1.37,4.95,6.32,0.09,,F200 wet 07aug20
FCR,50,6/29/20 0:00,0.1,,8/31/20,2.01,2.79,4.8,0.09,,F29jun20 0.1 S
FCR,30,3/30/20 0:00,0.1,,9/1/20,3.53,3.68,7.21,0.16,,F30 0.1m 19mar20
FCR,50,4/13/20 0:00,9,,9/4/20,2.47,3.48,5.95,0.19,,F9m 13apr20
FCR,50,6/29/20 0:00,9,,9/1/20,3.33,4.87,8.2,0.43,,F9m 29jun20
FCR,50,5/11/20 0:00,1.6,R2,8/31/20,1.8,3.16,4.96,0.07,,FCR 1.6m S 11may20 r2
FCR,50,5/18/20 0:00,1.6,,8/31/20,2.48,3.07,5.55,0.11,,FCR 1.6m S 18may20
FCR,50,3/30/20 0:00,5,R2,8/31/20,2.2,3.43,5.62,0.11,,FCR 50 5m RC 30mar20 S r2
FCR,50,3/30/20 0:00,9,R1,8/31/20,1.84,4.13,5.97,0.25,,FCR 50 9m RS 30mar20 S r1
FCR,50,5/11/20 0:00,5,R1,8/31/20,1.8,3.46,5.26,0.05,,FCR 5m S 11may20 r1
FCR,50,4/27/20 0:00,9,,8/31/20,1.72,4.01,5.73,0.16,,FCR 9m 27apr20
FCR,50,4/20/20 0:00,9,,9/1/20,2.79,4,6.79,0.32, this is 9m instead of 5m,FCR50 9m 20apr20
BVR,50,7/2/20 0:00,0.1,,10/20/20,3,2,5.1,0.14,,B 0.1m 02jul20
BVR,50,6/4/20 0:00,0.1,,9/14/20,3,2.2,5.2,0.15,,B 0.1m 04jun20
BVR,50,8/6/20 0:00,0.1,,10/21/20,2.2,2.5,4.7,0.13,,B 0.1m 06aug20
BVR,50,7/9/20 0:00,0.1,,10/20/20,3.1,2,5.1,0.14,,B 0.1m 09jul20
BVR,50,5/14/20 0:00,0.1,,10/20/20,2.1,2.5,4.6,0.15,,B 0.1m 14may20
BVR,50,7/17/20 0:00,0.1,,9/14/20,3.9,2.3,6.3,0.16,,B 0.1m 17jul20
BVR,50,8/20/20 0:00,0.1,,9/14/20,2.9,2.6,5.6,0.16,,B 0.1m 20aug20
BVR,50,7/23/20 0:00,0.1,,10/21/20,2.4,2.5,4.9,0.13,,B 0.1m 23jul20
BVR,50,6/25/20 0:00,0.1,,9/14/20,3.7,2.2,5.9,0.17,,B 0.1m 25jun20
BVR,50,7/30/20 0:00,0.1,,10/21/20,1.8,2.8,4.6,0.12,,B 0.1m 30jul20
BVR,50,7/2/20 0:00,11,,10/14/20,2.1,4.2,6.3,0.94,,B 02jul20 11.0m
BVR,50,7/2/20 0:00,3,,10/16/20,3.2,1.5,4.7,0.13,,B 02jul20 3.0m
BVR,50,7/2/20 0:00,9,,10/16/20,3.7,2.1,5.9,0.41,,B 02jul20 9.0m
BVR,50,8/26/20 0:00,11,,10/20/20,2.8,4.8,7.6,1.95,,B 11.0m 26aug20
BVR,50,8/6/20 0:00,11,,9/14/20,2.5,5.2,7.7,1.8,,B 11m 06aug20
BVR,50,8/12/20 0:00,6,,10/16/20,2.5,2.6,5.1,0.16,,B 12aug20 6.0m
BVR,50,7/17/20 0:00,11,,10/16/20,3.3,3.1,6.4,1.26,,B 17jul20 11.0m
BVR,50,7/17/20 0:00,3,,10/16/20,3.1,1.5,4.6,0.12,,B 17jul20 3.0m
BVR,50,7/17/20 0:00,9,,10/14/20,1.2,3.7,4.9,0.38,,B 17jul20 9.0m
BVR,50,8/20/20 0:00,3,,10/16/20,3.9,1.9,5.8,0.17,,B 20aug20 3.0m
BVR,50,7/23/20 0:00,11,,10/14/20,1.5,4.7,6.2,1.04,,B 23jul20 11.0m
BVR,50,6/25/20 0:00,3,,10/20/20,2.7,1.9,4.6,0.13,,B 3.0m 25jul20
BVR,50,7/30/20 0:00,3,,10/20/20,2.7,2.3,5,0.13,,B 3.0m 30jul20
BVR,50,3/30/20 0:00,3,,10/21/20,2.5,2.5,5,0.23,,B 3.0m 30mar20
BVR,50,7/30/20 0:00,11,,10/14/20,2.1,5.3,7.4,1.63,,B 30jul20 11.0m
BVR,50,7/30/20 0:00,9,,10/16/20,3,3,6,0.85,,B 30jul20 9.0m
BVR,50,3/30/20 0:00,11,R1,10/14/20,1.5,3.1,4.6,0.29,,B 30mar20 11.0 r1
BVR,50,3/30/20 0:00,6,R1,10/14/20,1.7,2.8,4.5,0.15,,B 30mar20 6.0m r1
BVR,50,7/9/20 0:00,3,,9/14/20,3.9,2.3,6.2,0.15,,B 3m 09jul20
BVR,50,5/14/20 0:00,3,,9/14/20,3.9,2.2,6.1,0.18,,B 3m 14may20
BVR,50,5/14/20 0:00,1.5,,10/21/20,1.6,2.9,4.6,0.16,changed to 1.5 based on field sheet,B 5.0m 14may20
BVR,50,7/2/20 0:00,6,,10/21/20,1.3,2.7,4.1,0.12,,B 6.0m 02jul20
BVR,50,6/4/20 0:00,6,,10/20/20,2,2.3,4.3,0.11,,B 6.0m 04jun20
BVR,50,7/9/20 0:00,6,,10/20/20,1.9,2.4,4.3,0.11,,B 6.0m 09jul20
BVR,50,7/23/20 0:00,6,,10/21/20,1.4,3,4.3,0.1,,B 6.0m 23jul20
BVR,50,6/25/20 0:00,6,,10/20/20,2.5,2.2,4.7,0.13,,B 6.0m 25jun20
BVR,50,8/26/20 0:00,6,,10/20/20,2.1,3.1,5.1,0.16,,B 6.0m 28aug20
BVR,50,7/30/20 0:00,6,,10/21/20,1.6,2.8,4.4,0.13,,B 6.0m 30jul20
BVR,50,7/17/20 0:00,6,,9/14/20,2.7,2.8,5.5,0.14,,B 6m 17jul20
BVR,50,8/20/20 0:00,6,,9/14/20,1.5,3.3,4.8,0.1,,B 6m 20aug20
BVR,50,7/23/20 0:00,9,,10/20/20,2.2,4.3,6.4,1.02,,"B 9,0m 23jul20"
BVR,50,5/14/20 0:00,9,,10/21/20,1.1,3.5,4.6,0.23,,B 9.0 14may20
BVR,50,7/9/20 0:00,9,,10/21/20,0.9,4.4,5.3,0.55,,B 9.0m 09jul20
BVR,50,8/26/20 0:00,9,,10/20/20,2.6,4,6.5,0.71,,B 9.0m 28aug20
BVR,50,3/30/20 0:00,9,,10/20/20,2.1,2.8,4.9,0.24,,B 9.0m 30mar20
BVR,50,8/20/20 0:00,9,,9/14/20,4.3,4.3,8.6,1.47,,B 9m 20aug20
BVR,50,6/4/20 0:00,11,,10/16/20,3.4,2.7,6,0.83,,BVR 11.0m 04jun20
BVR,50,5/14/20 0:00,11,,10/14/20,2,3.8,5.8,0.5,,BVR 11.0m 14may20
BVR,50,6/4/20 0:00,3,,10/16/20,4,1.4,5.3,0.15,,BVR 3.0m 04jun20
BVR,50,5/14/20 0:00,6,,10/16/20,3.8,1.5,5.3,0.14,,BVR 6.0m 14may20
BVR,50,6/4/20 0:00,9,,10/16/20,4.3,2.4,6.7,0.72,,BVR 9.0m 04jun20
BVR,50,8/6/20 0:00,9,,10/14/20,1.7,5.3,7,1.31,,BVR 9.0m 06?aug20
BVR,50,6/25/20 0:00,9,,10/14/20,1.1,3.8,4.9,0.29,,BVR 9.0m 25jun20
FCR,50,1/31/20 0:00,0.1,,9/14/20,2.4,4.2,6.6,0.18,,F 0.1m 31jan20
FCR,50,9/2/20 0:00,1.6,,10/16/20,5.3,2,7.4,0.28,,F 02sep20 1.6m
FCR,100,9/2/20 0:00,0.1,,10/14/20,1,3.3,4.3,0.14,,F 02sep20 weir
FCR,200,9/2/20 0:00,0.1,,10/14/20,1.9,4.8,6.8,0.17,,F 02sep20 WET
FCR,50,9/11/20 0:00,1.6,,10/21/20,3.3,3.4,6.7,0.28,,F 1.6m 11sep20
FCR,50,8/10/20 0:00,3.8,,10/16/20,3,3,6,0.21,,F 10aug20 3.8m
FCR,102,7/18/19 0:00,0.1,R2,10/14/20,-0.7,5.9,5.1,0.18,,F 18jul19 102 S r2
FCR,50,6/22/20 0:00,6.2,,10/16/20,3.3,2.9,6.1,0.11,,F 22jun20 6.2m
FCR,50,6/22/20 0:00,8,,10/14/20,3,4.5,7.5,0.24,,F 22jun20 8.0m
FCR,50,7/27/20 0:00,6.2,,10/14/20,1.3,5.4,6.7,0.14,,F 27jul20 6.2m
FCR,50,6/29/20 0:00,6.2,,10/16/20,3,2.9,5.9,0.12,,F 29jun20 6.2m
FCR,50,8/3/20 0:00,3.8,,10/20/20,2.1,3.7,5.8,0.19,,F 3.8m 03aug20
FCR,50,7/6/20 0:00,3.8,,10/21/20,2.1,3.5,5.6,0.16,,F 3.8m 06jul20
FCR,50,7/13/20 0:00,3.8,,9/14/20,4.4,3,7.4,0.22,,F 3.8m 13jul20
FCR,50,7/20/20 0:00,3.8,,9/14/20,4,3.6,7.6,0.19,,F 3.8m 20jul20
FCR,50,6/22/20 0:00,3.8,,9/14/20,2.5,3.1,5.6,0.16,,F 3.8m 22jun20
FCR,50,7/27/20 0:00,3.8,,10/20/20,2.8,2.9,5.7,0.18,,F 3.8m 27jul20
FCR,50,2/29/20 0:00,3.8,,9/14/20,2.7,3.5,6.3,0.19,,F 3.8m 29feb20
FCR,30,5/30/19 0:00,0.1,R2,10/16/20,3.5,2,5.4,0.09,,F 30may19 30s r2
FCR,50,1/31/20 0:00,3.8,,10/14/20,2.5,4,6.5,0.19,,F 31jan20 3.8m
FCR,50,2/29/20 0:00,5,,10/20/20,2.9,3.2,6.1,0.17,,F 5.0m 29feb20
FCR,50,8/24/20 0:00,5,,9/14/20,2.6,5.9,8.5,0.42,,F 5m 24aug20
FCR,50,7/6/20 0:00,6.2,,9/14/20,3,4.5,7.5,0.17,,F 6.2 06jul20
FCR,50,7/13/20 0:00,6.2,,9/14/20,1.7,4.8,6.6,0.17,,F 6.2m 13jul20
FCR,50,7/20/20 0:00,6.2,,10/20/20,2.3,3.8,6.2,0.13,,F 6.2m 20jul20
FCR,50,8/24/20 0:00,6.2,,9/14/20,2.7,5.4,8.1,0.47,,F 6.2m 24aug20
FCR,50,2/29/20 0:00,6.2,,10/21/20,2,3.7,5.6,0.16,,F 6.2m 29feb20
FCR,50,3/30/20 0:00,6.2,R2,10/21/20,2.3,3.5,5.9,0.18,,F 6.2m 30mar20
FCR,50,3/30/20 0:00,6.2,R1,10/21/20,1.7,4,5.7,0.18,,F 6.2m 30mar20
FCR,50,8/10/20 0:00,8,,10/20/20,2.5,4.7,7.2,0.23,,F 8.0m 10aug20
FCR,50,8/17/20 0:00,8,,10/21/20,1.2,6.2,7.4,0.45,,F 8.0m 17aug20
FCR,50,4/27/20 0:00,8,,10/21/20,2,3.6,5.6,0.21,,F 8.0m 27apr20
FCR,50,7/27/20 0:00,8,,10/21/20,1.6,4.9,6.5,0.14,,F 8.0m 27jul20
FCR,50,2/29/20 0:00,8,,10/21/20,2.1,3.8,5.9,0.19,,F 8.0m 29feb20
FCR,50,6/29/20 0:00,8,,10/20/20,3.2,4,7.2,0.35,,F 8.0m 29jun20
FCR,50,8/24/20 0:00,9,,10/21/20,0.4,6.1,6.5,0.43,,F 9.0m 24aug20
FCR,50,2/29/20 0:00,9,,9/14/20,2.4,3.6,6,0.17,,F 9m 29feb20
FCR,50,6/29/20 0:00,3.8,,10/14/20,2.3,3.4,5.7,0.17,,F29jun20 3.8m
FCR,50,3/30/20 0:00,3.8,R2,10/20/20,2.7,3.4,6.1,0.15,,F50 3.8m 30mar20
FCR,50,4/27/20 0:00,3.8,,10/16/20,3.4,2.1,5.5,0.14,,FCR 3.8 27apr20
FCR,50,4/27/20 0:00,6.2,,10/16/20,4.8,2.4,7.3,0.24,,FCR 6.2m 27apr20
FCR,50,7/13/20 0:00,8,,10/16/20,4.3,3,7.4,0.18,,FCR 8.0m 13jul20
FCR,50,3/30/20 0:00,3.8,R1,10/14/20,2.2,3.6,5.8,0.17,,FCR50 3.8m 30mar20 r1 rc
FCR,50,4/10/20 0:00,4.5,,10/14/20,1.9,3.8,5.8,0.17,,FCR50 4.5m 10apr20
FCR,50,4/20/20 0:00,4.5,,10/16/20,3.2,2.3,5.5,0.17,,FCR50 4.5m 20apr20
FCR,50,3/30/20 0:00,8,R1,10/14/20,1.8,4,5.8,0.21,,FCR50 8.0m 30mar20
FCR,50,3/30/20 0:00,8,R2,10/14/20,2.1,3.7,5.8,0.23,,FCR50 8.0m 30mar20 r2 rc
BVR,50,10/1/20 0:00,0.1, ,11/9/20,3.4,3,6.4,0.2,,B 01oct20 0.1m
FCR,50,10/28/20 0:00,3.8,,11/9/20,3.7,4.1,7.7,0.25,,F 28oct20 3.8m
FCR,50,8/24/20 0:00,8,,11/9/20,2,5.4,7.4,0.42,,F 24aug20 8.0m
FCR,50,6/22/20 0:00,5,,11/9/20,2.9,4.3,7.2,0.14,,F 22jun20 5.0m
BVR,50,10/1/20 0:00,10,,11/9/20,3.8,5.6,9.3,2.33,,B 01oct20 10.0m
BVR,50,8/12/20 0:00,3,,11/9/20,3.1,2.7,5.8,0.21,,B 12aug20 3.0m
FCR,100,9/30/20 0:00,0.1,,11/9/20,1.9,3.1,5,0.09,,F 30sep20 inf
FCR,50,9/30/20 0:00,1.6,,11/9/20,3.6,3.8,7.4,0.24,,F 30sep20 1.6m
BVR,50,10/1/20 0:00,3,,11/9/20,3.2,2.9,6.1,0.2,,B 01oct20 3.0m
FCR,50,10/6/20 0:00,5,,11/9/20,1.6,6,7.6,0.25,,F 06oct20 5.0m
BVR,50,9/16/20 0:00,6,,11/9/20,1.9,3.7,5.6,0.23,,B 16sep20 6.0m
FCR,50,6/12/20 0:00,0.1,,11/9/20,1.7,3,4.6,0.11,,F 12jun20 0.1m
FCR,50,10/13/20 0:00,9,,11/9/20,0.6,6.8,7.4,1.14,,"F 13oct20 9,0m"
FCR,50,9/2/20 0:00,5,,11/9/20,0.8,5.6,6.3,0.36,,F 02sep20 5.0m
FCR,50,10/28/20 0:00,0.1,,11/9/20,3,4.2,7.2,0.28,,F 28oct20 0.1m
FCR,50,9/11/20 0:00,5,,11/9/20,0.9,5.7,6.6,0.55,,F 11sep20 5.0m
FCR,50,9/30/20 0:00,6.2,,11/9/20,0.5,6.3,6.8,0.76,,F 30sep20 6.2m
BVR,50,10/5/20 0:00,10,,11/9/20,2,5.3,7.3,1.71,,B 05oct20 10.0m
BVR,50,8/12/20 0:00,11,,11/9/20,1.9,5.8,7.7,2.42,,B 12aug20 11.0m
BVR,50,6/25/20 0:00,11,,11/9/20,1.9,4.5,6.4,1.21,,B 25jun20 11.0m
FCR,50,11/2/20 0:00,5,,11/11/20,2.6,4.8,7.4,0.34,,F 02nov20 5.0
FCR,50,10/28/20 0:00,1.6,,11/11/20,3.7,3.8,7.5,0.25,,F 28oct20 1.6
BVR,50,8/26/20 0:00,0.1,,11/11/20,2.6,2.5,5.1,0.15,,B 26aug20 0.1
FCR,50,10/6/20 0:00,8,,11/11/20,1.5,6.1,7.6,0.91,,F 06oct20 8.0
FCR,50,11/2/20 0:00,0.1,,11/11/20,2.6,4.8,7.3,0.51,,F 02nov20 0.1
BVR,50,10/26/20 0:00,9,,11/11/20,3.2,5,8.2,1.57,,B 26oct20 9.0
FCR,50,1/31/20 0:00,9,,11/11/20,12.7,3.5,16.3,0.22,rerun at later date,F 31jan20 9.0
