Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
FCR,50,3/30/20 0:00,5,R2,9/1/20,8.36,4.48,2.72,,FCR 50 5m RL 30mar20
FCR,50,5/18/20 0:00,1.6,,9/1/20,19.8,5.43,4.78,,F 1.6m 18may20
FCR,50,6/3/20 0:00,1.6,,9/1/20,8.62,7.37,11.5,,F1.6m 03jun20
FCR,50,8/24/20 0:00,1.6,,9/1/20,11.3,7.99,3.7,,F 1.6m 24aug20
FCR,50,5/25/20 0:00,1.6,,9/1/20,12.8,6.96,5.53,,F50 1.6m 25may20
FCR,50,6/29/20 0:00,0.1,,9/1/20,19.4,6.01,9.54,rerun in Jun 21,F 0.1m 29jun20
FCR,100,8/24/20 0:00,0.1,,9/1/20,3.15,16.4,178,,F inf 24aug20
FCR,50,5/11/20 0:00,5,R1,9/1/20,7,3.98,2.57,,F 5m 11may20 r1
FCR,100,3/30/20 0:00,0.1,R1,9/1/20,8.32,11.8,23.3,,F F100 0.1m 19mar20 r1
FCR,50,7/6/20 0:00,5,,9/1/20,7.7,6.08,3.76,,F 5m 06jul20
FCR,50,4/13/20 0:00,1.6,,9/1/20,16,3.96,21.2,rerun at a later date,F1.6m 13apr20
FCR,102,3/30/20 0:00,0.1,R2,9/1/20,48,8.64,126,rerun at a later date,F F102 0.2m 19mar20 r1
FCR,50,3/30/20 0:00,9,R1,9/1/20,179,4.51,10.3,,FCR50 9m RS 30mar20 r1
FCR,50,7/6/20 0:00,9,,9/1/20,31.5,5.26,2.55,,F 9m 06jul20
FCR,50,4/13/20 0:00,5,,9/1/20,2.91,3.94,7.2,,F 5m 13apr20
FCR,99,3/30/20 0:00,0.1,R2,9/1/20,6.57,9.05,13.5,,F F99 0.1m 19mar20 r2
FCR,50,5/11/20 0:00,1.6,R2,9/1/20,10.6,5.2,3.55,,F 1.6m 11may20 r2
FCR,50,6/22/20 0:00,0.1,,9/1/20,10.3,6.19,2.33,,FF 0.1m 22jun20
FCR,101,3/30/20 0:00,0.1,R1,9/1/20,3.66,12.7,34.8,,F F101 0.1m 19mar20 r1
FCR,50,4/27/20 0:00,9,,9/1/20,139,3.71,3.81,,F 9m 27apr20
