Reservoir,Site,DateTime,Depth_m,Rep,RunDate,TP_ugL,TN_ugL,Notes_lachat,SampleID_lachat
BVR,20,3/30/20 0:00,0.1,R1,10/22/20,21.5,272,,B 20mar20 0.1m B20 r1
BVR,50,3/30/20 0:00,6,R1,10/22/20,20.6,269,,B 30mar20 6.0m r1
BVR,1,3/30/20 0:00,0.1,R1,10/22/20,21.3,218,,B 30mar20 0.1m B01 r1
FCR,50,9/15/20 0:00,8,,10/22/20,51.3,1006,,F 15sep20 8.0m
FCR,50,1/31/20 0:00,1.6,,10/22/20,27.6,377,,F 31jan20 1.6m
BVR,50,3/30/20 0:00,0.1,R1,10/22/20,21.7,251,,B 30mar20 0.1m B50 r1
FCR,100.1,3/24/20 0:00,0.1,,10/22/20,120,774,,isco flow comp r1 24mar20
FCR,50,3/30/20 0:00,0.1,R1,10/22/20,27.6,198,,F50 0.1m 30mar20 r1 rc
FCR,50,3/30/20 0:00,3.8,R1,10/22/20,27.7,290,,F50 3.8m 30mar20 r1 rc
FCR,50,4/10/20 0:00,1.6,,10/22/20,30.9,309,,F50 1.6m 10apr20
FCR,50,3/30/20 0:00,1.6,R2,10/22/20,26.7,289,,F 1.6m 30mar20 r2
FCR,100,8/10/20 0:00,0.1,,10/22/20,24.2,276,,F100 inf 10aug20
FCR,50,5/11/20 0:00,5,R1,10/22/20,33.6,327,,F 5.0m 11may20 r1
FCR,200,5/25/20 0:00,0.1,,10/22/20,72.2,361,changed to 200 based on rack map,F200 0.1m 25may20
FCR,100,5/25/20 0:00,0.1,,10/22/20,33.2,243,,F100 0.1m 25may20
FCR,50,9/11/20 0:00,1.6,,10/22/20,33.8,802,,F 11sep20 1.6m
FCR,100,2/29/20 0:00,0.1,,10/22/20,20.9,99,,F 29feb20 inf
FCR,50,4/27/20 0:00,1.6,,10/22/20,27.4,225,,F 1.6m 27apr20
FCR,100,9/2/20 0:00,0.1,,10/22/20,42.1,332,,F 02sep20 weir
FCR,100,1/31/20 0:00,0.1,,10/22/20,16.2,45,,F 31jan20 inf
FCR,200,2/29/20 0:00,0.1,,10/22/20,42.2,266,,F 29feb20 wet
FCR,200,1/31/20 0:00,0.1,,10/22/20,27.2,162,,F 31jan20 wet
FCR,100.1,10/5/20 0:00,0.1,,10/22/20,140,922,,F 05oct20 isco
FCR,200,9/2/20 0:00,0.1,,10/22/20,283.6,772,rerun in jun 21,F 02sep20 wet
FCR,50,9/21/20 0:00,1.6,,10/22/20,34,859,,F 21sep20 1.6m
FCR,50,9/15/20 0:00,1.6,,10/22/20,38.6,1097,,F 15sep20 1.6m
FCR,50,10/6/20 0:00,9,,10/22/20,37,1424,,F 06oct20 9.0m
BVR,50,10/1/20 0:00,10,,10/22/20,32.2,2856,,B 01oct20 10.0m
BVR,50,8/26/20 0:00,0.1,,10/22/20,20.3,405,,B 25aug20 0.1m
FCR,100.1,9/30/20 0:00,0.1,,10/22/20,144,962,,F 30sep20 isco
FCR,100,8/24/20 0:00,0.1,,10/22/20,36.6,550,,F 24aug20 inf
FCR,50,6/29/20 0:00,1.6,,10/22/20,21.3,178,,F 29jun20 1.6m
FCR,50,4/20/20 0:00,1.6,,10/22/20,31.4,315,,F 1.6m 20apr20 F50
FCR,50,2/29/20 0:00,1.6,,10/22/20,26.5,311,,F 29feb20 1.6m
BVR,50,10/5/20 0:00,6,,10/22/20,19,291,,B 05oct20 6.0m
FCR,50,9/15/20 0:00,9,,10/22/20,73.4,1258,,F 16sep20 9.0m
FCR,50,9/30/20 0:00,5,,10/22/20,39.2,826,,F 30sep20 5.0m
FCR,100.1,7/20/20 0:00,0.1,R1,10/22/20,54.8,374,,F 20jul20 isco flow com r1
FCR,50,6/3/20 0:00,1.6,,10/22/20,25.2,176,,F 02jun20 1.6m
FCR,30,3/30/20 0:00,0.1,R1,10/22/20,33.6,331,,F 19mar20 0.1m F30 r1
FCR,100.1,6/8/20 0:00,0.1,,10/22/20,71.2,381,,isco r1 08jun20
BVR,45,3/30/20 0:00,0.1,R1,10/22/20,22.5,280,,B 30mar20 0.1m B45 r1
FCR,50,9/2/20 0:00,8,,10/22/20,34.1,685,,F 02sep20 8.0m
FCR,100,9/30/20 0:00,0.1,,10/22/20,34.3,185,,F 30sep20 inf
BVR,50,9/16/20 0:00,3,,10/22/20,27,473,,B 16sep20 3.0m
FCR,50,3/30/20 0:00,8,R2,10/22/20,26,343,assuming one of these should be R2 because we ran 2 separate bottles with this date,FCR50 8.0 30mar20 r1 rc
FCR,200,3/30/20 0:00,0.1,,10/22/20,88.4,357,,F200 F 19mar20 0.1m
BVR,50,10/5/20 0:00,10,,10/22/20,42,2963,,B 05oct20 1 or 4 m?
FCR,100.1,9/15/20 0:00,0.1,R1,10/22/20,55.3,558,,F 15sep20 isco
FCR,100.1,5/25/20 0:00,0.1,,10/22/20,97.4,569,,isco 25may20
FCR,50,9/15/20 0:00,0.1,,10/22/20,34,1140,,F 15sep20 0.1m
FCR,50,5/4/20 0:00,1.6,,10/22/20,21.1,203,,F 04may20 1.6m
FCR,50,3/30/20 0:00,5,R1,10/22/20,26.3,253,,FCR50 5.0m 30mar20 r1 rc
FCR,50,3/30/20 0:00,9,R1,10/22/20,29.4,457,,"FCR50 9,0m 30mar20 r1 rc"
BVR,50,10/5/20 0:00,3,,10/22/20,18.6,333,,B 05oct20 3.0m
FCR,100.1,8/10/20 0:00,0.1,R1,10/22/20,98.4,682,,isco 10aug20 r1
FCR,50,8/10/20 0:00,1.6,,10/22/20,35.5,783,,F 10aug20 1.6m
BVR,50,3/30/20 0:00,11,R1,10/22/20,22,475,,B 30mar20 11.0m r1
FCR,50,9/30/20 0:00,1.6,,10/22/20,33.2,847,,F 30sep20 1.6m
FCR,50,8/24/20 0:00,1.6,,10/22/20,31.2,557,,F 24aug20 1.6m
FCR,50,3/30/20 0:00,1.6,R1,10/22/20,30.2,275,,F 1.6m 30mar20 r1
FCR,50,9/15/20 0:00,5,,10/22/20,42,794,,F 15sep20 5.0m
FCR,50,3/30/20 0:00,8,R1,10/22/20,26.2,368,,FCR50 8.0 30mar20 r1 rc
FCR,100,3/30/20 0:00,0.1,R1,10/22/20,37.2,190,,F100 19mar20 0.1m r1
BVR,30,3/30/20 0:00,0.1,R1,10/22/20,22.8,277,,B30 30mar20 0.1m r1
FCR,50,9/30/20 0:00,6.2,,10/22/20,34.3,763,,F 30sep20 6.2m
FCR,20,3/30/20 0:00,0.1,R1,10/22/20,30.3,310,,F20 19mar20 0.1m r1
FCR,50,3/30/20 0:00,6.2,R1,10/22/20,27.7,279,,FCR50 6.2m 30mar20 r1 rc
FCR,1,3/30/20 0:00,0.1,R1,10/22/20,39.3,388,,F01 19mar20 0.1m r1
FCR,102,3/30/20 0:00,0.1,R1,10/22/20,42.1,273,,F102 19mar20 0.1m r1
FCR,50,9/2/20 0:00,1.6,,10/22/20,42.6,610,,F 02sep 20 1.6m
FCR,100,7/20/20 0:00,0.1,,10/22/20,27.8,284,,F 20jul20 inf
FCR,50,6/12/20 0:00,1.6,,10/22/20,19.9,180,,F 12jun20 1.6m
FCR,200,7/20/20 0:00,0.1,,10/22/20,53.8,181,,F 20jul20 wet
FCR,50,10/6/20 0:00,1.6,,10/22/20,31.9,917,,F 06oct20 1.6m
FCR,100,6/8/20 0:00,0.1,,10/22/20,28.8,210,,F100 inf 08jun20
FCR,50,6/22/20 0:00,1.6,,10/22/20,26.7,225,,F 22jun20 1.6m
FCR,100.1,6/22/20 0:00,0.1,,10/22/20,98.4,508,,F 22jun20 isco
BVR,200,3/30/20 0:00,0.1,R1,10/22/20,24.9,278,,B 30mar20 0.1m B200 r1
BVR,50,3/30/20 0:00,3,R1,10/22/20,22.8,309,,B 30mar20 3.0m r1
FCR,100.1,5/11/20 0:00,0.1,R1,10/22/20,97.6,590,,FCR100 isco 11may20 r1
FCR,50,6/8/20 0:00,1.6,,10/22/20,26.3,224,,F 08jun20 1.6m
BVR,50,3/30/20 0:00,9,R1,10/22/20,22,368,,B 30mar20 9.0m r1
FCR,100,6/22/20 0:00,0.1,,10/22/20,30.4,213,,F 22jun20 F100
FCR,50,5/18/20 0:00,1.6,,10/22/20,18.3,180,,F 1.6m 18may20
FCR,50,4/13/20 0:00,1.6,,10/22/20,62.7,423,,F 13apr20 1.6m
FCR,200,6/22/20 0:00,0.1,,10/22/20,61.2,322,,F 22jun20 F200
FCR,200,10/5/20 0:00,0.1,,10/22/20,24.8,109,,F 05oct20 wet
FCR,50,9/15/20 0:00,6.2,,10/22/20,34.8,896,,F 15sep20 6.2m
FCR,50,5/25/20 0:00,1.6,,10/22/20,31.1,283,,F50 25may1.6m
BVR,100,3/30/20 0:00,0.1,,10/22/20,50.8,162,,B 30mar20 0.1m B100
FCR,101,3/30/20 0:00,0.1,R1,10/22/20,30.4,158,,F 19mar20 0.1m F101 r1
FCR,100,9/15/20 0:00,0.1,,10/22/20,34.6,267,,F 15sep20 weir
FCR,99,3/30/20 0:00,0.1,R1,10/22/20,24.3,125,,F 19mar20 0.1m F99 r1
FCR,50,5/11/20 0:00,1.6,R1,10/22/20,17.2,113,,FCR 1.6m 11may20 r1
FCR,50,7/20/20 0:00,1.6,,10/22/20,24.9,453,,F 20jul20 1.6m
FCR,100.1,9/2/20 0:00,0.1,R1,10/22/20,135,1036,,isco 02sep20 r1
FCR,45,3/30/20 0:00,0.1,R1,10/22/20,27.3,358,,F 19mar20 0.1m F45 r1
FCR,50,4/4/20 0:00,1.6,,10/22/20,31.9,401,,F 04apr20 1.6m
FCR,50,8/17/20 0:00,1.6,,10/22/20,31.8,754,,FCR 1.6m 17aug20
BVR,50,6/4/20 0:00,0.1,,10/29/20,10.8,152,,B04Jun20 0.1m
BVR,50,6/4/20 0:00,9,,10/29/20,26.6,834,,B04Jun20 9.0m
FCR,50,5/18/20 0:00,5,,10/29/20,36.5,263,,F18May20 5.0m
FCR,50,10/13/20 0:00,3.8,,10/29/20,27,692,,F13Oct20 3.8m
BVR,50,6/4/20 0:00,11,,10/29/20,31.1,999,,B09Jun20 11.0m
FCR,50,10/19/20 0:00,6.2,,10/29/20,32.3,1180,,F19Oct20 6.2m
BVR,50,5/14/20 0:00,11,,10/29/20,18.7,640,,B14May20 11.0m
BVR,50,10/14/20 0:00,0.1,,10/29/20,22.2,331,,B14Oct20 0.1m
FCR,50,9/2/20 0:00,6.2,,10/29/20,29.6,562,,F02Sep20 6.2m
FCR,50,8/24/20 0:00,3.8,,10/29/20,45.5,455,,F24Aug20 3.8m
FCR,50,5/11/20 0:00,9,,10/29/20,31.9,486,,F11May20 9.0m
FCR,50,10/13/20 0:00,5,,10/29/20,30.1,844,,F13Oct20 5.0m
