Rep,Date,Start,End,co2_slope_ppmS,co2_R2,Temp_C,co2_flux_umolCm2s,Reservoir,Site,ch4_slope_ppmS,ch4_R2,ch4_flux_umolCm2s,co2_flux_umolCm2s_flag,ch4_flux_umolCm2s_flag
1,2022-06-20,12:10:02,12:14:01,-0.081,0.85,30.12,-0.468,BVR,50,0.001,0.98,0.006,0,0
2,2022-06-20,12:18:43,12:22:42,-0.065,0.65,30.68,-0.375,BVR,50,0.001,0.94,0.006,0,0
1,2022-06-20,11:24:03,11:28:02,-0.04,0.76,25.5,-0.235,BVR,1,0.001,0.95,0.006,0,0
2,2022-06-20,11:31:10,11:35:09,-0.042,0.76,27.34,-0.245,BVR,1,0.001,0.98,0.006,0,0
3,2022-06-20,11:39:01,11:43:00,-0.06,0.89,28.67,-0.348,BVR,1,0.001,0.97,0.006,0,0
1,2022-06-13,12:08:29,12:12:28,-0.075,0.9,37.29,-0.423,BVR,50,0.001,0.95,0.006,0,0
2,2022-06-13,12:15:45,12:19:44,-0.069,0.9,38.03,-0.389,BVR,50,0.001,0.98,0.006,0,0
1,2022-06-13,11:30:14,11:34:13,-0.075,0.9,35.52,-0.426,BVR,1,0.003,0.97,0.017,0,0
2,2022-06-13,11:33:30,11:37:29,-0.1,0.96,35.83,-0.567,BVR,1,0.005,0.97,0.028,0,0
1,2022-06-13,11:22:16,11:24:15,-0.107,0.86,34.02,-0.61,BVR,1,0.004,0.99,0.023,0,0
2,2022-06-13,11:24:22,11:26:21,-0.088,0.83,34.31,-0.502,BVR,1,0.003,0.99,0.017,0,0
1,2022-06-13,11:14:08,11:17:07,-0.073,0.85,32.26,-0.419,BVR,1,0.003,1,0.017,0,0
2,2022-06-13,11:16:20,11:19:19,-0.083,0.84,32.95,-0.475,BVR,1,0.004,1,0.023,0,0
1,2022-06-07,19:04:23,19:06:23,-0.07,0.13,24.77,-0.412,BVR,50,0.003,0.96,0.018,0,0
2,2022-06-07,19:04:53,19:06:53,-0.06,0.11,24.85,-0.353,BVR,50,0.004,0.95,0.024,0,0
1,2022-06-07,19:05:18,19:09:17,-0.052,0.3,23.71,-0.307,BVR,1,0.003,0.97,0.018,0,0
2,2022-06-07,19:11:49,19:15:48,-0.037,0.12,24.97,-0.217,BVR,1,0.002,0.91,0.012,0,0
1,2022-05-31,19:05:04,19:09:03,-0.038,0.26,34.38,-0.217,BVR,50,0,0.76,0,0,0
2,2022-05-31,19:11:39,19:15:38,-0.032,0.09,35.16,-0.182,BVR,50,0.001,0.83,0.006,0,0
1,2022-05-31,19:08:54,19:12:52,-0.001,0,32.31,-0.006,BVR,1,0.002,0.91,0.011,0,0
2,2022-05-31,19:14:41,19:18:40,-0.011,0.02,33.65,-0.063,BVR,1,0.001,0.9,0.006,0,0
1,2022-05-17,19:04:23,19:08:22,-0.047,0.24,27.99,-0.274,BVR,50,0.003,0.96,0.017,0,0
2,2022-05-17,19:09:56,19:13:55,-0.075,0.25,29.51,-0.434,BVR,50,0.002,0.92,0.012,0,0
1,2022-05-17,19:05:49,19:09:48,-0.035,0.07,26.78,-0.205,BVR,1,0.002,0.89,0.012,0,0
2,2022-05-17,19:12:35,19:16:34,-0.028,0.08,27.73,-0.163,BVR,1,0.002,0.96,0.012,0,0
1,2022-05-09,19:08:28,19:11:27,-0.016,0.02,23.63,-0.094,BVR,50,0.001,0.68,0.006,0,0
2,2022-05-09,19:15:20,19:18:19,0.017,0.03,25.03,0.1,BVR,50,0.002,0.92,0.012,0,0
1,2022-05-09,19:03:22,19:07:21,0.002,0,27.43,0.012,BVR,1,0.002,0.94,0.012,0,0
2,2022-05-09,19:09:45,19:13:44,-0.018,0.04,27.82,-0.105,BVR,1,0.002,0.96,0.012,0,0
1,2022-05-05,19:06:32,19:10:30,-0.056,0.77,35.91,-0.318,BVR,50,0.003,0.97,0.017,0,0
2,2022-05-05,19:12:40,19:16:39,-0.047,0.67,37.38,-0.265,BVR,50,0.002,0.99,0.011,0,0
1,2022-05-05,19:06:35,19:09:34,-0.047,0.63,38.06,-0.265,BVR,1,0.003,0.9,0.017,0,0
2,2022-05-05,19:11:05,19:14:05,-0.073,0.75,38.43,-0.411,BVR,1,0.005,0.98,0.028,0,0
1,2022-06-27,19:05:33,19:09:32,0.083,0.93,26.75,0.485,BVR,1,0.001,0.99,0.006,0,0
2,2022-06-27,19:12:29,19:16:28,0.153,0.97,29.52,0.886,BVR,1,0.002,0.99,0.012,0,0
1,2022-06-27,19:03:19,19:07:18,0.102,0.91,31.88,0.586,BVR,50,0.001,0.99,0.006,0,0
2,2022-06-27,19:10:46,19:14:45,0.095,0.89,33.25,0.543,BVR,50,0.001,0.98,0.006,0,0
1,2022-07-05,19:04:35,19:08:34,0.097,0.78,27.55,0.565,BVR,1,0.004,0.98,0.023,0,0
2,2022-07-05,19:10:21,19:14:20,0.115,0.89,29.48,0.666,BVR,1,0.006,0.95,0.035,0,0
1,2022-07-05,19:04:19,19:08:18,0.154,0.92,32.94,0.882,BVR,50,0.004,0.95,0.023,0,0
2,2022-07-05,19:15:08,19:19:07,0.157,0.95,34.7,0.894,BVR,50,0.005,0.99,0.028,0,0
