Advanced Calibration Data,,,,,,,,,,,
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0,0,0,0,0,0,0,0,0
,Pressure(psi),unknown,0,-0.000189,0.995379,-0.000032,0.003576,0.347366,0,1,0
,Power(V),unknown,1,0,0,0,0,0,0,0,0
,DO(ppm),3/8/2014 9:06,1,0,0,0,0,0,0,0,0
,DO Temp(degC),unknown,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Field Calibration Data,,,,,,,,,,,
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7,,
,Temperature(degC),unknown,1,0,0,0,0,1,0,,
,Pressure(psi),unknown,1,0,0,0,0,1,0,,
,Power(V),unknown,1,0,0,0,0,1,0,,
,DO(ppm),3/8/2014 9:06,1,0,0,0,0,1,0,,
,DO Temp(degC),unknown,1,0,0,0,0,1,0,,
,,,,,,,,,,,
Sensor/Session information,,,,,,,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,Modbus Addr.,1,,,,,,,
Sensor Type,DO2,,Initialized w/fw Rev,2. 130,,,,,,,
Sensor Name,FCR DO (1),,Uploaded,Aqua4Plus 1.9.501,,,,,,,
Session Name,FCRDO2014,,Exported,Aqua4Plus 1.9.501,,,,,,,
# Records,1916-01-16 00:00:00,,,,,,,,,,
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),,,,,
,Sensor Range,Custom,Custom,Custom,Custom,Custom,,,,,
,Minimum,11.375,13.832027,12.221279,1.22,11.029999,,,,,
,Maximum,18.1875,26.762852,14.009759,12.049999,19.75,,,,,
,Mean,12.280311,26.516113,13.462243,4.986379,11.925968,,,,,
,Variance,0.4588828,0.0930175,0.1674547,6.2067557,0.4588478,,,,,
,Std Deviation,0.6774089,0.3049878,0.4092123,2.4913361,0.6773831,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),,,,,
1,2014-08-04 11:00:00,11.5625,26.456829,13.979951,3.26,11.139999,,,,,
2,2014-08-04 11:15:00,11.5,26.460335,13.979951,2.79,11.16,,,,,
3,2014-08-04 11:30:00,11.5,26.458805,13.979951,2.93,11.169998,,,,,
4,2014-08-04 11:45:00,11.5,26.453533,13.979951,3.1,11.169998,,,,,
5,2014-08-04 12:00:00,11.5,26.452421,13.979951,3.17,11.179998,,,,,
6,2014-08-04 12:15:00,11.5,26.450737,13.950144,2.32,11.209999,,,,,
7,2014-08-04 12:30:00,11.5,26.44557,13.979951,3.54,11.139999,,,,,
8,2014-08-04 12:45:00,11.5,26.446306,13.979951,4.02,11.129999,,,,,
9,2014-08-04 13:00:00,11.5,26.447681,13.950144,4.19,11.129999,,,,,
10,2014-08-04 13:15:00,11.5,26.444778,13.950144,4.22,11.119999,,,,,
11,2014-08-04 13:30:00,11.5,26.442356,13.622255,3.93,11.139999,,,,,
12,2014-08-04 13:45:00,11.5,26.441565,13.503023,3.82,11.139999,,,,,
13,2014-08-04 14:00:00,11.5,26.439825,13.413599,4.25,11.129999,,,,,
14,2014-08-04 14:15:00,11.5,26.439348,13.353984,4.43,11.129999,,,,,
15,2014-08-04 14:30:00,11.5,26.436607,13.532831,4.39,11.15,,,,,
16,2014-08-04 14:45:00,11.5,26.431759,13.741487,3.58,11.189999,,,,,
17,2014-08-04 15:00:00,11.5,26.434765,13.711679,2.68,11.209999,,,,,
18,2014-08-04 15:15:00,11.5,26.43239,13.711679,3.36,11.169998,,,,,
19,2014-08-04 15:30:00,11.5,26.429331,13.711679,3.7,11.15,,,,,
20,2014-08-04 15:45:00,11.5,26.428225,13.681871,3.52,11.179998,,,,,
21,2014-08-04 16:00:00,11.5,26.423374,13.681871,3.19,11.189999,,,,,
22,2014-08-04 16:15:00,11.5,26.424587,13.711679,4.59,11.15,,,,,
23,2014-08-04 16:30:00,11.5,26.424166,13.711679,4.63,11.139999,,,,,
24,2014-08-04 16:45:00,11.5625,26.42145,13.711679,4.75,11.129999,,,,,
25,2014-08-04 17:00:00,11.5,26.418947,13.711679,4.87,11.139999,,,,,
26,2014-08-04 17:15:00,11.5,26.417313,13.711679,4.9,11.139999,,,,,
27,2014-08-04 17:30:00,11.5,26.42,13.711679,4.81,11.139999,,,,,
28,2014-08-04 17:45:00,11.5,26.42132,13.711679,4.39,11.15,,,,,
29,2014-08-04 18:00:00,11.5,26.416573,13.741487,4.32,11.16,,,,,
30,2014-08-04 18:15:00,11.5,26.41647,13.711679,4.13,11.16,,,,,
31,2014-08-04 18:30:00,11.5625,26.417971,13.711679,3.58,11.179998,,,,,
32,2014-08-04 18:45:00,11.5,26.415892,13.711679,3.2,11.169998,,,,,
33,2014-08-04 19:00:00,11.5625,26.417023,13.741487,2.94,11.16,,,,,
34,2014-08-04 19:15:00,11.5625,26.417023,13.681871,3.07,11.15,,,,,
35,2014-08-04 19:30:00,11.5625,26.419447,13.652063,3.08,11.15,,,,,
36,2014-08-04 19:45:00,11.5,26.415943,13.562639,3.18,11.169998,,,,,
37,2014-08-04 20:00:00,11.5,26.415892,13.413599,3.3,11.16,,,,,
38,2014-08-04 20:15:00,11.5,26.421844,13.294368,3.36,11.169998,,,,,
39,2014-08-04 20:30:00,11.5,26.423113,13.264559,3.34,11.16,,,,,
40,2014-08-04 20:45:00,11.5,26.426907,13.204943,3.43,11.16,,,,,
41,2014-08-04 21:00:00,11.5,26.428593,13.175136,3.41,11.16,,,,,
42,2014-08-04 21:15:00,11.5,26.426062,13.175136,2.42,11.16,,,,,
43,2014-08-04 21:30:00,11.5,26.431862,13.145327,2.94,11.15,,,,,
44,2014-08-04 21:45:00,11.5,26.434975,13.145327,2.97,11.139999,,,,,
45,2014-08-04 22:00:00,11.5,26.436399,13.145327,2.95,11.139999,,,,,
46,2014-08-04 22:15:00,11.5,26.441669,13.11552,3.07,11.129999,,,,,
47,2014-08-04 22:30:00,11.5,26.447521,13.145327,3.2,11.139999,,,,,
48,2014-08-04 22:45:00,11.4375,26.442169,13.145327,3.29,11.139999,,,,,
49,2014-08-04 23:00:00,11.5,26.441826,13.11552,3.59,11.129999,,,,,
50,2014-08-04 23:15:00,12.5,26.441576,13.026095,3.86,11.209999,,,,,
51,2014-08-04 23:30:00,11.5,26.438086,13.085711,3.77,11.139999,,,,,
52,2014-08-04 23:45:00,11.4375,26.436476,13.145327,3.59,11.119999,,,,,
53,2014-08-05 00:00:00,11.4375,26.438164,13.11552,3.76,11.109999,,,,,
54,2014-08-05 00:15:00,11.4375,26.444172,13.11552,3.85,11.109999,,,,,
55,2014-08-05 00:30:00,11.4375,26.436689,13.085711,3.86,11.109999,,,,,
56,2014-08-05 00:45:00,11.5,26.433233,13.11552,4.02,11.119999,,,,,
57,2014-08-05 01:00:00,11.4375,26.432943,13.085711,4.17,11.109999,,,,,
58,2014-08-05 01:15:00,11.5,26.435871,13.085711,4.05,11.109999,,,,,
59,2014-08-05 01:30:00,11.4375,26.435474,13.085711,4.07,11.119999,,,,,
60,2014-08-05 01:45:00,11.4375,26.430836,13.085711,4.03,11.119999,,,,,
61,2014-08-05 02:00:00,11.4375,26.429359,13.026095,4.1,11.119999,,,,,
62,2014-08-05 02:15:00,11.5,26.429489,13.055903,4.21,11.129999,,,,,
63,2014-08-05 02:30:00,11.4375,26.431204,13.055903,4.19,11.119999,,,,,
64,2014-08-05 02:45:00,11.5,26.428383,13.055903,4.25,11.119999,,,,,
65,2014-08-05 03:00:00,11.4375,26.42799,13.026095,4.22,11.119999,,,,,
66,2014-08-05 03:15:00,11.4375,26.426409,13.026095,4.26,11.119999,,,,,
67,2014-08-05 03:30:00,11.4375,26.423666,13.026095,4.31,11.119999,,,,,
68,2014-08-05 03:45:00,11.4375,26.425089,12.996287,4.25,11.119999,,,,,
69,2014-08-05 04:00:00,11.5,26.42211,13.026095,4.28,11.129999,,,,,
70,2014-08-05 04:15:00,11.4375,26.422138,13.026095,4,11.129999,,,,,
71,2014-08-05 04:30:00,11.5,26.422268,13.026095,3.87,11.15,,,,,
72,2014-08-05 04:45:00,11.4375,26.425299,13.026095,3.15,11.169998,,,,,
73,2014-08-05 05:00:00,11.4375,26.423983,12.966479,3.57,11.15,,,,,
74,2014-08-05 05:15:00,11.4375,26.422928,13.026095,4.32,11.119999,,,,,
75,2014-08-05 05:30:00,11.5,26.424484,12.996287,4.45,11.129999,,,,,
76,2014-08-05 05:45:00,11.4375,26.4214,12.996287,4.37,11.129999,,,,,
77,2014-08-05 06:00:00,11.4375,26.423401,12.996287,4.23,11.129999,,,,,
78,2014-08-05 06:15:00,11.4375,26.42704,12.996287,3.82,11.139999,,,,,
79,2014-08-05 06:30:00,11.4375,26.427357,12.996287,3.49,11.15,,,,,
80,2014-08-05 06:45:00,11.4375,26.429888,12.996287,2.42,11.169998,,,,,
81,2014-08-05 07:00:00,11.5,26.429703,13.026095,1.47,11.189999,,,,,
82,2014-08-05 07:15:00,11.5,26.427277,13.085711,1.34,11.199999,,,,,
83,2014-08-05 07:30:00,11.5,26.433023,13.204943,1.34,11.189999,,,,,
84,2014-08-05 07:45:00,11.5,26.430386,13.443407,1.34,11.199999,,,,,
85,2014-08-05 08:00:00,11.5,26.431759,13.711679,1.33,11.23,,,,,
86,2014-08-05 08:15:00,11.5,26.433392,13.890528,1.34,11.259998,,,,,
87,2014-08-05 08:30:00,11.5,26.433023,13.950144,1.33,11.269999,,,,,
88,2014-08-05 08:45:00,11.5,26.434605,13.950144,1.33,11.259998,,,,,
89,2014-08-05 09:00:00,11.5,26.435343,13.979951,1.33,11.279999,,,,,
90,2014-08-05 09:15:00,11.5,26.430914,13.950144,1.33,11.269999,,,,,
91,2014-08-05 09:30:00,11.5,26.433708,13.979951,1.33,11.24,,,,,
92,2014-08-05 09:45:00,12.625,26.435291,13.979951,1.33,11.32,,,,,
93,2014-08-05 10:00:00,11.5625,26.429834,13.950144,2.06,11.199999,,,,,
94,2014-08-05 10:15:00,11.5,26.430017,13.979951,2.76,11.15,,,,,
95,2014-08-05 10:30:00,11.5,26.433655,13.950144,2.86,11.129999,,,,,
96,2014-08-05 10:45:00,11.5,26.429596,13.950144,2.98,11.129999,,,,,
97,2014-08-05 11:00:00,11.5,26.430914,13.950144,3.48,11.109999,,,,,
98,2014-08-05 11:15:00,11.5,26.43107,13.979951,3.63,11.109999,,,,,
99,2014-08-05 11:30:00,11.5,26.428278,13.950144,3.66,11.109999,,,,,
100,2014-08-05 11:45:00,11.5,26.426907,13.979951,3.75,11.109999,,,,,
101,2014-08-05 12:00:00,11.5,26.423851,13.979951,3.76,11.109999,,,,,
102,2014-08-05 12:15:00,11.5,26.422745,13.979951,3.75,11.109999,,,,,
103,2014-08-05 12:30:00,11.5,26.420053,13.979951,3.81,11.109999,,,,,
104,2014-08-05 12:45:00,11.5,26.41436,13.979951,3.9,11.109999,,,,,
105,2014-08-05 13:00:00,11.5,26.417049,13.979951,3.88,11.099998,,,,,
106,2014-08-05 13:15:00,11.5,26.410564,13.979951,4.01,11.109999,,,,,
107,2014-08-05 13:30:00,11.5,26.406399,13.979951,4.24,11.109999,,,,,
108,2014-08-05 13:45:00,11.5,26.403185,13.979951,4.26,11.109999,,,,,
109,2014-08-05 14:00:00,11.5,26.4035,13.950144,4.3,11.109999,,,,,
110,2014-08-05 14:15:00,11.5,26.395908,13.950144,4.28,11.129999,,,,,
111,2014-08-05 14:30:00,11.5,26.395908,13.979951,3.07,11.189999,,,,,
112,2014-08-05 14:45:00,11.5,26.395222,13.979951,2.57,11.189999,,,,,
113,2014-08-05 15:00:00,11.5,26.394592,13.979951,2.67,11.179998,,,,,
114,2014-08-05 15:15:00,11.5,26.388687,13.979951,2.79,11.169998,,,,,
115,2014-08-05 15:30:00,11.5,26.383411,13.950144,3.57,11.15,,,,,
116,2014-08-05 15:45:00,11.5,26.382992,13.979951,3.09,11.169998,,,,,
117,2014-08-05 16:00:00,11.5,26.383783,13.950144,2.81,11.16,,,,,
118,2014-08-05 16:15:00,11.5,26.383045,13.979951,1.66,11.15,,,,,
119,2014-08-05 16:30:00,11.5,26.37867,13.979951,1.78,11.139999,,,,,
120,2014-08-05 16:45:00,11.5,26.377193,13.979951,2.26,11.129999,,,,,
121,2014-08-05 17:00:00,11.5,26.373976,13.979951,2.04,11.129999,,,,,
122,2014-08-05 17:15:00,11.5,26.374399,13.979951,1.35,11.129999,,,,,
123,2014-08-05 17:30:00,11.5,26.375347,13.979951,1.37,11.139999,,,,,
124,2014-08-05 17:45:00,11.5,26.373871,13.979951,1.34,11.179998,,,,,
125,2014-08-05 18:00:00,11.5,26.374348,13.979951,1.34,11.179998,,,,,
126,2014-08-05 18:15:00,11.5,26.380777,13.979951,1.35,11.109999,,,,,
127,2014-08-05 18:30:00,11.5,26.379198,13.979951,1.34,11.099998,,,,,
128,2014-08-05 18:45:00,11.5,26.37693,13.979951,1.33,11.15,,,,,
129,2014-08-05 19:00:00,11.5,26.376616,13.801103,1.34,11.199999,,,,,
130,2014-08-05 19:15:00,11.4375,26.376482,13.741487,1.33,11.199999,,,,,
131,2014-08-05 19:30:00,11.5,26.381042,13.652063,1.43,11.199999,,,,,
132,2014-08-05 19:45:00,11.5,26.377932,13.473215,1.8,11.169998,,,,,
133,2014-08-05 20:00:00,11.5,26.37867,13.264559,2.47,11.139999,,,,,
134,2014-08-05 20:15:00,11.5,26.378088,13.234752,2.8,11.129999,,,,,
135,2014-08-05 20:30:00,11.5,26.380409,13.204943,3.09,11.109999,,,,,
136,2014-08-05 20:45:00,11.4375,26.382755,13.175136,3.06,11.109999,,,,,
137,2014-08-05 21:00:00,11.4375,26.382071,13.145327,3.26,11.109999,,,,,
138,2014-08-05 21:15:00,11.4375,26.381912,13.175136,3.67,11.119999,,,,,
139,2014-08-05 21:30:00,11.5,26.38916,13.175136,3.95,11.109999,,,,,
140,2014-08-05 21:45:00,11.4375,26.390345,13.145327,3.85,11.089998,,,,,
141,2014-08-05 22:00:00,11.5,26.39127,13.145327,3.72,11.099998,,,,,
142,2014-08-05 22:15:00,11.4375,26.387184,13.145327,3.7,11.099998,,,,,
143,2014-08-05 22:30:00,11.4375,26.392351,13.145327,3.58,11.099998,,,,,
144,2014-08-05 22:45:00,11.4375,26.390558,13.145327,2.36,11.119999,,,,,
145,2014-08-05 23:00:00,11.4375,26.393827,13.145327,1.77,11.119999,,,,,
146,2014-08-05 23:15:00,11.4375,26.391085,13.11552,2.85,11.109999,,,,,
147,2014-08-05 23:30:00,11.4375,26.387657,13.145327,3.11,11.099998,,,,,
148,2014-08-05 23:45:00,11.4375,26.394987,13.145327,3.22,11.109999,,,,,
149,2014-08-06 00:00:00,11.4375,26.390926,13.11552,3.26,11.109999,,,,,
150,2014-08-06 00:15:00,11.4375,26.392984,13.145327,3.07,11.119999,,,,,
151,2014-08-06 00:30:00,11.4375,26.391241,13.145327,3.35,11.119999,,,,,
152,2014-08-06 00:45:00,11.4375,26.39562,13.145327,3.77,11.109999,,,,,
153,2014-08-06 01:00:00,11.4375,26.394882,13.085711,3.85,11.109999,,,,,
154,2014-08-06 01:15:00,11.4375,26.391085,13.11552,3.74,11.109999,,,,,
