
Advanced Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0.000000,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
,Pressure(psi),unknown,0.000001,-0.000219,1.003133,-0.000022,0.001997,0.421111,0.000000,1.000000,0.000000
,Power(V),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO(ppm),12-Jul-13 16:45,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,DO Temp(degC),unknown,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00

Field Calibration Data
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7
,Temperature(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Pressure(psi),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,Power(V),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO(ppm),12-Jul-13 16:45,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
,DO Temp(degC),unknown,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000

Sensor/Session information
SensorSN, 21230023 ,,Modbus Addr., 3 
Sensor Type,DO2,,Initialized w/fw Rev,"2. 131"
Sensor Name,FCR DO 1m  (3),,Uploaded,"Aqua4Plus 1.9.501"
Session Name,FCR_DO_1m_082817,,Exported,"Aqua4Plus 1.9.501"
# Records,  1485 
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),
,Sensor Range,Custom,Custom,Custom,Custom,Custom,
,Minimum,18.937500,15.035697,5.782752,7.219999,18.709999,
,Maximum,24.937500,15.320419,13.532831,8.759999,24.289997,
,Mean,21.818897,15.160350,10.410659,8.076599,21.316342,
,Variance,2.3646266,0.0038682,2.0929347,0.0900596,1.8775166,
,Std Deviation,1.5377342,0.0621950,1.4466979,0.3000993,1.3702250,
,,,,,,,
,,,,,,,
Rec #,Date/Time,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC)
1,28-Aug-17 17:00:00,24.937500,15.134427,11.207808,8.419999,24.289997
2,28-Aug-17 17:15:00,24.937500,15.134747,11.267424,8.440000,24.269997
3,28-Aug-17 17:30:00,24.875000,15.136543,11.207808,8.410000,24.269997
4,28-Aug-17 17:45:00,24.937500,15.135328,11.028959,8.440000,24.269997
5,28-Aug-17 18:00:00,24.875000,15.133788,10.939535,8.480000,24.269997
6,28-Aug-17 18:15:00,24.812500,15.129275,10.820303,8.450000,24.250000
7,28-Aug-17 18:30:00,24.750000,15.132555,10.790496,8.440000,24.239998
8,28-Aug-17 18:45:00,24.750000,15.133140,10.790496,8.419999,24.209999
9,28-Aug-17 19:00:00,24.687500,15.135091,10.760687,8.429999,24.199997
10,28-Aug-17 19:15:00,24.687500,15.130588,10.760687,8.429999,24.169998
11,28-Aug-17 19:30:00,24.625000,15.132328,10.730880,8.389999,24.160000
12,28-Aug-17 19:45:00,24.625000,15.134819,10.671264,8.450000,24.129997
13,28-Aug-17 20:00:00,24.562500,15.136986,10.671264,8.419999,24.089996
14,28-Aug-17 20:15:00,24.562500,15.136351,10.760687,8.400000,24.070000
15,28-Aug-17 20:30:00,24.562500,15.132162,10.730880,8.330000,24.049999
16,28-Aug-17 20:45:00,24.500000,15.132793,10.730880,8.349999,24.019997
17,28-Aug-17 21:00:00,24.500000,15.140794,10.701071,8.389999,23.989998
18,28-Aug-17 21:15:00,24.437500,15.134161,10.671264,8.370000,23.969997
19,28-Aug-17 21:30:00,24.437500,15.134108,10.730880,8.370000,23.939999
20,28-Aug-17 21:45:00,24.437500,15.136704,10.701071,8.339999,23.919998
21,28-Aug-17 22:00:00,24.437500,15.139249,10.671264,8.330000,23.889999
22,28-Aug-17 22:15:00,24.375000,15.140459,10.701071,8.309999,23.879997
23,28-Aug-17 22:30:00,24.375000,15.138447,10.701071,8.290000,23.859997
24,28-Aug-17 22:45:00,24.312500,15.135682,10.671264,8.290000,23.820000
25,28-Aug-17 23:00:00,24.312500,15.138280,10.611648,8.320000,23.799999
26,28-Aug-17 23:15:00,24.250000,15.130800,10.671264,8.299999,23.769997
27,28-Aug-17 23:30:00,24.250000,15.130800,10.701071,8.299999,23.739998
28,28-Aug-17 23:45:00,24.187500,15.126975,10.671264,8.309999,23.709999
29,29-Aug-17 00:00:00,24.187500,15.126127,10.581839,8.280000,23.699997
30,29-Aug-17 00:15:00,24.187500,15.128885,10.671264,8.250000,23.689999
31,29-Aug-17 00:30:00,24.187500,15.131799,10.671264,8.240000,23.660000
32,29-Aug-17 00:45:00,24.187500,15.128618,10.641455,8.230000,23.639999
33,29-Aug-17 01:00:00,24.125000,15.131051,10.581839,8.200000,23.619999
34,29-Aug-17 01:15:00,24.062500,15.124416,10.581839,8.209999,23.579998
35,29-Aug-17 01:30:00,24.062500,15.123254,10.641455,8.219999,23.579998
36,29-Aug-17 01:45:00,24.062500,15.121925,10.641455,8.160000,23.559998
37,29-Aug-17 02:00:00,24.062500,15.121873,10.552032,8.139999,23.549999
38,29-Aug-17 02:15:00,24.000000,15.119164,10.611648,8.110000,23.519997
39,29-Aug-17 02:30:00,24.000000,15.120117,10.641455,8.129999,23.509998
40,29-Aug-17 02:45:00,24.000000,15.117043,10.581839,8.089999,23.500000
41,29-Aug-17 03:00:00,23.937500,15.113750,10.552032,8.080000,23.480000
42,29-Aug-17 03:15:00,23.937500,15.108133,10.581839,8.080000,23.469997
43,29-Aug-17 03:30:00,23.937500,15.109192,10.611648,8.110000,23.449997
44,29-Aug-17 03:45:00,23.875000,15.110347,10.611648,8.080000,23.419998
45,29-Aug-17 04:00:00,23.875000,15.110189,10.522223,8.110000,23.379997
46,29-Aug-17 04:15:00,23.812500,15.109918,10.611648,8.099999,23.389999
47,29-Aug-17 04:30:00,23.875000,15.109766,10.581839,8.080000,23.369999
48,29-Aug-17 04:45:00,23.875000,15.109714,10.581839,8.089999,23.359997
49,29-Aug-17 05:00:00,23.812500,15.105837,10.522223,8.040000,23.359997
50,29-Aug-17 05:15:00,23.875000,15.102771,10.581839,8.040000,23.349998
51,29-Aug-17 05:30:00,23.812500,15.099740,10.552032,8.040000,23.329998
52,29-Aug-17 05:45:00,23.812500,15.102180,10.581839,8.020000,23.320000
53,29-Aug-17 06:00:00,23.812500,15.102922,10.522223,7.980000,23.309998
54,29-Aug-17 06:15:00,23.812500,15.111877,10.581839,7.980000,23.279999
55,29-Aug-17 06:30:00,23.750000,15.111391,10.581839,7.980000,23.279999
56,29-Aug-17 06:45:00,23.750000,15.111340,10.581839,7.980000,23.259998
57,29-Aug-17 07:00:00,23.750000,15.104874,10.492415,7.990000,23.259998
58,29-Aug-17 07:15:00,23.750000,15.108904,10.552032,7.950000,23.250000
59,29-Aug-17 07:30:00,23.750000,15.114413,10.522223,7.959999,23.250000
60,29-Aug-17 07:45:00,23.687500,15.112231,10.552032,7.959999,23.219997
61,29-Aug-17 08:00:00,23.687500,15.111862,10.432799,7.969999,23.209999
62,29-Aug-17 08:15:00,23.750000,15.113035,10.552032,7.940000,23.199997
63,29-Aug-17 08:30:00,23.687500,15.115730,10.552032,7.929999,23.160000
64,29-Aug-17 08:45:00,23.625000,15.114240,10.552032,7.940000,23.119999
65,29-Aug-17 09:00:00,23.625000,15.110847,10.492415,7.959999,23.099998
66,29-Aug-17 09:15:00,23.562500,15.113913,10.581839,7.950000,23.089996
67,29-Aug-17 09:30:00,23.562500,15.113223,10.552032,7.950000,23.079998
68,29-Aug-17 09:45:00,23.562500,15.112004,10.552032,7.959999,23.039997
69,29-Aug-17 10:00:00,23.562500,15.112905,10.492415,7.959999,23.029999
70,29-Aug-17 10:15:00,23.500000,15.110195,10.850111,7.940000,23.000000
71,29-Aug-17 10:30:00,23.500000,15.111624,10.879919,7.919999,22.989998
72,29-Aug-17 10:45:00,23.500000,15.117880,10.909727,7.900000,22.959999
73,29-Aug-17 11:00:00,23.500000,15.112525,10.939535,7.919999,22.949997
74,29-Aug-17 11:15:00,23.437500,15.112780,10.969343,7.900000,22.949997
75,29-Aug-17 11:30:00,23.437500,15.112941,10.969343,7.879999,22.939999
76,29-Aug-17 11:45:00,23.500000,15.116447,11.118383,7.889999,22.939999
77,29-Aug-17 12:00:00,23.437500,15.114211,11.207808,7.889999,22.929996
78,29-Aug-17 12:15:00,23.437500,15.114369,11.148191,7.929999,22.899998
79,29-Aug-17 12:30:00,23.437500,15.111932,11.088575,7.929999,22.889999
80,29-Aug-17 12:45:00,23.437500,15.111246,11.177999,7.940000,22.889999
81,29-Aug-17 13:00:00,23.437500,15.106262,11.297231,7.929999,22.879997
