"Reading Date","FCR Barometric Pressure Temperature (degC)","FCR Barometric Pressure Pressure (PSI)","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","FCR DO 1m Temperature (degC)","FCR DO 1m Pressure (PSI)","FCR DO 1m Power (V)","FCR DO 1m Dissolved Oxygen (ppm)","FCR DO 1m Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"11/11/15 00:00:07","","","","","","","","13.500","15.310","13.026","9.400","13.120","","",""
"11/11/15 00:00:07","","","","","","","","13.500","15.310","13.026","9.400","13.120","","",""
"11/11/15 00:00:00","","","","","","","","","","","","","7.816","13.169","13.143"
"11/11/15 00:00:00","","","","","","","","","","","","","7.816","13.169","13.143"
"11/10/15 23:45:17","10.625","13.848","","","","","","","","","","","","",""
"11/10/15 23:45:17","10.625","13.848","","","","","","","","","","","","",""
"11/10/15 23:45:14","","","12.625","26.349","13.085","8.910","12.770","","","","","","","",""
"11/10/15 23:45:14","","","12.625","26.349","13.085","8.910","12.770","","","","","","","",""
"11/10/15 23:45:07","","","","","","","","13.500","15.305","13.055","9.400","13.130","","",""
"11/10/15 23:45:07","","","","","","","","13.500","15.305","13.055","9.400","13.130","","",""
"11/10/15 23:30:17","10.812","13.852","","","","","","","","","","","","",""
"11/10/15 23:30:17","10.812","13.852","","","","","","","","","","","","",""
"11/10/15 23:30:14","","","12.625","26.359","13.055","8.919","12.770","","","","","","","",""
"11/10/15 23:30:14","","","12.625","26.359","13.055","8.919","12.770","","","","","","","",""
"11/10/15 23:30:07","","","","","","","","13.562","15.313","13.055","9.400","13.170","","",""
"11/10/15 23:30:07","","","","","","","","13.562","15.313","13.055","9.400","13.170","","",""
"11/10/15 23:15:17","11.000","13.854","","","","","","","","","","","","",""
"11/10/15 23:15:17","11.000","13.854","","","","","","","","","","","","",""
"11/10/15 23:15:14","","","12.625","26.335","13.026","8.950","12.760","","","","","","","",""
"11/10/15 23:15:14","","","12.625","26.335","13.026","8.950","12.760","","","","","","","",""
"11/10/15 23:15:07","","","","","","","","13.562","15.318","13.055","9.400","13.210","","",""
"11/10/15 23:15:07","","","","","","","","13.562","15.318","13.055","9.400","13.210","","",""
"11/10/15 23:00:17","11.062","13.855","","","","","","","","","","","","",""
"11/10/15 23:00:14","","","12.625","26.364","13.055","8.919","12.770","","","","","","","",""
"11/10/15 23:00:07","","","","","","","","13.625","15.321","13.055","9.389","13.240","","",""
"11/10/15 23:00:00","","","","","","","","","","","","","8.590","13.160","13.160"
"11/10/15 22:45:17","11.250","13.855","","","","","","","","","","","","",""
"11/10/15 22:45:14","","","12.687","26.325","13.055","8.889","12.770","","","","","","","",""
"11/10/15 22:45:07","","","","","","","","13.625","15.314","13.055","9.400","13.260","","",""
"11/10/15 22:30:17","11.437","13.858","","","","","","","","","","","","",""
"11/10/15 22:30:14","","","12.625","26.346","13.085","8.900","12.770","","","","","","","",""
"11/10/15 22:30:07","","","","","","","","13.687","15.316","13.055","9.400","13.310","","",""
"11/10/15 22:15:17","11.562","13.859","","","","","","","","","","","","",""
"11/10/15 22:15:14","","","12.625","26.352","13.055","8.900","12.770","","","","","","","",""
"11/10/15 22:15:07","","","","","","","","13.687","15.315","13.055","9.400","13.320","","",""
"11/10/15 22:00:17","11.625","13.859","","","","","","","","","","","","",""
"11/10/15 22:00:14","","","12.625","26.350","13.026","8.929","12.770","","","","","","","",""
