"Reading Date","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"11/03/15 21:00:00","","","","","","13.128","13.204","13.187"
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 20:45:09","12.875","26.553","13.175","9.110","13.020","","",""
"11/03/15 20:45:09","12.875","26.553","13.175","9.110","13.020","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 20:30:09","12.875","26.549","13.175","9.129","13.020","","",""
"11/03/15 20:30:09","12.875","26.549","13.175","9.129","13.020","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 20:15:09","12.937","26.549","13.145","9.120","13.020","","",""
"11/03/15 20:15:09","12.937","26.549","13.145","9.120","13.020","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 20:00:09","12.875","26.545","13.145","9.099","13.020","","",""
"- null date -","","","","","","","",""
"11/03/15 20:00:00","","","","","","13.911","13.213","13.195"
"- null date -","","","","","","","",""
"11/03/15 19:45:09","12.875","26.536","13.175","9.110","13.020","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 19:30:09","12.937","26.549","13.175","9.110","13.030","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 19:15:09","12.875","26.547","13.145","9.080","13.030","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 19:00:09","12.875","26.543","13.175","9.089","13.010","","",""
"- null date -","","","","","","","",""
"11/03/15 19:00:00","","","","","","14.241","13.222","13.020"
"- null date -","","","","","","","",""
"11/03/15 18:45:09","12.875","26.542","13.204","9.099","13.020","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 18:30:09","12.875","26.536","13.175","9.110","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 18:15:09","12.875","26.536","13.175","9.099","13.020","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 18:00:09","12.875","26.528","13.204","9.089","13.010","","",""
"- null date -","","","","","","","",""
"11/03/15 18:00:00","","","","","","15.848","13.265","13.230"
"- null date -","","","","","","","",""
"11/03/15 17:45:09","12.875","26.532","13.234","9.139","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 17:30:09","12.875","26.511","13.264","9.129","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 17:15:09","12.875","26.527","13.294","9.129","13.010","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/03/15 17:00:09","12.875","26.528","13.503","9.160","13.010","","",""
"- null date -","","","","","","","",""
"11/03/15 17:00:00","","","","","","19.462","13.572","12.766"
"- null date -","","","","","","","",""
