"","Rec #","Date","Temperature(degC)","Pressure(psi)","Power(V)","DO(ppm)","DO Temp(degC)","X8","X9","X10","X11","X12"
"1",1385,2015-04-15 00:00:00,7.1875,26.520176,13.085711,8.77,6.669999,NA,NA,NA,NA,NA
"2",1386,2015-04-15 00:15:00,7.1875,26.521704,13.11552,8.849999,6.69,NA,NA,NA,NA,NA
"3",1387,2015-04-15 00:30:00,7.1875,26.521494,13.11552,8.94,6.69,NA,NA,NA,NA,NA
"4",1388,2015-04-15 00:45:00,7.1875,26.525557,13.11552,8.929999,6.69,NA,NA,NA,NA,NA
"5",1389,2015-04-15 01:00:00,7.125,26.521982,13.085711,9.08,6.7,NA,NA,NA,NA,NA
"6",1390,2015-04-15 01:15:00,7.1875,26.520704,13.085711,8.94,6.709999,NA,NA,NA,NA,NA
"7",1391,2015-04-15 01:30:00,7.1875,26.516272,13.085711,8.87,6.73,NA,NA,NA,NA,NA
"8",1392,2015-04-15 01:45:00,7.1875,26.510572,13.085711,8.91,6.709999,NA,NA,NA,NA,NA
"9",1393,2015-04-15 02:00:00,7.1875,26.51601,13.055903,8.9,6.73,NA,NA,NA,NA,NA
"10",1394,2015-04-15 02:15:00,7.25,26.519321,13.085711,9.009999,6.74,NA,NA,NA,NA,NA
"11",1395,2015-04-15 02:30:00,7.25,26.518106,13.055903,9.049999,6.74,NA,NA,NA,NA,NA
"12",1396,2015-04-15 02:45:00,7.25,26.516155,13.055903,9.07,6.75,NA,NA,NA,NA,NA
"13",1397,2015-04-15 03:00:00,7.25,26.520906,13.026095,9.07,6.75,NA,NA,NA,NA,NA
"14",1398,2015-04-15 03:15:00,7.25,26.525337,13.055903,9.07,6.759999,NA,NA,NA,NA,NA
"15",1399,2015-04-15 03:30:00,7.25,26.521536,13.055903,9.059999,6.759999,NA,NA,NA,NA,NA
"16",1400,2015-04-15 03:45:00,7.25,26.524755,13.026095,9.07,6.75,NA,NA,NA,NA,NA
"17",1401,2015-04-15 04:00:00,7.25,26.528395,12.996287,9.089999,6.75,NA,NA,NA,NA,NA
"18",1402,2015-04-15 04:15:00,7.25,26.524651,13.026095,9.07,6.759999,NA,NA,NA,NA,NA
"19",1403,2015-04-15 04:30:00,7.25,26.5256,13.026095,9.059999,6.759999,NA,NA,NA,NA,NA
"20",1404,2015-04-15 04:45:00,7.25,26.525862,12.996287,9.049999,6.74,NA,NA,NA,NA,NA
"21",1405,2015-04-15 05:00:00,7.25,26.524176,12.966479,9.03,6.719999,NA,NA,NA,NA,NA
"22",1406,2015-04-15 05:15:00,7.25,26.522699,12.996287,8.969999,6.719999,NA,NA,NA,NA,NA
"23",1407,2015-04-15 05:30:00,7.1875,26.527037,12.996287,8.94,6.719999,NA,NA,NA,NA,NA
"24",1408,2015-04-15 05:45:00,7.1875,26.527405,12.996287,8.929999,6.74,NA,NA,NA,NA,NA
"25",1409,2015-04-15 06:00:00,7.1875,26.530937,12.936671,8.809999,6.759999,NA,NA,NA,NA,NA
"26",1410,2015-04-15 06:15:00,7.1875,26.536161,12.966479,8.759999,6.759999,NA,NA,NA,NA,NA
"27",1411,2015-04-15 06:30:00,7.1875,26.53669,12.936671,8.919999,6.709999,NA,NA,NA,NA,NA
"28",1412,2015-04-15 06:45:00,7.1875,26.539381,12.966479,9.16,6.66,NA,NA,NA,NA,NA
"29",1413,2015-04-15 07:00:00,7.1875,26.540331,12.906863,9.169999,6.639999,NA,NA,NA,NA,NA
"30",1414,2015-04-15 07:15:00,7.1875,26.550253,12.906863,9.16,6.629999,NA,NA,NA,NA,NA
"31",1415,2015-04-15 07:30:00,7.1875,26.556845,12.906863,9.129999,6.66,NA,NA,NA,NA,NA
"32",1416,2015-04-15 07:45:00,7.1875,26.559591,12.936671,9.129999,6.669999,NA,NA,NA,NA,NA
"33",1417,2015-04-15 08:00:00,7.1875,26.565502,12.966479,9.12,6.69,NA,NA,NA,NA,NA
"34",1418,2015-04-15 08:15:00,7.1875,26.564444,13.175136,9.16,6.69,NA,NA,NA,NA,NA
"35",1419,2015-04-15 08:30:00,7.1875,26.565077,13.473215,8.91,6.719999,NA,NA,NA,NA,NA
"36",1420,2015-04-15 08:45:00,7.25,26.55657,13.950144,8.919999,6.73,NA,NA,NA,NA,NA
"37",1421,2015-04-15 09:00:00,7.25,26.561954,13.979951,8.969999,6.719999,NA,NA,NA,NA,NA
"38",1422,2015-04-15 09:15:00,7.25,26.560318,13.979951,9.19,6.73,NA,NA,NA,NA,NA
"39",1423,2015-04-15 09:30:00,7.25,26.56765,13.950144,9.179999,6.73,NA,NA,NA,NA,NA
"40",1424,2015-04-15 09:45:00,7.25,26.561903,13.950144,9.04,6.719999,NA,NA,NA,NA,NA
"41",1425,2015-04-15 10:00:00,7.25,26.563219,13.950144,9.04,6.709999,NA,NA,NA,NA,NA
"42",1426,2015-04-15 10:15:00,7.25,26.565065,13.950144,9.11,6.73,NA,NA,NA,NA,NA
"43",1427,2015-04-15 10:30:00,7.25,26.565065,13.950144,9.12,6.74,NA,NA,NA,NA,NA
"44",1428,2015-04-15 10:45:00,7.25,26.568495,13.950144,9.059999,6.759999,NA,NA,NA,NA,NA
"45",1429,2015-04-15 11:00:00,7.25,26.567072,13.950144,9.08,6.759999,NA,NA,NA,NA,NA
"46",1430,2015-04-15 11:15:00,7.25,26.562269,13.979951,9.12,6.79,NA,NA,NA,NA,NA
"47",1431,2015-04-15 11:30:00,7.25,26.563906,13.950144,9.129999,6.82,NA,NA,NA,NA,NA
"48",1432,2015-04-15 11:45:00,7.25,26.56443,13.950144,9.11,6.83,NA,NA,NA,NA,NA
"49",1433,2015-04-15 12:00:00,7.3125,26.570436,13.979951,9.12,6.83,NA,NA,NA,NA,NA
"50",1434,2015-04-15 12:15:00,7.3125,26.568481,13.979951,9.15,6.83,NA,NA,NA,NA,NA
"51",1435,2015-04-15 12:30:00,7.3125,26.570065,13.950144,9.16,6.809999,NA,NA,NA,NA,NA
"52",1436,2015-04-15 12:45:00,7.3125,26.571648,13.950144,9.15,6.799999,NA,NA,NA,NA,NA
"53",1437,2015-04-15 13:00:00,7.3125,26.568644,13.979951,9.19,6.78,NA,NA,NA,NA,NA
"54",1438,2015-04-15 13:15:00,7.3125,26.568113,13.950144,9.309999,6.78,NA,NA,NA,NA,NA
"55",1439,2015-04-15 13:30:00,7.3125,26.571491,13.979951,9.32,6.78,NA,NA,NA,NA,NA
"56",1440,2015-04-15 13:45:00,7.3125,26.570274,13.950144,9.469999,6.759999,NA,NA,NA,NA,NA
"57",1441,2015-04-15 14:00:00,7.3125,26.573971,13.950144,8.99,6.78,NA,NA,NA,NA,NA
"58",1442,2015-04-15 14:15:00,7.3125,26.573231,13.950144,8.669999,6.78,NA,NA,NA,NA,NA
"59",1443,2015-04-15 14:30:00,7.3125,26.573179,13.950144,9.11,6.73,NA,NA,NA,NA,NA
"60",1444,2015-04-15 14:45:00,7.3125,26.570856,13.979951,9.19,6.7,NA,NA,NA,NA,NA
"61",1445,2015-04-15 15:00:00,7.25,26.569712,13.979951,9.11,6.7,NA,NA,NA,NA,NA
"62",1446,2015-04-15 15:15:00,7.3125,26.567007,13.950144,9.11,6.7,NA,NA,NA,NA,NA
"63",1447,2015-04-15 15:30:00,7.3125,26.566689,13.979951,8.99,6.709999,NA,NA,NA,NA,NA
"64",1448,2015-04-15 15:45:00,8.5,26.570328,13.979951,8.94,6.82,NA,NA,NA,NA,NA
"65",1449,2015-04-15 16:00:00,7.375,26.570215,13.979951,8.91,6.75,NA,NA,NA,NA,NA
"66",1450,2015-04-15 16:15:00,7.3125,26.565634,13.979951,8.83,6.75,NA,NA,NA,NA,NA
"67",1451,2015-04-15 16:30:00,7.3125,26.564474,13.979951,8.889999,6.74,NA,NA,NA,NA,NA
"68",1452,2015-04-15 16:45:00,7.3125,26.565895,13.979951,8.94,6.75,NA,NA,NA,NA,NA
"69",1453,2015-04-15 17:00:00,7.3125,26.564947,13.979951,8.87,6.75,NA,NA,NA,NA,NA
"70",1454,2015-04-15 17:15:00,7.3125,26.57128,13.979951,8.919999,6.73,NA,NA,NA,NA,NA
"71",1455,2015-04-15 17:30:00,7.3125,26.571857,13.950144,9.009999,6.719999,NA,NA,NA,NA,NA
"72",1456,2015-04-15 17:45:00,7.25,26.574724,13.830912,9.12,6.709999,NA,NA,NA,NA,NA
"73",1457,2015-04-15 18:00:00,7.25,26.569233,13.801103,9.139999,6.69,NA,NA,NA,NA,NA
"74",1458,2015-04-15 18:15:00,7.25,26.568815,13.801103,8.91,6.7,NA,NA,NA,NA,NA
"75",1459,2015-04-15 18:30:00,7.25,26.571295,13.771296,8.83,6.719999,NA,NA,NA,NA,NA
"76",1460,2015-04-15 18:45:00,7.25,26.570501,13.622255,8.86,6.719999,NA,NA,NA,NA,NA
"77",1461,2015-04-15 19:00:00,7.25,26.569233,13.443407,8.839999,6.74,NA,NA,NA,NA,NA
"78",1462,2015-04-15 19:15:00,7.1875,26.573204,13.294368,8.879999,6.73,NA,NA,NA,NA,NA
"79",1463,2015-04-15 19:30:00,7.25,26.57029,13.264559,8.849999,6.73,NA,NA,NA,NA,NA
"80",1464,2015-04-15 19:45:00,7.1875,26.579796,13.234752,8.879999,6.719999,NA,NA,NA,NA,NA
"81",1465,2015-04-15 20:00:00,7.1875,26.577055,13.204943,8.959999,6.709999,NA,NA,NA,NA,NA
"82",1466,2015-04-15 20:15:00,7.1875,26.583914,13.175136,8.98,6.709999,NA,NA,NA,NA,NA
"83",1467,2015-04-15 20:30:00,7.1875,26.583965,13.204943,8.95,6.719999,NA,NA,NA,NA,NA
"84",1468,2015-04-15 20:45:00,7.1875,26.591145,13.175136,8.99,6.719999,NA,NA,NA,NA,NA
"85",1469,2015-04-15 21:00:00,7.1875,26.588449,13.145327,8.95,6.719999,NA,NA,NA,NA,NA
"86",1470,2015-04-15 21:15:00,7.1875,26.593887,13.175136,8.929999,6.73,NA,NA,NA,NA,NA
"87",1471,2015-04-15 21:30:00,7.1875,26.594099,13.145327,8.94,6.73,NA,NA,NA,NA,NA
"88",1472,2015-04-15 21:45:00,7.1875,26.598902,13.175136,8.929999,6.74,NA,NA,NA,NA,NA
"89",1473,2015-04-15 22:00:00,7.1875,26.605389,13.11552,8.929999,6.73,NA,NA,NA,NA,NA
"90",1474,2015-04-15 22:15:00,7.1875,26.602697,13.11552,8.91,6.73,NA,NA,NA,NA,NA
"91",1475,2015-04-15 22:30:00,7.1875,26.598633,13.145327,8.889999,6.719999,NA,NA,NA,NA,NA
"92",1476,2015-04-15 22:45:00,7.1875,26.599691,13.145327,8.889999,6.74,NA,NA,NA,NA,NA
"93",1477,2015-04-15 23:00:00,7.1875,26.602116,13.085711,8.919999,6.74,NA,NA,NA,NA,NA
"94",1478,2015-04-15 23:15:00,7.1875,26.603645,13.145327,8.919999,6.75,NA,NA,NA,NA,NA
"95",1479,2015-04-15 23:30:00,7.1875,26.596945,13.145327,8.889999,6.759999,NA,NA,NA,NA,NA
"96",1480,2015-04-15 23:45:00,7.25,26.604006,13.11552,8.87,6.77,NA,NA,NA,NA,NA
"97",1481,2015-04-16 00:00:00,7.25,26.6001,13.085711,8.879999,6.78,NA,NA,NA,NA,NA
"98",1482,2015-04-16 00:15:00,7.25,26.601892,13.11552,8.889999,6.78,NA,NA,NA,NA,NA
"99",1483,2015-04-16 00:30:00,7.25,26.595722,13.11552,8.889999,6.78,NA,NA,NA,NA,NA
"100",1484,2015-04-16 00:45:00,7.25,26.603689,13.11552,8.849999,6.78,NA,NA,NA,NA,NA
"101",1485,2015-04-16 01:00:00,7.25,26.602581,13.085711,8.86,6.78,NA,NA,NA,NA,NA
"102",1486,2015-04-16 01:15:00,7.25,26.603319,13.085711,8.879999,6.77,NA,NA,NA,NA,NA
"103",1487,2015-04-16 01:30:00,7.25,26.601578,13.085711,8.929999,6.75,NA,NA,NA,NA,NA
"104",1488,2015-04-16 01:45:00,7.25,26.59873,13.11552,8.799999,6.759999,NA,NA,NA,NA,NA
"105",1489,2015-04-16 02:00:00,7.25,26.600048,13.055903,8.73,6.78,NA,NA,NA,NA,NA
"106",1490,2015-04-16 02:15:00,7.25,26.59514,13.055903,8.799999,6.78,NA,NA,NA,NA,NA
"107",1491,2015-04-16 02:30:00,7.25,26.595774,13.085711,8.73,6.79,NA,NA,NA,NA,NA
"108",1492,2015-04-16 02:45:00,7.25,26.593399,13.085711,8.809999,6.78,NA,NA,NA,NA,NA
"109",1493,2015-04-16 03:00:00,7.25,26.595615,13.055903,8.879999,6.78,NA,NA,NA,NA,NA
"110",1494,2015-04-16 03:15:00,7.25,26.598621,13.055903,8.669999,6.78,NA,NA,NA,NA,NA
"111",1495,2015-04-16 03:30:00,7.25,26.597147,13.055903,8.65,6.79,NA,NA,NA,NA,NA
"112",1496,2015-04-16 03:45:00,7.25,26.595932,13.055903,8.75,6.78,NA,NA,NA,NA,NA
"113",1497,2015-04-16 04:00:00,7.25,26.594982,12.996287,8.91,6.74,NA,NA,NA,NA,NA
"114",1498,2015-04-16 04:15:00,7.25,26.597887,13.026095,9.02,6.719999,NA,NA,NA,NA,NA
"115",1499,2015-04-16 04:30:00,7.25,26.597094,12.996287,9.059999,6.709999,NA,NA,NA,NA,NA
"116",1500,2015-04-16 04:45:00,7.25,26.599627,13.026095,9.03,6.709999,NA,NA,NA,NA,NA
"117",1501,2015-04-16 05:00:00,7.25,26.59836,12.996287,9.099999,6.709999,NA,NA,NA,NA,NA
"118",1502,2015-04-16 05:15:00,7.1875,26.604174,12.996287,8.709999,6.74,NA,NA,NA,NA,NA
"119",1503,2015-04-16 05:30:00,7.25,26.605165,12.996287,8.54,6.74,NA,NA,NA,NA,NA
"120",1504,2015-04-16 05:45:00,7.25,26.606329,12.996287,8.53,6.74,NA,NA,NA,NA,NA
