Reading Date,FCR Barometric Pressure Temperature (degC),FCR Barometric Pressure Pressure (PSI),FCR DO Temperature (degC),FCR DO Pressure (PSI),FCR DO Power (V),FCR DO Dissolved Oxygen (ppm),FCR DO Temperature (degC),FCR DO 1m Temperature (degC),FCR DO 1m Pressure (PSI),FCR DO 1m Power (V),FCR DO 1m Dissolved Oxygen (ppm),FCR DO 1m Temperature (degC),Temperature Modem (degC),Vbattery Modem (Volts),Vcommon Modem (Volts)
2018-02-02 00:00:00,4.687,13.842,,,,,,,,,,,,,
2018-02-02 00:00:00,4.687,13.842,,,,,,,,,,,,,
2018-02-02 00:00:00,,,3.625,26.319,6.289,12.7,3.64,,,,,,,,
2018-02-02 00:00:00,,,3.625,26.319,6.289,12.7,3.64,,,,,,,,
2018-02-02 00:00:00,,,,,,,,3.625,15.092,6.289,12.07,3.21,,,
2018-02-02 00:00:00,,,,,,,,3.625,15.092,6.289,12.07,3.21,,,
2018-02-02 00:00:00,,,,,,,,,,,,,0.909,5.941,5.189
2018-02-02 00:00:00,,,,,,,,,,,,,0.909,5.941,5.189
2018-02-01 23:45:00,4.875,13.841,,,,,,,,,,,,,
2018-02-01 23:45:00,4.875,13.841,,,,,,,,,,,,,
2018-02-01 23:45:00,,,3.625,26.324,6.319,12.63,3.65,,,,,,,,
2018-02-01 23:45:00,,,3.625,26.324,6.319,12.63,3.65,,,,,,,,
2018-02-01 23:45:00,,,,,,,,3.687,15.097,6.319,12.06,3.21,,,
2018-02-01 23:45:00,,,,,,,,3.687,15.097,6.319,12.06,3.21,,,
2018-02-01 23:30:00,5.062,13.841,,,,,,,,,,,,,
2018-02-01 23:30:00,5.062,13.841,,,,,,,,,,,,,
2018-02-01 23:30:00,,,3.625,26.304,6.289,12.62,3.7,,,,,,,,
2018-02-01 23:30:00,,,3.625,26.304,6.289,12.62,3.7,,,,,,,,
2018-02-01 23:30:00,,,,,,,,3.625,15.097,6.319,12.05,3.22,,,
2018-02-01 23:30:00,,,,,,,,3.625,15.097,6.319,12.05,3.22,,,
2018-02-01 23:15:00,5.312,13.842,,,,,,,,,,,,,
2018-02-01 23:15:00,5.312,13.842,,,,,,,,,,,,,
2018-02-01 23:15:00,,,3.562,26.327,6.349,12.63,3.74,,,,,,,,
2018-02-01 23:15:00,,,3.562,26.327,6.349,12.63,3.74,,,,,,,,
2018-02-01 23:15:00,,,,,,,,3.687,15.1,6.378,12.05,3.22,,,
2018-02-01 23:15:00,,,,,,,,3.687,15.1,6.378,12.05,3.22,,,
2018-02-01 23:00:00,5.5,13.841,,,,,,,,,,,,,
2018-02-01 23:00:00,5.5,13.841,,,,,,,,,,,,,
2018-02-01 23:00:00,,,3.625,26.32,6.229,12.74,3.71,,,,,,,,
2018-02-01 23:00:00,,,3.625,26.32,6.229,12.74,3.71,,,,,,,,
2018-02-01 23:00:00,,,,,,,,3.687,15.099,6.319,12.01,3.23,,,
2018-02-01 23:00:00,,,,,,,,3.687,15.099,6.319,12.01,3.23,,,
2018-02-01 23:00:00,,,,,,,,,,,,,1.989,5.967,5.224
2018-02-01 23:00:00,,,,,,,,,,,,,1.989,5.967,5.224
2018-02-01 22:45:00,5.75,13.847,,,,,,,,,,,,,
2018-02-01 22:45:00,5.75,13.847,,,,,,,,,,,,,
2018-02-01 22:45:00,,,3.625,26.321,6.259,12.75,3.7,,,,,,,,
2018-02-01 22:45:00,,,3.625,26.321,6.259,12.75,3.7,,,,,,,,
2018-02-01 22:45:00,,,,,,,,3.687,15.092,6.349,12.02,3.23,,,
