Advanced Calibration Data,,,,,,,,,,,
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7, coef 8, coef 9
,Temperature(degC),unknown,0,0,0,0,0,0,0,0,0
,Pressure(psi),unknown,0,-0.000189,0.995379,-0.000032,0.003576,0.347366,0,1,0
,Power(V),unknown,1,0,0,0,0,0,0,0,0
,DO(ppm),3/8/2014 9:06,1,0,0,0,0,0,0,0,0
,DO Temp(degC),unknown,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,
Field Calibration Data,,,,,,,,,,,
,,Cal Date,coef 1, coef 2, coef 3, coef 4, coef 5, coef 6, coef 7,,
,Temperature(degC),unknown,1,0,0,0,0,1,0,,
,Pressure(psi),unknown,1,0,0,0,0,1,0,,
,Power(V),unknown,1,0,0,0,0,1,0,,
,DO(ppm),3/8/2014 9:06,1,0,0,0,0,1,0,,
,DO Temp(degC),unknown,1,0,0,0,0,1,0,,
,,,,,,,,,,,
Sensor/Session information,,,,,,,,,,,
SensorSN,###############################################################################################################################################################################################################################################################,,Modbus Addr.,1,,,,,,,
Sensor Type,DO2,,Initialized w/fw Rev,2. 130,,,,,,,
Sensor Name,FCR DO (1),,Uploaded,Aqua4Plus 1.9.501,,,,,,,
Session Name,FCRDO,,Exported,Aqua4Plus 1.9.501,,,,,,,
# Records,1918-02-13 00:00:00,,,,,,,,,,
Statistical Data,,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),,,,,
,Sensor Range,Custom,Custom,Custom,Custom,Custom,,,,,
,Minimum,6.4375,26.269262,12.698208,3.18,5.78,,,,,
,Maximum,10.25,26.636189,13.979951,11.099998,9.2,,,,,
,Mean,8.156717,26.451275,13.481641,8.435286,7.679696,,,,,
,Variance,0.8939856,0.004602,0.1787978,1.2752142,0.9876975,,,,,
,Std Deviation,0.9455081,0.0678378,0.4228449,1.1292538,0.9938297,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Rec #,Date,Temperature(degC),Pressure(psi),Power(V),DO(ppm),DO Temp(degC),,,,,
1,2015-03-31 14:00:00,6.625,26.336731,13.353984,10.669998,5.98,,,,,
2,2015-03-31 14:15:00,6.625,26.321426,13.383791,10.519999,5.929999,,,,,
3,2015-03-31 14:30:00,6.5625,26.325815,13.353984,10.209999,5.86,,,,,
4,2015-03-31 14:45:00,6.625,26.310345,13.353984,10.169999,5.959999,,,,,
5,2015-03-31 15:00:00,6.5625,26.30344,13.324175,10.33,6.16,,,,,
6,2015-03-31 15:15:00,6.8125,26.299351,13.324175,10.98,6.29,,,,,
7,2015-03-31 15:30:00,6.75,26.301626,13.920335,10.889999,6,,,,,
8,2015-03-31 15:45:00,6.625,26.299633,13.652063,10.609999,5.849999,,,,,
9,2015-03-31 16:00:00,6.4375,26.292841,13.622255,10.19,5.78,,,,,
10,2015-03-31 16:15:00,6.4375,26.287512,13.920335,10.08,5.87,,,,,
11,2015-03-31 16:30:00,6.5625,26.27927,13.920335,10.419998,6.049999,,,,,
12,2015-03-31 16:45:00,6.6875,26.273031,13.920335,10.789999,6.02,,,,,
13,2015-03-31 17:00:00,6.5625,26.272463,13.532831,10.509998,6.03,,,,,
14,2015-03-31 17:15:00,6.625,26.276678,13.413599,10.74,6.07,,,,,
15,2015-03-31 17:30:00,6.6875,26.271715,13.383791,10.839998,6.219999,,,,,
16,2015-03-31 17:45:00,6.6875,26.273823,13.353984,10.799999,5.879999,,,,,
17,2015-03-31 18:00:00,6.6875,26.280104,13.383791,10.259998,5.82,,,,,
18,2015-03-31 18:15:00,6.625,26.280054,13.353984,10.04,5.839999,,,,,
19,2015-03-31 18:30:00,6.5625,26.282436,13.324175,10.24,5.879999,,,,,
20,2015-03-31 18:45:00,6.6875,26.279472,13.294368,10.4,6.07,,,,,
21,2015-03-31 19:00:00,6.75,26.286482,13.324175,10.339998,5.86,,,,,
22,2015-03-31 19:15:00,6.8125,26.286741,13.234752,10.339998,5.839999,,,,,
23,2015-03-31 19:30:00,6.5625,26.291037,13.234752,10.02,5.87,,,,,
24,2015-03-31 19:45:00,6.5,26.291042,13.234752,10.12,5.889999,,,,,
25,2015-03-31 20:00:00,6.5,26.300383,13.204943,10.349998,5.959999,,,,,
26,2015-03-31 20:15:00,6.5,26.29764,13.204943,10.469999,5.95,,,,,
27,2015-03-31 20:30:00,6.5625,26.305759,13.204943,10.32,6,,,,,
28,2015-03-31 20:45:00,6.75,26.320726,13.204943,10.539999,6.02,,,,,
29,2015-03-31 21:00:00,6.6875,26.315825,13.204943,10.529999,5.969999,,,,,
30,2015-03-31 21:15:00,6.5625,26.325972,13.204943,10.369999,5.95,,,,,
31,2015-03-31 21:30:00,6.5625,26.328819,13.204943,10.339998,5.889999,,,,,
32,2015-03-31 21:45:00,6.5625,26.33584,13.175136,10.16,5.94,,,,,
33,2015-03-31 22:00:00,6.5,26.345451,13.175136,10.379999,6.03,,,,,
34,2015-03-31 22:15:00,6.5625,26.351933,13.145327,10.58,6.08,,,,,
35,2015-03-31 22:30:00,6.625,26.348389,13.175136,10.689999,6.129999,,,,,
36,2015-03-31 22:45:00,6.6875,26.352291,13.145327,10.809999,6.15,,,,,
37,2015-03-31 23:00:00,6.6875,26.351761,13.11552,10.839998,6.169999,,,,,
38,2015-03-31 23:15:00,6.6875,26.358463,13.11552,10.769999,6.12,,,,,
39,2015-03-31 23:30:00,6.6875,26.361155,13.11552,10.759998,6.089999,,,,,
40,2015-03-31 23:45:00,7.75,26.368235,13.026095,10.839998,6.24,,,,,
41,2015-04-01 00:00:00,6.75,26.370329,13.11552,10.929998,6.23,,,,,
42,2015-04-01 00:15:00,6.75,26.369907,13.11552,10.959999,6.24,,,,,
43,2015-04-01 00:30:00,6.75,26.372757,13.11552,10.82,6.009999,,,,,
44,2015-04-01 00:45:00,6.6875,26.373819,13.11552,10.299999,5.87,,,,,
45,2015-04-01 01:00:00,6.625,26.379208,13.085711,10.07,5.87,,,,,
46,2015-04-01 01:15:00,6.5625,26.380327,13.11552,10.11,5.889999,,,,,
47,2015-04-01 01:30:00,6.4375,26.37986,13.085711,10.16,5.9,,,,,
48,2015-04-01 01:45:00,6.4375,26.383081,13.085711,10.07,5.86,,,,,
49,2015-04-01 02:00:00,6.5,26.388195,13.055903,10,5.91,,,,,
50,2015-04-01 02:15:00,6.625,26.394299,13.055903,10.12,5.95,,,,,
51,2015-04-01 02:30:00,6.5625,26.396631,13.055903,10.339998,5.99,,,,,
52,2015-04-01 02:45:00,6.5,26.39711,13.055903,10.32,5.99,,,,,
53,2015-04-01 03:00:00,6.5625,26.395363,13.026095,10.33,5.99,,,,,
54,2015-04-01 03:15:00,6.5625,26.401484,13.026095,10.369999,6.009999,,,,,
55,2015-04-01 03:30:00,6.625,26.399841,13.026095,10.339998,5.969999,,,,,
56,2015-04-01 03:45:00,6.625,26.405275,13.026095,10.299999,5.969999,,,,,
57,2015-04-01 04:00:00,6.625,26.407019,12.996287,10.289999,5.969999,,,,,
58,2015-04-01 04:15:00,6.5625,26.409506,12.996287,10.33,6.04,,,,,
59,2015-04-01 04:30:00,6.625,26.416779,12.996287,10.66,6.08,,,,,
60,2015-04-01 04:45:00,6.625,26.417784,12.996287,10.65,6.129999,,,,,
61,2015-04-01 05:00:00,6.625,26.421844,12.996287,10.799999,6.179999,,,,,
62,2015-04-01 05:15:00,6.6875,26.428276,12.966479,10.779999,6.2,,,,,
63,2015-04-01 05:30:00,6.75,26.433018,12.966479,10.889999,6.219999,,,,,
64,2015-04-01 05:45:00,6.8125,26.437653,12.996287,10.929998,6.25,,,,,
65,2015-04-01 06:00:00,6.8125,26.440342,12.966479,11.009998,6.299999,,,,,
66,2015-04-01 06:15:00,6.8125,26.448261,12.966479,11.07,6.349999,,,,,
67,2015-04-01 06:30:00,6.875,26.44878,12.936671,11.089998,6.36,,,,,
68,2015-04-01 06:45:00,6.875,26.451103,12.966479,11.099998,6.32,,,,,
69,2015-04-01 07:00:00,6.9375,26.455313,12.906863,10.91,6.19,,,,,
70,2015-04-01 07:15:00,6.9375,26.46059,12.906863,10.57,6.11,,,,,
71,2015-04-01 07:30:00,6.9375,26.464602,12.906863,10.419998,6.089999,,,,,
72,2015-04-01 07:45:00,6.9375,26.466185,12.936671,10.359999,6.02,,,,,
73,2015-04-01 08:00:00,6.9375,26.471884,12.966479,10.279999,5.98,,,,,
74,2015-04-01 08:15:00,6.875,26.471733,13.085711,10.259998,5.969999,,,,,
75,2015-04-01 08:30:00,6.6875,26.468538,13.294368,10.299999,5.98,,,,,
76,2015-04-01 08:45:00,6.625,26.475143,13.503023,10.16,5.98,,,,,
77,2015-04-01 09:00:00,6.625,26.479574,13.681871,10.12,6,,,,,
78,2015-04-01 09:15:00,6.6875,26.476242,13.860719,10.289999,6.08,,,,,
79,2015-04-01 09:30:00,6.6875,26.482048,13.950144,10.299999,6.02,,,,,
80,2015-04-01 09:45:00,6.6875,26.486374,13.950144,10.129999,6.02,,,,,
81,2015-04-01 10:00:00,6.6875,26.486059,13.950144,10.12,6.04,,,,,
82,2015-04-01 10:15:00,6.75,26.487844,13.979951,10.23,6.02,,,,,
83,2015-04-01 10:30:00,6.75,26.491642,13.950144,10.4,6.049999,,,,,
84,2015-04-01 10:45:00,6.8125,26.489681,13.950144,10.509998,6.129999,,,,,
85,2015-04-01 11:00:00,6.75,26.495705,13.979951,10.679998,6.16,,,,,
86,2015-04-01 11:15:00,6.75,26.498978,13.950144,10.669998,6.15,,,,,
87,2015-04-01 11:30:00,6.75,26.494915,13.950144,10.58,6.129999,,,,,
88,2015-04-01 11:45:00,6.8125,26.493536,13.979951,10.549999,6.07,,,,,
89,2015-04-01 12:00:00,6.8125,26.498863,13.979951,10.529999,6.089999,,,,,
90,2015-04-01 12:15:00,6.8125,26.491423,13.950144,10.549999,6.059999,,,,,
91,2015-04-01 12:30:00,6.8125,26.491632,13.950144,10.429998,6.04,,,,,
92,2015-04-01 12:45:00,6.8125,26.48752,13.950144,10.449999,6.07,,,,,
93,2015-04-01 13:00:00,6.75,26.488741,13.950144,10.439999,6.07,,,,,
94,2015-04-01 13:15:00,6.75,26.484041,13.950144,10.529999,6.12,,,,,
95,2015-04-01 13:30:00,6.75,26.483463,13.979951,10.689999,6.139999,,,,,
96,2015-04-01 13:45:00,6.75,26.479982,13.950144,10.679998,6.099999,,,,,
97,2015-04-01 14:00:00,6.75,26.482302,13.979951,10.699999,6.16,,,,,
98,2015-04-01 14:15:00,6.75,26.479454,13.979951,10.559999,6.089999,,,,,
99,2015-04-01 14:30:00,6.75,26.479296,13.950144,10.389999,6.089999,,,,,
100,2015-04-01 14:45:00,6.6875,26.474501,13.950144,10.379999,6.099999,,,,,
101,2015-04-01 15:00:00,6.6875,26.474815,13.979951,10.419998,6.04,,,,,
102,2015-04-01 15:15:00,6.6875,26.472864,13.950144,10.269999,6.04,,,,,
103,2015-04-01 15:30:00,6.75,26.465153,13.950144,10.349998,6.04,,,,,
104,2015-04-01 15:45:00,6.6875,26.472075,13.979951,10.349998,6.129999,,,,,
105,2015-04-01 16:00:00,6.75,26.474335,13.950144,10.719999,6.209999,,,,,
106,2015-04-01 16:15:00,6.75,26.477922,13.950144,10.759998,6.25,,,,,
107,2015-04-01 16:30:00,6.75,26.476286,13.979951,10.869999,6.309999,,,,,
108,2015-04-01 16:45:00,6.8125,26.4729,13.979951,10.929998,6.339999,,,,,
109,2015-04-01 17:00:00,6.8125,26.471159,13.950144,10.879999,6.28,,,,,
110,2015-04-01 17:15:00,6.75,26.467318,13.979951,10.799999,6.32,,,,,
111,2015-04-01 17:30:00,6.8125,26.472004,13.950144,10.839998,6.299999,,,,,
112,2015-04-01 17:45:00,6.8125,26.4729,13.979951,10.859999,6.33,,,,,
113,2015-04-01 18:00:00,6.875,26.479383,13.979951,10.889999,6.259999,,,,,
114,2015-04-01 18:15:00,6.8125,26.479391,13.622255,10.869999,6.33,,,,,
115,2015-04-01 18:30:00,6.8125,26.47987,13.622255,10.9,6.309999,,,,,
116,2015-04-01 18:45:00,6.875,26.474901,13.532831,10.809999,6.209999,,,,,
117,2015-04-01 19:00:00,6.8125,26.481239,13.383791,10.389999,6.02,,,,,
118,2015-04-01 19:15:00,6.8125,26.482718,13.324175,10.03,6.099999,,,,,
119,2015-04-01 19:30:00,6.8125,26.488995,13.264559,10.349998,6.25,,,,,
120,2015-04-01 19:45:00,6.8125,26.491213,13.234752,10.789999,6.23,,,,,
121,2015-04-01 20:00:00,6.8125,26.496384,13.204943,10.869999,6.309999,,,,,
122,2015-04-01 20:15:00,6.875,26.499224,13.204943,10.99,6.379999,,,,,
123,2015-04-01 20:30:00,6.875,26.50466,13.175136,11.029999,6.27,,,,,
124,2015-04-01 20:45:00,6.875,26.509779,13.175136,10.73,6.12,,,,,
125,2015-04-01 21:00:00,6.875,26.511414,13.145327,10.429998,6.04,,,,,
126,2015-04-01 21:15:00,6.875,26.519695,13.175136,10.279999,6.03,,,,,
127,2015-04-01 21:30:00,6.75,26.518766,13.175136,10.259998,6.04,,,,,
128,2015-04-01 21:45:00,6.6875,26.523521,13.145327,10.25,6.04,,,,,
129,2015-04-01 22:00:00,6.625,26.525959,13.11552,10.25,6.04,,,,,
130,2015-04-01 22:15:00,6.6875,26.524364,13.11552,10.269999,6.02,,,,,
131,2015-04-01 22:30:00,6.6875,26.525686,13.11552,10.209999,6.04,,,,,
132,2015-04-01 22:45:00,6.6875,26.52706,13.11552,10.369999,6.089999,,,,,
133,2015-04-01 23:00:00,6.6875,26.529535,13.085711,10.389999,6.089999,,,,,
134,2015-04-01 23:15:00,6.6875,26.531279,13.11552,10.4,6.11,,,,,
135,2015-04-01 23:30:00,6.6875,26.536081,13.145327,10.549999,6.169999,,,,,
136,2015-04-01 23:45:00,6.6875,26.53434,13.11552,10.589998,6.179999,,,,,
137,2015-04-02 00:00:00,6.75,26.532747,13.11552,10.599998,6.219999,,,,,
138,2015-04-02 00:15:00,6.6875,26.531439,13.11552,10.639999,6.24,,,,,
139,2015-04-02 00:30:00,6.75,26.533859,13.11552,10.66,6.23,,,,,
140,2015-04-02 00:45:00,6.75,26.536177,13.11552,10.669998,6.23,,,,,
141,2015-04-02 01:00:00,6.75,26.532274,13.085711,10.709999,6.24,,,,,
142,2015-04-02 01:15:00,6.8125,26.533953,13.085711,10.58,6.11,,,,,
143,2015-04-02 01:30:00,6.75,26.537235,13.085711,10.32,6.059999,,,,,
144,2015-04-02 01:45:00,6.75,26.537708,13.085711,10.4,6.089999,,,,,
145,2015-04-02 02:00:00,6.75,26.536125,13.085711,10.509998,6.15,,,,,
146,2015-04-02 02:15:00,6.6875,26.535818,13.085711,10.629999,6.2,,,,,
147,2015-04-02 02:30:00,6.75,26.531006,13.085711,10.65,6.23,,,,,
148,2015-04-02 02:45:00,6.75,26.533909,13.085711,10.65,6.23,,,,,
149,2015-04-02 03:00:00,6.75,26.529421,13.055903,10.669998,6.219999,,,,,
150,2015-04-02 03:15:00,6.75,26.531326,13.055903,10.619999,6.2,,,,,
151,2015-04-02 03:30:00,6.75,26.535809,13.055903,10.469999,6.129999,,,,,
152,2015-04-02 03:45:00,6.75,26.531273,13.085711,10.439999,6.129999,,,,,
153,2015-04-02 04:00:00,6.8125,26.527357,13.055903,10.469999,6.12,,,,,
