Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,50,2014-04-01 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.327,0.327,0.0165,0.00759,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3334,0.3334,0.027,0.0051,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3338,0.3338,0.0232,0.00483,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3567,0.3567,0.0175,0.00501,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3474,0.3474,0.0283,0.00828,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3494,0.3494,0.0194,0.0142,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.349,0.349,0.0193,0.01573,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3516,0.3516,0.0175,0.016,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-01 12:00:00,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4065,0.4065,0.0196,0.0168,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3239,0.228,0.01543,0.01006,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3273,0.26,0.0176,0.00773,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3495,0.2899,0.01784,0.00703,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3263,0.2566,0.01896,0.00649,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3175,0.2679,0.01684,0.01087,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307,0.2831,0.01046,0.01046,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3281,0.2998,0.01323,0.01323,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3896,0.3896,0.04439,0.04439,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-08 12:00:00,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413,0.3803,0.05468,0.05468,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-16 12:00:00,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2225,0.2225,0.00965,0.00965,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-16 12:00:00,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3986,0.3133,0.01992,0.00895,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-16 12:00:00,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3453,0.2756,0.01964,0.008,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
FCR,50,2014-04-16 12:00:00,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3332,0.2762,0.02049,0.00792,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
