Reservoir,Site,DateTime,Depth_m,CH4_umolL,CO2_umolL
BVR,50,2015-07-09 12:00:00,0.1,0.362349521,7.73122619
BVR,50,2015-07-09 12:00:00,0.1,0.482017571,8.17735119
BVR,50,2015-07-09 12:00:00,6,0.107700511,90.10046331
BVR,50,2015-07-09 12:00:00,6,0.108830158,93.00077791
BVR,50,2015-07-09 12:00:00,11,274.1064728,179.3797895
BVR,50,2015-07-09 12:00:00,11,NA,NA
BVR,50,2015-07-23 12:00:00,0.1,0.450034303,8.469785827
BVR,50,2015-07-23 12:00:00,0.1,0.487976048,5.818630786
BVR,50,2015-07-23 12:00:00,6,0.049468954,69.58666619
BVR,50,2015-07-23 12:00:00,6,0.162742304,63.18382733
BVR,50,2015-07-23 12:00:00,11,121.6970493,130.7479805
BVR,50,2015-07-23 12:00:00,11,192.3263508,285.770494
BVR,50,2015-09-04 12:00:00,0.1,0.785898786,30.29208723
BVR,50,2015-09-04 12:00:00,0.1,NA,NA
BVR,50,2015-09-04 12:00:00,3,0.892536689,25.61788601
BVR,50,2015-09-04 12:00:00,3,0.386212828,23.84659685
BVR,50,2015-09-04 12:00:00,6,0.075946994,122.409924
BVR,50,2015-09-04 12:00:00,6,0.036896304,98.0569848
BVR,50,2015-09-04 12:00:00,9,210.928623,143.3338456
BVR,50,2015-09-04 12:00:00,9,NA,NA
BVR,50,2015-09-04 12:00:00,11,NA,211.9623014
BVR,50,2015-09-04 12:00:00,11,NA,NA
BVR,50,2015-09-18 12:00:00,0.1,0.363580366,14.0646587
BVR,50,2015-09-18 12:00:00,0.1,0.315992037,11.22858632
BVR,50,2015-09-18 12:00:00,3,0.461177302,15.41537692
BVR,50,2015-09-18 12:00:00,3,0.472956528,12.9450374
BVR,50,2015-09-18 12:00:00,6,0.345755299,48.11986431
BVR,50,2015-09-18 12:00:00,6,0.099673809,42.0119774
BVR,50,2015-09-18 12:00:00,9,263.1585582,219.6588901
BVR,50,2015-09-18 12:00:00,9,278.5894654,217.3437976
BVR,50,2015-09-18 12:00:00,11,NA,250.6188363
BVR,50,2015-09-18 12:00:00,11,NA,NA
BVR,50,2015-10-02 12:00:00,0.1,0.246465381,23.54836422
BVR,50,2015-10-02 12:00:00,0.1,0.256639136,21.59776463
BVR,50,2015-10-02 12:00:00,3,0.249129276,19.73820983
BVR,50,2015-10-02 12:00:00,3,0.264921903,19.46401979
BVR,50,2015-10-02 12:00:00,6,0.261125041,28.7111007
BVR,50,2015-10-02 12:00:00,6,0.219886589,37.73719413
BVR,50,2015-10-02 12:00:00,9,137.9791113,191.1069205
BVR,50,2015-10-02 12:00:00,9,122.5238174,246.4211372
BVR,50,2015-10-02 12:00:00,11,301.7275218,191.267378
BVR,50,2015-10-02 12:00:00,11,293.2716571,212.3805726
BVR,50,2015-10-23 12:00:00,0.1,0.017218641,16.20673927
BVR,50,2015-10-23 12:00:00,0.1,0.061925791,17.79752381
BVR,50,2015-10-23 12:00:00,3,0.29734196,19.57967225
BVR,50,2015-10-23 12:00:00,3,0.014818342,18.14935475
BVR,50,2015-10-23 12:00:00,6,0.279959602,27.92294502
BVR,50,2015-10-23 12:00:00,6,0.007766898,28.30223974
BVR,50,2015-10-23 12:00:00,9,287.4490364,591.4815238
BVR,50,2015-10-23 12:00:00,9,NA,NA
BVR,50,2015-10-23 12:00:00,11,339.4758123,144.9713978
BVR,50,2015-10-23 12:00:00,11,393.631181,264.0827533
BVR,50,2016-04-06 12:00:00,0.1,0.039701696,17.06123662
BVR,50,2016-04-06 12:00:00,0.1,0.037183317,14.37767194
BVR,50,2016-04-06 12:00:00,3,0.034803126,13.08747949
BVR,50,2016-04-06 12:00:00,3,0.033534549,12.4888021
BVR,50,2016-04-06 12:00:00,6,0.016797622,29.60626173
BVR,50,2016-04-06 12:00:00,6,0.016484112,27.8022998
BVR,50,2016-04-06 12:00:00,9,0.008572477,NA
BVR,50,2016-04-06 12:00:00,9,NA,NA
BVR,50,2016-04-06 12:00:00,11,0.004945066,55.07651375
BVR,50,2016-04-06 12:00:00,11,0.005782311,58.5484766
BVR,1.1,2016-04-20 12:00:00,0.1,69.62562427,204.2999412
BVR,1.1,2016-04-20 12:00:00,0.1,NA,NA
BVR,50,2016-04-20 12:00:00,0.1,0.121713878,10.87008715
BVR,50,2016-04-20 12:00:00,0.1,0.186020931,9.771151357
BVR,50,2016-04-20 12:00:00,3,0.110085764,7.83619595
BVR,50,2016-04-20 12:00:00,3,0.118761357,8.915797259
BVR,50,2016-04-20 12:00:00,6,0.02345991,19.96225413
BVR,50,2016-04-20 12:00:00,6,0.02606683,16.56548519
BVR,50,2016-04-20 12:00:00,9,0.011834611,51.58425899
BVR,50,2016-04-20 12:00:00,9,0.013156964,44.51876056
BVR,50,2016-04-20 12:00:00,11,0.015466333,53.2081975
BVR,50,2016-04-20 12:00:00,11,0.013006328,72.92826091
BVR,1.1,2016-05-04 12:00:00,0.1,47.78572668,522.0332572
BVR,1.1,2016-05-04 12:00:00,0.1,NA,NA
BVR,50,2016-05-04 12:00:00,0.1,0.172432168,13.30994226
BVR,50,2016-05-04 12:00:00,0.1,0.177196714,10.57506867
BVR,50,2016-05-04 12:00:00,3,0.316684521,11.44818106
BVR,50,2016-05-04 12:00:00,3,0.218849899,7.591159226
BVR,50,2016-05-04 12:00:00,6,0.132575421,11.80768446
BVR,50,2016-05-04 12:00:00,6,0.136216956,10.38401959
BVR,50,2016-05-04 12:00:00,9,0.034511322,64.72143066
BVR,50,2016-05-04 12:00:00,9,0.035127071,63.97572428
BVR,50,2016-05-04 12:00:00,11,0.26343389,90.60156425
BVR,50,2016-05-04 12:00:00,11,0.195496326,91.96444897
BVR,1.1,2016-05-12 12:00:00,0.1,NA,213.243717
BVR,1.1,2016-05-12 12:00:00,0.1,NA,NA
BVR,50,2016-05-12 12:00:00,0.1,0.2540095,11.66920963
BVR,50,2016-05-12 12:00:00,0.1,0.238030207,12.88085649
BVR,50,2016-05-12 12:00:00,3,0.531739374,17.49107499
BVR,50,2016-05-12 12:00:00,3,0.471677871,15.1378729
BVR,50,2016-05-12 12:00:00,6,0.208747785,20.46795741
BVR,50,2016-05-12 12:00:00,6,0.230572869,23.65852702
BVR,50,2016-05-12 12:00:00,9,0.045941388,140.846472
BVR,50,2016-05-12 12:00:00,9,0.055657351,144.8683889
BVR,50,2016-05-12 12:00:00,11,4.01013969,140.6641192
BVR,50,2016-05-12 12:00:00,11,4.005990609,152.0194912
BVR,1.1,2016-05-19 12:00:00,0.1,257.8735082,168.2944498
BVR,1.1,2016-05-19 12:00:00,0.1,NA,NA
BVR,50,2016-05-19 12:00:00,0.1,0.29171743,17.92123147
BVR,50,2016-05-19 12:00:00,0.1,0.277046138,20.22677498
BVR,50,2016-05-19 12:00:00,3,0.248648642,17.73898706
BVR,50,2016-05-19 12:00:00,3,0.281938823,18.92455415
BVR,50,2016-05-19 12:00:00,6,0.197717076,30.09362364
BVR,50,2016-05-19 12:00:00,6,0.269702883,22.19678834
BVR,50,2016-05-19 12:00:00,9,0.035944097,NA
BVR,50,2016-05-19 12:00:00,9,NA,NA
BVR,50,2016-05-19 12:00:00,11,6.939683285,69.84447455
BVR,50,2016-05-19 12:00:00,11,6.767445513,62.75455624
BVR,1.1,2016-05-26 12:00:00,0.1,161.3347246,370.0490732
BVR,1.1,2016-05-26 12:00:00,0.1,163.6108891,386.4456076
BVR,50,2016-05-26 12:00:00,0.1,0.318904732,14.98305929
BVR,50,2016-05-26 12:00:00,0.1,0.358942065,24.63797483
BVR,50,2016-05-26 12:00:00,3,0.272007209,16.38031494
BVR,50,2016-05-26 12:00:00,3,0.30233632,15.64130806
BVR,50,2016-05-26 12:00:00,6,0.306703938,16.88022464
