"","Reservoir","Site","Depth_m","Filter","DataStream","Sample_ID","Sample_Date","start_parameter","end_parameter","flag","notes"
"43","FCR",100.1,0.1,"T","Metals",30,2021-07-12,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"44","FCR",100.1,0.1,"T","Metals",29,2021-07-21,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"45","FCR",100.1,0.1,"T","Metals",30,2021-07-21,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"46","FCR",100.1,0.1,"T","Metals",29,2023-07-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"47","FCR",100.1,0.1,"T","Metals",30,2023-07-03,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"48","FCR",100.1,0.1,"T","Metals",29,2023-07-10,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"49","FCR",100.1,0.1,"T","Metals",30,2023-07-10,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"50","FCR",100.1,0.1,"T","Metals",29,2023-07-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"51","FCR",100.1,0.1,"T","Metals",30,2023-07-17,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"52","FCR",100.1,0.1,"T","Metals",29,2023-07-24,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"53","FCR",100.1,0.1,"T","Metals",30,2023-07-24,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"54","FCR",100.1,0.1,"T","Metals",29,2023-07-31,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"55","FCR",100.1,0.1,"T","Metals",30,2023-07-31,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"56","FCR",100.1,0.1,"T","Metals",29,2020-08-10,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"57","FCR",100.1,0.1,"T","Metals",30,2020-08-10,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"58","FCR",100.1,0.1,"T","Metals",29,2021-08-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"59","FCR",100.1,0.1,"T","Metals",30,2021-08-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"60","FCR",100.1,0.1,"T","Metals",29,2021-08-16,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"61","FCR",100.1,0.1,"T","Metals",30,2021-08-16,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"62","FCR",100.1,0.1,"T","Metals",29,2021-08-31,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"63","FCR",100.1,0.1,"T","Metals",30,2021-08-31,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"64","FCR",100.1,0.1,"T","Metals",29,2023-08-07,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"65","FCR",100.1,0.1,"T","Metals",30,2023-08-07,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"66","FCR",100.1,0.1,"T","Metals",29,2023-08-14,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"67","FCR",100.1,0.1,"T","Metals",30,2023-08-14,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"68","FCR",100.1,0.1,"T","Metals",30,2023-08-22,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"69","FCR",100.1,0.1,"T","Metals",29,2023-08-29,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
"70","FCR",100.1,0.1,"T","Metals",29,2020-09-02,"Li_mgL","Ba_mgL",6,"Sample had particulates and was microwave digested. See digestion notebook"
