"Date","Site","Discharge_m3_s","Notes"
2021-11-22,200,0.00223,"9cm"
2022-02-28,101,0.04825,"HPB"
2022-02-28,400,0.02156,"TCT"
2022-02-28,301,0.11656,"SMB"
2022-02-28,500,0.01144,"CCT"
2022-03-29,200,0.01224,NA
2022-04-19,200,0.01603,NA
2022-05-02,200,0.00746,NA
2022-05-09,200,0.01066,NA
2022-05-17,200,0.01301,NA
2022-05-23,200,0.00726,NA
2022-05-31,200,0.0351,NA
2022-06-09,101,0.00492,"HPB"
2022-06-09,400,0.00578,"TCT - Tunnel"
2022-06-09,301,0.02266,"SMB"
2022-06-09,501,0.00162,"CCT"
2022-06-09,201,0.00954,"CCS"
2022-06-13,200,0.00718,NA
2022-06-20,200,0.00884,"WET"
2022-06-27,200,0.004867,NA
2022-06-30,301,0.003775,"SMB"
2022-06-30,201,0.00048,"CCS"
2022-07-14,300,0.00401,"SMB"
2022-07-14,201,0.00289,"CCS"
2022-07-18,200,0.00445,NA
2022-07-28,301,0.004665,"SMB"
2022-08-18,200,0.00534,"FCR"
2022-08-19,301,0.00385,"SMB"
2022-08-19,201,0.02574,"CCS"
2022-09-26,200,0.00559,"WET"
2022-09-29,201,0.00168,"CCS"
2022-09-29,301,0.00145,"SMB"
2022-10-14,201,0.00298,"CCS"
2022-10-14,301,0.00235,"SMB"
2022-10-17,200,0.00622,"WET"
2022-11-17,201,0.25484,"CCS"
2022-11-17,500,0.49226,"CCT"
2022-11-17,301,0.2298,"SMB"
2022-11-28,200,0.01027,NA
2022-12-12,200,0.01889,NA
