
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,25-Mar-13 09:51:57,0.0000000000,-0.0000630000,1.0006790161,0.0000090000,0.0004550000,0.1534399986,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21309003 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 9"
Sensor Name,INW Smart Sensor,,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_INF_20200902,,Exported,"Aqua4Plus 1.9.10"
# Records,  5853 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,30 psia,
,Minimum,5.50,13.885,
,Maximum,22.94,14.284,
,Mean,14.75,14.081,
,Variance,11.600,0.0040,
,Std Deviation,3.406,0.0633,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,2-Sep-20 15:40:27,22.44,14.041
2,2-Sep-20 15:55:27,22.13,14.036
3,2-Sep-20 16:10:27,22.19,14.038
4,2-Sep-20 16:25:27,22.00,14.040
5,2-Sep-20 16:40:27,22.00,14.048
6,2-Sep-20 16:55:27,22.00,14.039
7,2-Sep-20 17:10:27,22.00,14.035
8,2-Sep-20 17:25:27,22.00,14.035
9,2-Sep-20 17:40:27,22.06,14.037
10,2-Sep-20 17:55:27,22.00,14.039
11,2-Sep-20 18:10:27,22.00,14.041
12,2-Sep-20 18:25:27,22.00,14.042
13,2-Sep-20 18:40:27,21.94,14.046
14,2-Sep-20 18:55:27,21.94,14.049
15,2-Sep-20 19:10:27,21.88,14.051
16,2-Sep-20 19:25:27,21.81,14.049
17,2-Sep-20 19:40:27,21.81,14.050
18,2-Sep-20 19:55:27,21.75,14.052
19,2-Sep-20 20:10:27,21.69,14.052
20,2-Sep-20 20:25:27,21.63,14.053
21,2-Sep-20 20:40:27,21.56,14.053
22,2-Sep-20 20:55:27,21.50,14.055
23,2-Sep-20 21:10:27,21.44,14.056
24,2-Sep-20 21:25:27,21.38,14.058
25,2-Sep-20 21:40:27,21.38,14.059
26,2-Sep-20 21:55:27,21.31,14.061
27,2-Sep-20 22:10:27,21.31,14.060
28,2-Sep-20 22:25:27,21.25,14.060
29,2-Sep-20 22:40:27,21.25,14.058
30,2-Sep-20 22:55:27,21.19,14.060
31,2-Sep-20 23:10:27,21.19,14.060
32,2-Sep-20 23:25:27,21.25,14.059
33,2-Sep-20 23:40:27,21.19,14.059
34,2-Sep-20 23:55:27,21.13,14.059
35,3-Sep-20 00:10:27,21.06,14.059
36,3-Sep-20 00:25:27,21.06,14.060
37,3-Sep-20 00:40:27,21.06,14.060
38,3-Sep-20 00:55:27,21.06,14.060
39,3-Sep-20 01:10:27,21.00,14.060
40,3-Sep-20 01:25:27,21.00,14.061
41,3-Sep-20 01:40:27,20.94,14.062
42,3-Sep-20 01:55:27,20.88,14.061
43,3-Sep-20 02:10:27,20.88,14.060
44,3-Sep-20 02:25:27,20.88,14.062
45,3-Sep-20 02:40:27,20.88,14.058
46,3-Sep-20 02:55:27,20.81,14.056
47,3-Sep-20 03:10:27,20.81,14.054
48,3-Sep-20 03:25:27,20.81,14.053
49,3-Sep-20 03:40:27,20.75,14.055
50,3-Sep-20 03:55:27,20.75,14.054
51,3-Sep-20 04:10:27,20.75,14.057
52,3-Sep-20 04:25:27,20.81,14.054
53,3-Sep-20 04:40:27,20.81,14.051
54,3-Sep-20 04:55:27,20.81,14.050
55,3-Sep-20 05:10:27,20.81,14.049
56,3-Sep-20 05:25:27,20.75,14.051
57,3-Sep-20 05:40:27,20.75,14.051
58,3-Sep-20 05:55:27,20.75,14.052
59,3-Sep-20 06:10:27,20.75,14.051
60,3-Sep-20 06:25:27,20.69,14.051
61,3-Sep-20 06:40:27,20.63,14.054
62,3-Sep-20 06:55:27,20.63,14.055
63,3-Sep-20 07:10:27,20.56,14.055
64,3-Sep-20 07:25:27,20.63,14.055
65,3-Sep-20 07:40:27,20.63,14.056
66,3-Sep-20 07:55:27,20.69,14.056
67,3-Sep-20 08:10:27,20.69,14.055
68,3-Sep-20 08:25:27,20.69,14.056
69,3-Sep-20 08:40:27,20.75,14.055
70,3-Sep-20 08:55:27,20.81,14.056
71,3-Sep-20 09:10:27,20.81,14.056
72,3-Sep-20 09:25:27,20.81,14.054
73,3-Sep-20 09:40:27,20.94,14.054
74,3-Sep-20 09:55:27,21.06,14.055
75,3-Sep-20 10:10:27,21.13,14.055
76,3-Sep-20 10:25:27,21.19,14.057
77,3-Sep-20 10:40:27,21.19,14.056
78,3-Sep-20 10:55:27,21.31,14.054
79,3-Sep-20 11:10:27,21.50,14.053
80,3-Sep-20 11:25:27,21.63,14.053
81,3-Sep-20 11:40:27,21.75,14.051
82,3-Sep-20 11:55:27,21.88,14.050
83,3-Sep-20 12:10:27,21.94,14.047
84,3-Sep-20 12:25:27,22.00,14.045
85,3-Sep-20 12:40:27,22.06,14.043
86,3-Sep-20 12:55:27,22.25,14.041
87,3-Sep-20 13:10:27,22.38,14.040
88,3-Sep-20 13:25:27,22.50,14.037
89,3-Sep-20 13:40:27,22.56,14.034
90,3-Sep-20 13:55:27,22.69,14.031
91,3-Sep-20 14:10:27,22.69,14.027
92,3-Sep-20 14:25:27,22.88,14.024
93,3-Sep-20 14:40:27,22.94,14.017
94,3-Sep-20 14:55:27,22.94,14.018
95,3-Sep-20 15:10:27,22.94,14.013
96,3-Sep-20 15:25:27,22.75,14.009
97,3-Sep-20 15:40:27,22.81,14.008
98,3-Sep-20 15:55:27,22.81,14.005
99,3-Sep-20 16:10:27,22.75,14.005
100,3-Sep-20 16:25:27,22.75,14.002
101,3-Sep-20 16:40:27,22.75,14.003
102,3-Sep-20 16:55:27,22.69,14.006
103,3-Sep-20 17:10:27,22.56,14.000
104,3-Sep-20 17:25:27,22.50,14.003
105,3-Sep-20 17:40:27,22.44,13.999
106,3-Sep-20 17:55:27,22.38,13.999
107,3-Sep-20 18:10:27,22.38,14.003
108,3-Sep-20 18:25:27,22.31,14.005
109,3-Sep-20 18:40:27,22.25,14.007
110,3-Sep-20 18:55:27,22.25,14.007
111,3-Sep-20 19:10:27,22.19,14.011
112,3-Sep-20 19:25:27,22.19,14.013
113,3-Sep-20 19:40:27,22.13,14.005
114,3-Sep-20 19:55:27,22.06,14.007
115,3-Sep-20 20:10:27,22.00,14.004
116,3-Sep-20 20:25:27,21.94,14.008
117,3-Sep-20 20:40:27,21.94,14.012
118,3-Sep-20 20:55:27,21.94,14.014
119,3-Sep-20 21:10:27,21.94,14.016
120,3-Sep-20 21:25:27,21.94,14.018
121,3-Sep-20 21:40:27,21.81,14.023
122,3-Sep-20 21:55:27,21.81,14.027
123,3-Sep-20 22:10:27,21.75,14.030
124,3-Sep-20 22:25:27,21.69,14.029
125,3-Sep-20 22:40:27,21.63,14.030
126,3-Sep-20 22:55:27,21.56,14.032
127,3-Sep-20 23:10:27,21.50,14.034
128,3-Sep-20 23:25:27,21.44,14.032
129,3-Sep-20 23:40:27,21.44,14.035
130,3-Sep-20 23:55:27,21.38,14.039
131,4-Sep-20 00:10:27,21.38,14.037
132,4-Sep-20 00:25:27,21.31,14.036
133,4-Sep-20 00:40:27,21.25,14.037
134,4-Sep-20 00:55:27,21.19,14.037
135,4-Sep-20 01:10:27,21.13,14.037
136,4-Sep-20 01:25:27,21.13,14.039
137,4-Sep-20 01:40:27,21.13,14.041
138,4-Sep-20 01:55:27,21.06,14.039
139,4-Sep-20 02:10:27,21.00,14.041
140,4-Sep-20 02:25:27,21.00,14.044
141,4-Sep-20 02:40:27,20.94,14.044
142,4-Sep-20 02:55:27,20.88,14.044
143,4-Sep-20 03:10:27,20.88,14.045
144,4-Sep-20 03:25:27,20.75,14.046
145,4-Sep-20 03:40:27,20.75,14.047
146,4-Sep-20 03:55:27,20.63,14.046
147,4-Sep-20 04:10:27,20.63,14.045
148,4-Sep-20 04:25:27,20.63,14.046
149,4-Sep-20 04:40:27,20.56,14.049
150,4-Sep-20 04:55:27,20.50,14.052
151,4-Sep-20 05:10:27,20.31,14.055
152,4-Sep-20 05:25:27,20.31,14.058
153,4-Sep-20 05:40:27,20.25,14.059
154,4-Sep-20 05:55:27,20.13,14.059
155,4-Sep-20 06:10:27,20.00,14.061
156,4-Sep-20 06:25:27,20.00,14.065
157,4-Sep-20 06:40:27,19.88,14.066
158,4-Sep-20 06:55:27,19.81,14.068
159,4-Sep-20 07:10:27,19.81,14.072
160,4-Sep-20 07:25:27,19.81,14.074
161,4-Sep-20 07:40:27,19.81,14.073
162,4-Sep-20 07:55:27,19.81,14.077
163,4-Sep-20 08:10:27,19.94,14.079
164,4-Sep-20 08:25:27,19.94,14.077
165,4-Sep-20 08:40:27,20.06,14.080
166,4-Sep-20 08:55:27,20.06,14.082
167,4-Sep-20 09:10:27,20.13,14.082
168,4-Sep-20 09:25:27,20.19,14.083
169,4-Sep-20 09:40:27,20.25,14.083
170,4-Sep-20 09:55:27,20.63,14.087
171,4-Sep-20 10:10:27,20.69,14.087
172,4-Sep-20 10:25:27,20.75,14.088
173,4-Sep-20 10:40:27,20.75,14.088
174,4-Sep-20 10:55:27,20.81,14.088
175,4-Sep-20 11:10:27,20.88,14.090
176,4-Sep-20 11:25:27,20.88,14.091
177,4-Sep-20 11:40:27,21.06,14.089
178,4-Sep-20 11:55:27,21.19,14.089
179,4-Sep-20 12:10:27,21.13,14.088
180,4-Sep-20 12:25:27,21.31,14.087
181,4-Sep-20 12:40:27,21.44,14.086
182,4-Sep-20 12:55:27,21.63,14.083
183,4-Sep-20 13:10:27,21.81,14.078
184,4-Sep-20 13:25:27,21.94,14.075
185,4-Sep-20 13:40:27,21.94,14.078
186,4-Sep-20 13:55:27,22.06,14.076
187,4-Sep-20 14:10:27,21.94,14.076
188,4-Sep-20 14:25:27,21.94,14.073
189,4-Sep-20 14:40:27,22.25,14.069
190,4-Sep-20 14:55:27,22.38,14.070
191,4-Sep-20 15:10:27,22.25,14.070
192,4-Sep-20 15:25:27,22.06,14.066
193,4-Sep-20 15:40:27,22.13,14.065
194,4-Sep-20 15:55:27,22.25,14.066
195,4-Sep-20 16:10:27,22.25,14.065
196,4-Sep-20 16:25:27,22.25,14.065
197,4-Sep-20 16:40:27,22.25,14.066
198,4-Sep-20 16:55:27,22.25,14.064
199,4-Sep-20 17:10:27,22.19,14.061
200,4-Sep-20 17:25:27,22.06,14.062
201,4-Sep-20 17:40:27,22.13,14.061
202,4-Sep-20 17:55:27,21.94,14.066
203,4-Sep-20 18:10:27,21.69,14.068
204,4-Sep-20 18:25:27,21.63,14.071
205,4-Sep-20 18:40:27,21.56,14.070
206,4-Sep-20 18:55:27,21.31,14.070
207,4-Sep-20 19:10:27,21.31,14.075
208,4-Sep-20 19:25:27,21.25,14.076
209,4-Sep-20 19:40:27,21.19,14.078
210,4-Sep-20 19:55:27,21.13,14.080
211,4-Sep-20 20:10:27,21.13,14.081
212,4-Sep-20 20:25:27,21.00,14.082
213,4-Sep-20 20:40:27,21.00,14.085
214,4-Sep-20 20:55:27,20.94,14.088
215,4-Sep-20 21:10:27,20.94,14.093
216,4-Sep-20 21:25:27,20.81,14.096
217,4-Sep-20 21:40:27,20.75,14.102
218,4-Sep-20 21:55:27,20.56,14.106
219,4-Sep-20 22:10:27,20.50,14.107
220,4-Sep-20 22:25:27,20.38,14.110
221,4-Sep-20 22:40:27,20.44,14.111
222,4-Sep-20 22:55:27,20.25,14.110
223,4-Sep-20 23:10:27,20.00,14.112
224,4-Sep-20 23:25:27,20.06,14.116
225,4-Sep-20 23:40:27,20.00,14.117
226,4-Sep-20 23:55:27,19.88,14.119
227,5-Sep-20 00:10:27,19.88,14.120
228,5-Sep-20 00:25:27,19.69,14.123
229,5-Sep-20 00:40:27,19.63,14.123
230,5-Sep-20 00:55:27,19.56,14.125
231,5-Sep-20 01:10:27,19.44,14.123
232,5-Sep-20 01:25:27,19.31,14.128
233,5-Sep-20 01:40:27,19.25,14.127
234,5-Sep-20 01:55:27,19.00,14.129
235,5-Sep-20 02:10:27,18.94,14.130
236,5-Sep-20 02:25:27,18.81,14.132
237,5-Sep-20 02:40:27,18.81,14.132
238,5-Sep-20 02:55:27,18.69,14.131
239,5-Sep-20 03:10:27,18.75,14.133
240,5-Sep-20 03:25:27,18.50,14.134
241,5-Sep-20 03:40:27,18.56,14.137
242,5-Sep-20 03:55:27,18.50,14.137
243,5-Sep-20 04:10:27,18.38,14.135
244,5-Sep-20 04:25:27,18.25,14.139
245,5-Sep-20 04:40:27,18.19,14.141
246,5-Sep-20 04:55:27,18.13,14.143
247,5-Sep-20 05:10:27,18.00,14.143
248,5-Sep-20 05:25:27,17.88,14.143
249,5-Sep-20 05:40:27,17.69,14.145
250,5-Sep-20 05:55:27,17.69,14.148
