Date,Depth,Reservoir,Rep,CH4,CO2
29-Sep-2020,0.1,FCR,1,0.399390288,19.7873783
29-Sep-2020,0.1,FCR,2,0.508230854,16.36787389
29-Sep-2020,1.6,FCR,1,0.627601849,30.82061654
29-Sep-2020,1.6,FCR,2,0.858291242,33.15346708
29-Sep-2020,3.8,FCR,1,0.906066303,188.092511
29-Sep-2020,3.8,FCR,2,1.062441495,193.8652833
29-Sep-2020,5,FCR,1,15.62211138,410.7386747
29-Sep-2020,5,FCR,2,14.47666618,317.0235013
29-Sep-2020,6.2,FCR,1,14.74220153,293.2486497
29-Sep-2020,6.2,FCR,2,14.91759341,307.3729106
29-Sep-2020,8,FCR,1,30.51319142,413.3985305
29-Sep-2020,8,FCR,2,32.82405324,378.4211514
29-Sep-2020,9,FCR,1,40.05982679,379.8797456
29-Sep-2020,9,FCR,2,48.75029181,431.8567507
2-Jul-2020,11,BVR,1,128.8119495,353.9199144
2-Jul-2020,9,BVR,2,37.39735571,265.3931316
2-Jul-2020,0,BVR,1,0.49748378,18.02629958
2-Jul-2020,0,BVR,2,0.516846149,22.35903034
2-Jul-2020,3,BVR,1,0.564348492,10.08295985
2-Jul-2020,6,BVR,2,0.27324174,149.7466637
2-Jul-2020,9,BVR,1,43.89108095,288.0196145
2-Jul-2020,6,BVR,2,0.310159322,165.2054191
2-Jul-2020,11,BVR,1,139.7764714,347.287092
2-Jul-2020,3,BVR,2,0.631161571,12.51677775
6-Jul-2020,3.8,FCR,1,0.65467721,131.2564186
6-Jul-2020,3.8,FCR,2,0.693069093,129.8110991
6-Jul-2020,100,FCR,1,0.057148618,26.36369745
6-Jul-2020,8,FCR,2,37.79952227,540.2818242
6-Jul-2020,8,FCR,1,37.23263485,510.3851236
6-Jul-2020,100,FCR,2,1.410062066,27.96960796
6-Jul-2020,5,FCR,1,23.14911744,389.2994715
6-Jul-2020,6.2,FCR,2,28.54537314,404.7697427
6-Jul-2020,200,FCR,1,2.501104629,22.29539084
6-Jul-2020,9,FCR,2,35.08806319,488.2235586
6-Jul-2020,1.6,FCR,1,1.690638013,20.60918481
6-Jul-2020,6.2,FCR,2,30.77685617,408.1421548
6-Jul-2020,200,FCR,1,2.181671756,81.60701882
6-Jul-2020,0.1,FCR,2,1.010125081,19.21739571
6-Jul-2020,9,FCR,1,35.05370168,485.3864501
6-Jul-2020,5,FCR,2,23.54972615,392.6451184
6-Jul-2020,0.1,FCR,1,1.121477045,22.75039882
9-Jul-2020,9,BVR,2,52.03299507,260.9656999
9-Jul-2020,3,BVR,1,0.701184865,21.33531429
9-Jul-2020,6,BVR,2,0.289655518,189.0420438
9-Jul-2020,3,BVR,1,0.972785001,20.08654745
9-Jul-2020,9,BVR,2,68.83778543,276.2963055
9-Jul-2020,0.1,BVR,1,0.826136316,27.52600948
9-Jul-2020,11,BVR,2,215.9466779,458.5365555
9-Jul-2020,6,BVR,1,0.327407681,194.2762368
9-Jul-2020,0.1,BVR,2,0.872967463,35.41715312
9-Jul-2020,11,BVR,1,226.1119606,468.0750086
17-Jul-2020,11,BVR,2,138.8881185,415.7350814
17-Jul-2020,0.1,BVR,1,0.601057455,38.28963119
17-Jul-2020,3,BVR,2,0.497321912,39.81266607
17-Jul-2020,0.1,BVR,1,0.526621658,34.49540396
17-Jul-2020,6,BVR,2,0.038069035,228.88275
17-Jul-2020,11,BVR,1,183.9236327,390.3778867
17-Jul-2020,9,BVR,2,49.44760197,314.2528628
17-Jul-2020,6,BVR,1,0.091303784,251.487794
17-Jul-2020,9,BVR,2,50.16487831,283.6585658
17-Jul-2020,3,BVR,1,0.557786932,43.67776064
20-Jul-2020,6.2,FCR,2,20.58178827,397.3017795
20-Jul-2020,INF,FCR,1,0.032038416,29.01536947
20-Jul-2020,6.2,FCR,2,18.66811303,392.1357589
20-Jul-2020,0.1,FCR,1,0.636530974,8.458354937
20-Jul-2020,0.1,FCR,2,0.64955304,7.387677096
20-Jul-2020,3.8,FCR,1,0.419444871,215.7415848
20-Jul-2020,9,FCR,2,37.87767528,679.7198268
20-Jul-2020,5,FCR,1,22.8108352,409.9893119
20-Jul-2020,,FCR,2,2.194579798,89.61573521
20-Jul-2020,9,FCR,1,35.63271249,674.2593698
20-Jul-2020,8,FCR,2,29.68271363,536.9449368
20-Jul-2020,8,FCR,1,30.87614462,540.6387753
20-Jul-2020,,FCR,2,1.971706109,84.90475272
20-Jul-2020,5,FCR,1,12.14741697,320.3735767
20-Jul-2020,1.6,FCR,2,0.530804203,5.674592552
20-Jul-2020,INF,FCR,1,0.017569454,44.45989731
20-Jul-2020,1.6,FCR,2,0.673116778,2.864063222
20-Jul-2020,3.8,FCR,1,0.377639906,208.1397721
23-Jul-2020,6,BVR,2,1.693936967,266.7120647
23-Jul-2020,11,BVR,1,163.929657,400.0949942
23-Jul-2020,9,BVR,2,160.1706145,416.8788111
23-Jul-2020,6,BVR,1,1.082142309,250.5737792
23-Jul-2020,11,BVR,2,187.1889143,382.1814973
23-Jul-2020,3,BVR,1,0.617766173,45.91342219
23-Jul-2020,0.1,BVR,2,0.497712765,28.53786816
23-Jul-2020,9,BVR,1,157.1387466,419.8643939
23-Jul-2020,3,BVR,2,0.700484633,41.36780511
23-Jul-2020,0.1,BVR,1,0.532399477,25.01434249
27-Jul-2020,6.2,FCR,2,11.79503519,652.2115424
27-Jul-2020,8,FCR,1,6.321227134,699.1023943
27-Jul-2020,9,FCR,2,4.750944416,627.9806082
27-Jul-2020,3.8,FCR,1,0.667551359,105.9770531
27-Jul-2020,8,FCR,2,2.92903195,678.4395317
27-Jul-2020,1.6,FCR,1,0.596303386,#VALUE!
27-Jul-2020,9,FCR,2,4.77412828,652.8772274
27-Jul-2020,6.2,FCR,1,9.788422889,662.5163463
27-Jul-2020,0.1,FCR,2,0.579288177,#VALUE!
27-Jul-2020,5,FCR,1,29.69405802,511.4591045
27-Jul-2020,0.1,FCR,2,0.567876164,#VALUE!
,,,1,0.638532443,109.5897266
,,,2,22.93564668,512.0439306
,,,1,0.545007924,#VALUE!
,,,2,9.105036046,39.57555654
,,,1,0.624514111,#VALUE!
30-Jul-2020,11,BVR,2,278.6666542,460.7516427
30-Jul-2020,0,BVR,1,0.43199454,17.56811355
30-Jul-2020,3,BVR,2,0.485276599,27.20138428
30-Jul-2020,6,BVR,1,4.803685013,229.9246765
30-Jul-2020,9,BVR,2,178.5237928,421.0774286
30-Jul-2020,3,BVR,1,0.652910153,29.69595025
30-Jul-2020,6,BVR,2,3.055572384,211.7461904
30-Jul-2020,11,BVR,1,284.294418,510.5368104
30-Jul-2020,9,BVR,2,185.7436143,458.3897664
30-Jul-2020,0,BVR,1,0.653473714,17.40888594
22-Jun-2020,1.6,FCR,2,0.484200711,24.91912179
22-Jun-2020,F200,FCR,1,1.732518507,93.50491483
22-Jun-2020,0.1,FCR,2,0.604874179,29.4184742
22-Jun-2020,8,FCR,1,28.09490861,400.9066525
22-Jun-2020,6.2,FCR,2,21.94821815,363.707205
22-Jun-2020,6.2,FCR,1,22.22585941,353.0216904
22-Jun-2020,1.6,FCR,2,0.648086827,30.99065715
22-Jun-2020,F100,FCR,1,0.018056713,26.11422529
22-Jun-2020,5,FCR,2,16.29939913,380.4949213
22-Jun-2020,F200,FCR,1,2.047250624,89.96084139
22-Jun-2020,3.8,FCR,2,0.195897336,184.9047033
22-Jun-2020,9,FCR,1,43.04530148,372.2875933
22-Jun-2020,3.8,FCR,2,0.188335122,193.1653256
22-Jun-2020,5,FCR,1,15.36991565,386.6770644
22-Jun-2020,0.1,FCR,2,0.788270713,38.61174739
22-Jun-2020,8,FCR,1,32.55491684,402.6920128
22-Jun-2020,9,FCR,2,46.66034811,387.556421
22-Jun-2020,F100,FCR,1,0.015227314,24.5686895
25-Jun-2020,11,BVR,2,127.499369,237.2925719
25-Jun-2020,6,BVR,1,0.276124933,110.9026598
25-Jun-2020,9,BVR,2,28.58260331,249.5644777
25-Jun-2020,0.1,BVR,1,0.379788172,16.10352707
25-Jun-2020,3,BVR,2,0.717004066,29.55439327
25-Jun-2020,9,BVR,1,32.83822755,291.8730788
25-Jun-2020,0.1,BVR,2,0.423136372,20.73898494
25-Jun-2020,11,BVR,1,153.8285383,318.5336602
25-Jun-2020,6,BVR,2,0.327594456,109.268192
25-Jun-2020,3,BVR,1,0.851962843,36.30662093
3-Aug-2020,0.1,FCR,2,0.946857387,#VALUE!
3-Aug-2020,1.6,FCR,1,1.049995276,24.06758493
3-Aug-2020,5,FCR,2,17.12681996,438.1315517
3-Aug-2020,3.8,FCR,1,2.051670451,248.0216716
3-Aug-2020,6.2,FCR,2,1.71611133,623.9674988
3-Aug-2020,1.6,FCR,1,1.025757872,12.3409814
3-Aug-2020,0.1,FCR,2,0.978366012,#VALUE!
3-Aug-2020,5,FCR,1,16.4811252,426.0576911
3-Aug-2020,6.2,FCR,2,1.471571396,620.3613679
3-Aug-2020,3.8,FCR,1,2.306214761,256.0085838
,,,2,294.465391,607.2742571
,,,1,12.03560703,327.4924105
,,,2,312.6612463,633.5231355
,,,1,0.620142146,18.53020209
,,,2,270.9888779,595.1449085
,,,1,0.443870998,62.20661455
,,,2,11.51681431,319.8813115
,,,1,283.9015832,639.7357286
,,,2,0.45742233,73.87875926
,,,1,0.794492223,22.5105648
10-Aug-2020,0.1,FCR,2,0.890382906,#VALUE!
10-Aug-2020,1.6,FCR,1,0.582086148,4.14130179
10-Aug-2020,9,FCR,2,0.001186352,739.4761913
10-Aug-2020,5,FCR,1,7.684362444,457.4668984
10-Aug-2020,3.8,FCR,2,15.74005304,265.5776761
10-Aug-2020,5,FCR,1,6.215761929,478.4138701
10-Aug-2020,6.2,FCR,2,1.957429086,627.0732453
10-Aug-2020,8,FCR,1,0.011657197,734.0524219
10-Aug-2020,6.2,FCR,2,0.018465826,633.2184028
10-Aug-2020,9,FCR,1,0.005261213,710.1664619
10-Aug-2020,0.1,FCR,2,1.031868267,#VALUE!
10-Aug-2020,8,FCR,1,0.003559056,734.8806822
10-Aug-2020,3.8,FCR,2,17.03462089,295.8225382
10-Aug-2020,1.6,FCR,1,0.779433211,5.557359822
17-Aug-2020,6.2,FCR,2,0.125742641,637.4106921
17-Aug-2020,3.8,FCR,1,31.46697957,415.7759538
17-Aug-2020,0.1,FCR,2,0.194221473,43.77011683
17-Aug-2020,5,FCR,1,14.24623291,427.3409021
17-Aug-2020,0.1,FCR,2,0.25458621,37.39868698
17-Aug-2020,6.2,FCR,1,0.726650855,615.7799555
17-Aug-2020,3.8,FCR,2,34.82022002,402.8189284
17-Aug-2020,9,FCR,1,0.030337415,774.5302875
17-Aug-2020,5,FCR,2,18.35160351,445.8394652
17-Aug-2020,9,FCR,1,0.014832773,780.0985959
17-Aug-2020,1.6,FCR,2,0.259289284,1092.138034
17-Aug-2020,8,FCR,1,0.021964908,801.408084
17-Aug-2020,8,FCR,2,0.01571137,730.2782978
17-Aug-2020,1.6,FCR,1,0.267248334,36.461712
20-Aug-2020,0.1,BVR,2,0.616266344,#VALUE!
20-Aug-2020,10,BVR,1,329.6741831,253.6428474
20-Aug-2020,3,BVR,2,0.513788191,23.27047792
20-Aug-2020,10,BVR,1,325.4018793,301.1757476
20-Aug-2020,0.1,BVR,2,1.281080419,13.80679277
20-Aug-2020,3,BVR,1,0.434807555,22.11767774
20-Aug-2020,6,BVR,2,26.07810196,295.0632257
