ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/23/2025 - 22,0.2,"2,169.2",870.3,31.7,"5,448.3",4.5,1.3,-0.8,"1,298.0","1,689.7",0.7,-0.6,0.1,206.2,225.6,0.6,0.2,0.8,10.1,-0.1,-0.6,12.7,-0.2,0.0,0.0,0.0,38.8,0.3,0.0
06/23/2025 - 23,0.2,"2,200.4","1,018.2",124.6,"6,628.1",24.5,0.6,-1.0,"1,503.4","2,515.1",2.5,-0.1,0.2,"13,955.4","1,547.7",3.9,0.3,1.0,1.1,0.8,-0.7,19.5,0.0,0.0,0.0,0.0,96.3,0.5,0.0
06/23/2025 - 24,0.3,"2,220.1","1,007.6",16.8,"6,401.8",4.4,0.4,-1.1,"1,485.0","2,448.7",0.9,-0.5,0.1,"11,166.1","1,402.5",3.4,0.3,0.4,16.7,0.6,-0.3,18.8,0.2,0.0,0.0,0.1,76.7,0.3,0.0
06/23/2025 - 73,0.2,"2,263.8","1,052.8",93.5,"7,051.4",28.4,0.2,-1.2,"1,593.8","2,795.2",2.4,0.0,0.2,"18,721.0","1,844.7",4.6,0.4,0.9,1.4,1.1,-0.4,21.7,0.2,0.1,0.0,0.0,111.3,0.5,0.0
06/23/2025 - 74,0.2,"2,238.6","1,044.6",16.3,"6,942.0",9.9,0.1,-1.2,"1,573.3","2,762.2",0.9,-0.4,0.1,"17,743.6","1,829.9",4.2,0.3,0.5,22.4,1.0,-0.5,21.6,0.2,0.0,0.0,0.0,106.8,0.4,0.0
06/25/2025 - 37,0.8,"1,687.4","3,351.5",19.8,"1,027.6",1.8,6.2,0.1,"1,016.4","12,165.1",0.2,-0.9,0.1,78.7,7.0,0.1,0.8,0.5,0.5,0.0,-0.4,52.0,0.1,0.0,0.0,0.0,59.3,0.1,0.1
06/25/2025 - 38,0.8,"1,699.1","3,394.5",11.2,"1,022.2",-0.7,6.4,0.2,"1,196.6","12,200.8",0.0,-0.9,0.1,26.0,5.2,0.0,0.7,1.2,23.5,-0.1,-0.5,52.2,0.0,0.0,0.0,0.0,60.3,0.2,0.1
06/25/2025 - 43,0.8,"1,756.1","3,703.1",22.2,"1,683.0",4.7,6.5,0.2,"1,040.4","13,437.7",0.3,-0.9,0.1,38.0,31.7,0.1,0.7,0.5,-0.2,-0.1,-0.5,56.9,0.0,0.0,0.0,0.0,62.0,0.1,0.1
06/25/2025 - 44,0.8,"1,798.7","3,816.9",11.4,"1,734.2",-0.4,6.9,0.2,"1,058.3","13,676.0",0.1,-0.9,0.1,4.6,7.9,0.0,0.7,0.4,12.5,-0.1,-0.4,58.1,-0.1,0.0,0.0,0.0,61.9,0.1,0.0
06/25/2025 - 51,0.8,"1,706.0","3,383.3",18.7,"1,042.0",1.9,6.7,0.0,"1,034.4","12,197.0",0.1,-0.8,0.2,34.6,15.4,0.1,0.7,0.6,1.3,-0.1,-0.3,51.9,0.0,0.0,0.0,0.0,59.5,0.1,0.1
06/25/2025 - 52,0.9,"1,854.3","3,416.7",17.1,"1,053.7",0.3,6.8,0.3,"1,213.0","12,155.4",0.0,-0.8,0.1,11.2,21.4,0.1,0.9,2.7,14.2,-0.1,-0.5,52.2,0.0,0.0,0.0,0.0,57.9,0.5,0.1
06/25/2025 - 53,0.8,"1,652.0","3,291.1",21.5,"1,083.5",3.5,6.6,-0.1,"1,020.3","11,832.4",0.2,-0.8,0.5,25.3,10.9,0.1,0.7,1.6,11.0,-0.1,-0.4,50.2,-0.1,0.0,0.0,0.0,61.3,0.3,0.1
06/25/2025 - 54,0.8,"1,674.2","3,255.6",17.0,"1,068.1",0.4,6.4,-0.2,"1,035.3","11,758.7",0.2,-0.8,0.1,3.7,3.5,0.0,0.7,1.3,8.0,-0.1,-0.2,49.9,0.1,0.0,0.0,0.1,57.6,0.1,0.1
06/25/2025 - 57,0.9,"1,873.9","4,258.2",48.2,"3,373.3",17.3,6.5,0.2,"1,104.1","15,319.8",-2.3,-0.8,0.1,620.0,"3,243.1",1.0,1.1,0.6,0.9,0.3,-0.7,66.2,0.4,0.0,0.0,0.0,155.4,0.3,0.1
06/25/2025 - 58,0.9,"1,923.2","4,263.2",9.1,"3,162.2",0.0,6.6,0.3,"1,123.0","15,595.4",0.3,-0.9,0.1,12.9,"2,595.2",0.7,1.0,0.4,10.7,-0.1,-0.8,66.3,0.2,0.0,0.0,0.0,128.4,0.1,0.1
06/25/2025 - 79,1.4,"1,824.9","1,708.9",23.3,"4,047.0",1.4,5.2,-1.7,"1,484.3","2,735.3",0.6,-0.9,0.1,79.1,27.9,0.1,0.7,0.3,-0.4,-0.1,-0.8,14.8,-0.1,0.0,0.0,0.0,32.9,0.1,0.0
