ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/01/2025 - 1,0.2,"2,795.6","1,181.0",39.3,"7,958.7",26.9,1.2,1.4,"1,587.8","2,664.6",-2.9,0.2,0.1,767.9,192.2,0.3,0.2,1.9,0.6,0.2,0.2,18.0,0.0,0.0,0.0,0.0,24.8,0.1,0.0
12/01/2025 - 2,0.1,"2,764.7","1,171.1",16.8,"7,867.9",6.1,1.3,1.3,"1,582.8","2,631.3",-1.7,0.1,0.1,357.3,170.7,0.2,0.2,1.4,16.7,0.1,0.1,17.7,-0.1,0.0,0.0,0.0,23.6,0.0,0.0
12/01/2025 - 3,0.0,"2,788.9","1,175.8",24.2,"7,884.3",24.2,0.8,1.1,"1,589.3","2,656.6",-1.7,0.2,0.1,783.1,193.6,0.3,0.1,1.6,0.6,0.1,0.0,18.0,-0.1,0.0,0.0,0.0,24.9,0.1,0.0
12/01/2025 - 4,0.0,"2,787.0","1,160.4",16.7,"7,703.1",7.7,0.8,1.0,"1,595.3","2,569.4",-1.7,0.1,0.1,375.5,168.6,0.2,1.1,2.3,14.3,0.1,-0.1,17.4,-0.2,0.0,0.0,0.0,22.7,0.1,0.0
12/01/2025 - 5,-0.1,"2,737.1","1,166.2",39.6,"7,822.1",26.4,0.8,0.9,"1,539.8","2,570.1",-2.0,0.1,0.1,770.9,188.3,0.3,0.2,1.6,0.5,0.1,-0.1,17.7,-0.2,0.0,0.0,0.0,24.1,0.1,0.0
12/01/2025 - 6,-0.1,"2,686.3","1,136.5",27.1,"7,705.5",7.4,0.5,0.8,"1,541.8","2,531.5",-2.4,0.0,0.0,361.8,166.3,0.2,0.3,1.6,4.8,0.1,-0.1,17.3,-0.2,0.0,0.0,0.0,22.9,0.1,0.0
12/01/2025 - 7,-0.2,"2,721.0","1,163.3",26.6,"7,729.5",24.3,0.5,0.7,"1,529.3","2,551.8",-2.6,0.1,0.0,803.8,190.3,0.3,0.6,1.6,0.4,0.1,-0.1,17.6,-0.2,0.0,0.0,0.0,24.2,0.1,0.0
12/01/2025 - 8,-0.2,"2,668.1","1,128.5",21.5,"7,581.7",7.3,0.4,0.7,"1,512.0","2,491.1",-3.0,0.0,0.1,364.9,165.8,0.2,0.2,1.2,4.1,0.1,-0.2,17.1,-0.2,0.0,0.0,0.0,22.6,0.1,0.0
