ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2025 - 1,0.4,"2,839.4","1,231.3",20.1,"7,896.6",24.3,0.3,1.0,"1,575.6","2,955.6",1.5,0.2,0.0,785.6,484.5,0.8,0.1,0.9,0.3,0.2,0.3,19.8,0.3,0.1,0.0,0.0,36.6,0.0,0.0
10/27/2025 - 2,0.4,"2,860.2","1,220.7",17.3,"7,924.7",0.9,0.4,1.0,"1,629.1","2,884.4",1.2,0.0,0.1,47.5,238.6,0.1,0.2,1.5,6.1,0.2,0.2,19.5,0.2,0.0,0.0,0.0,28.6,0.0,0.0
10/27/2025 - 3,0.3,"2,817.0","1,233.4",23.1,"7,946.0",24.3,0.4,0.8,"1,561.7","2,958.9",1.3,0.1,0.0,799.5,476.1,0.8,0.1,0.9,0.1,0.2,0.1,19.9,0.2,-0.4,0.0,0.0,36.5,0.0,0.0
10/27/2025 - 4,0.3,"2,818.6","1,214.5",12.7,"7,844.4",0.3,0.4,0.8,"1,568.0","2,874.4",0.9,0.0,0.0,59.1,238.8,0.1,0.2,1.0,4.5,0.2,0.1,19.4,0.1,0.0,0.0,0.0,27.4,0.0,0.0
10/27/2025 - 5,0.3,"2,824.3","1,228.0",20.4,"7,910.0",25.1,0.6,0.8,"1,568.1","2,992.5",1.1,0.1,0.1,802.0,469.9,0.8,0.1,0.9,0.0,0.2,0.1,19.7,0.1,0.1,0.0,0.0,36.4,0.0,0.0
10/27/2025 - 6,0.4,"2,845.5","1,222.5",18.4,"7,844.2",0.8,4.6,0.7,"1,567.9","2,932.6",1.3,0.0,0.1,46.6,232.3,0.1,0.3,0.9,7.6,0.1,0.0,19.1,0.1,0.0,0.0,0.0,29.0,0.1,0.0
10/27/2025 - 7,0.3,"2,795.6","1,211.2",23.7,"7,868.4",29.5,1.1,0.7,"1,540.4","2,962.3",1.3,0.1,0.1,825.7,467.8,0.8,0.2,1.1,0.6,0.2,0.1,19.5,0.1,0.1,0.0,0.0,35.6,0.1,0.0
10/27/2025 - 8,0.3,"2,831.8","1,212.5",11.9,"7,825.8",0.4,0.5,0.7,"1,560.2","2,937.6",0.8,0.0,0.0,54.9,232.0,0.1,0.1,0.7,4.0,0.1,0.0,19.4,0.0,0.0,0.0,0.0,27.6,0.0,0.0
