ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/28/2025 - 37,0.9,"1,723.3","3,463.1",31.3,"1,129.9",3.9,6.1,1.6,"1,039.6","12,694.8",1.0,-0.1,0.2,15.0,6.9,0.1,0.8,0.6,0.4,0.4,0.2,53.3,0.5,0.0,0.0,0.1,57.4,0.1,0.2
05/28/2025 - 38,0.8,"1,678.2","3,391.2",18.9,"1,102.4",-0.4,6.3,1.4,"1,017.8","12,392.8",0.6,-0.2,0.2,1.1,0.4,0.0,0.7,0.4,2.2,0.3,0.0,52.0,0.4,0.0,0.0,0.1,56.8,0.1,0.1
05/28/2025 - 43,0.8,"1,859.8","4,063.5",22.7,"1,811.1",4.3,6.9,1.7,"1,062.4","15,008.5",0.6,-0.2,0.2,19.2,21.6,0.1,0.7,0.5,0.7,0.2,0.0,61.9,0.3,0.0,0.0,0.1,60.9,0.1,0.1
05/28/2025 - 44,0.8,"1,881.2","4,086.9",14.3,"1,797.9",-0.2,7.0,1.6,"1,076.7","14,990.5",0.5,-0.2,0.1,-1.3,6.9,0.0,0.7,0.4,4.4,0.2,-0.2,62.1,0.2,0.0,0.0,0.0,59.3,0.2,0.1
05/28/2025 - 51,0.8,"1,675.7","3,395.6",28.0,"1,133.7",6.7,6.4,1.2,"1,024.8","12,434.9",0.5,-0.2,0.2,20.9,9.7,0.1,0.8,0.8,4.5,0.2,-0.1,52.1,0.2,0.0,0.0,0.1,57.4,0.6,0.1
05/28/2025 - 52,0.9,"1,834.2","3,650.9",38.7,"1,191.3",1.9,7.1,1.8,"1,160.3","13,185.5",0.5,-0.2,0.3,10.3,4.2,0.1,1.2,1.5,8.3,0.2,-0.1,54.9,0.2,0.0,0.0,0.1,60.7,0.5,0.1
05/28/2025 - 53,0.8,"1,699.1","3,453.6",23.0,"1,128.7",3.8,6.7,1.2,"1,022.6","12,525.8",0.3,-0.2,0.1,14.1,7.2,0.1,0.7,0.5,0.5,0.2,0.0,52.3,0.0,0.0,0.0,0.0,57.0,0.1,0.1
05/28/2025 - 54,0.8,"1,712.5","3,452.2",30.6,"1,127.4",0.7,6.7,1.2,"1,042.6","12,582.4",0.3,-0.2,0.2,4.8,2.0,0.0,0.8,0.7,4.3,0.2,-0.1,52.4,0.0,0.0,0.0,0.0,57.1,0.2,0.1
