ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/06/2025 - 37,0.4,"1,642.3","3,129.2",28.5,"1,019.9",3.2,4.7,2.2,988.6,"11,369.4",1.4,0.2,0.1,26.5,8.4,0.0,0.5,0.6,0.8,0.5,0.3,47.7,0.6,0.0,0.0,0.0,56.8,0.1,0.1
08/06/2025 - 38,0.2,"1,595.4","3,114.0",14.6,"1,010.7",-1.1,4.9,2.0,983.1,"11,224.1",0.5,0.1,0.1,0.1,0.2,0.0,0.5,0.5,2.3,0.4,0.2,47.3,0.5,0.0,0.0,0.0,55.0,0.0,0.0
08/06/2025 - 43,0.1,"1,803.6","3,881.4",26.6,"2,220.9",6.4,5.4,2.5,"1,053.4","14,250.4",0.5,0.1,0.1,52.3,102.6,0.1,0.7,0.4,0.5,0.3,0.2,58.7,0.3,0.0,0.0,0.0,64.0,0.1,0.0
08/06/2025 - 44,0.2,"1,735.5","3,647.9",16.0,"1,913.3",-0.4,5.4,2.4,"1,040.9","13,441.3",0.4,0.1,0.1,1.9,14.0,0.0,0.6,0.6,5.5,0.3,0.2,56.1,0.3,0.0,0.0,0.0,61.2,0.0,0.0
08/06/2025 - 51,0.2,"1,605.6","3,135.7",22.5,"1,032.9",1.8,5.1,2.1,983.5,"11,445.5",0.3,0.1,0.1,18.4,10.5,0.0,0.5,0.4,0.2,0.4,0.1,48.2,0.3,0.0,0.0,0.0,56.9,0.0,0.0
08/06/2025 - 52,0.1,"1,613.7","3,117.6",18.6,"1,039.0",-0.7,5.1,2.1,"1,017.3","11,327.4",0.2,0.1,0.1,0.3,4.6,0.0,0.5,0.7,6.2,0.4,0.1,47.5,0.3,0.0,0.0,0.0,54.8,0.0,0.0
08/06/2025 - 53,0.0,"1,576.9","3,062.6",24.7,"1,079.8",4.1,5.1,2.0,979.4,"11,057.6",0.4,0.1,0.1,22.0,9.4,0.0,0.6,0.5,0.8,0.4,0.2,46.4,0.3,0.0,0.0,0.0,59.4,0.1,0.0
08/06/2025 - 54,0.0,"1,619.7","3,050.3",35.3,"1,076.1",-0.5,5.0,2.2,990.0,"11,225.2",0.1,0.1,0.1,3.2,1.6,0.0,0.6,0.8,7.9,0.4,0.1,46.6,0.3,0.0,0.0,0.0,56.9,0.1,0.0
