ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tallory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),77Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),137Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/14/2025 - 1,0.3,"2,365.3",893.2,32.1,"5,800.3",10.5,0.9,0.3,"1,181.9","2,033.5",0.1,0.1,0.1,397.1,23.6,0.1,0.1,0.6,8.6,0.2,-0.2,13.7,0.3,0.0,0.0,0.1,15.3,0.5,0.1
07/14/2025 - 2,0.6,"2,425.1",875.9,22.9,"5,811.9",5.0,0.9,0.5,"1,619.8","2,001.3",1.3,0.1,0.1,221.8,5.6,0.0,1.2,2.7,11.5,0.1,-0.2,13.3,0.3,0.0,0.0,0.1,15.5,0.8,0.1
07/14/2025 - 3,0.3,"2,333.2",890.9,30.5,"5,811.0",11.9,0.9,0.1,"1,184.0","2,039.0",1.2,0.1,0.1,419.2,22.1,0.1,0.1,0.5,3.7,0.1,-0.3,13.8,0.2,0.0,0.0,0.1,15.3,0.2,0.1
07/14/2025 - 4,0.3,"2,404.9",894.0,19.1,"5,892.7",3.0,1.0,0.3,"1,269.0","2,041.8",1.0,0.1,0.1,231.6,3.1,0.0,0.4,1.2,4.1,0.1,-0.3,13.7,0.1,0.0,0.0,0.0,14.7,0.2,0.0
07/14/2025 - 5,0.3,"2,456.3","1,019.6",23.9,"5,992.9",15.7,1.3,0.2,"1,162.6","2,501.4",1.1,0.0,0.1,640.8,445.8,0.7,0.1,0.4,0.8,0.1,-0.3,17.4,0.1,0.0,0.0,0.0,39.4,0.1,0.0
07/14/2025 - 6,0.3,"2,457.3","1,011.9",12.5,"5,983.0",2.2,1.4,0.3,"1,282.2","2,530.9",0.8,-0.1,0.1,75.7,413.8,0.4,0.1,0.3,2.0,0.1,-0.3,17.5,0.0,0.0,0.0,0.0,37.8,0.1,0.0
07/14/2025 - 7,0.2,"2,434.5","1,029.7",16.9,"6,494.4",14.8,1.4,0.1,"1,217.4","2,612.0",1.0,0.0,0.1,"1,604.9",802.7,1.3,0.2,0.7,1.2,0.1,-0.4,18.0,0.0,0.0,0.0,0.0,44.9,0.1,0.0
07/14/2025 - 8,0.2,"2,430.4","1,019.1",7.9,"6,539.2",0.4,1.4,0.2,"1,255.0","2,621.4",0.8,-0.1,0.1,35.2,816.4,1.2,0.3,0.5,11.5,0.0,-0.4,18.0,0.0,0.0,0.0,0.0,43.0,0.1,0.0
