ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02/24/2025 - 1,0.4,"2,297.8",837.3,129.8,"6,404.1",10.5,2.1,1.6,"1,152.7","1,773.4",2.6,0.4,0.2,509.5,30.5,0.1,0.1,0.8,1.7,0.0,-0.7,11.4,-0.3,0.0,0.0,0.0,16.4,0.2,0.0
02/24/2025 - 2,0.3,"2,295.3",825.2,36.0,"6,375.6",-2.8,2.0,1.0,"1,155.4","1,743.4",0.8,0.1,0.1,150.6,9.4,0.0,0.1,0.7,2.7,0.0,-0.5,11.2,-0.4,0.0,0.0,0.0,14.9,0.1,0.0
02/24/2025 - 3,0.3,"2,249.1",824.5,121.5,"6,349.9",8.3,1.8,0.7,"1,152.1","1,749.6",2.5,0.3,0.2,504.6,30.2,0.1,0.1,0.8,1.6,0.0,-0.5,11.2,-0.4,0.0,0.0,0.0,16.5,0.2,0.0
02/24/2025 - 4,0.3,"2,303.3",826.8,39.9,"6,420.1",-3.2,1.7,0.6,"1,160.4","1,758.1",0.8,0.1,0.1,150.0,9.6,0.0,0.1,0.6,17.3,0.0,-0.4,11.2,-0.4,0.0,0.0,0.0,15.0,0.2,0.0
02/24/2025 - 5,0.3,"2,263.1",834.9,122.8,"6,442.1",10.3,1.6,0.5,"1,156.4","1,744.5",2.7,0.3,0.2,517.7,31.5,0.1,0.1,0.8,0.9,0.0,-0.3,11.3,-0.2,0.0,0.0,0.1,16.8,0.2,0.1
02/24/2025 - 6,0.3,"2,273.5",824.3,70.4,"6,404.6",-1.8,1.6,0.4,"1,169.5","1,735.3",1.8,0.1,0.2,171.4,9.5,0.0,0.1,0.7,3.1,0.0,-0.4,11.3,-0.3,0.0,0.0,0.0,15.0,0.2,0.0
02/24/2025 - 7,0.3,"2,236.5",830.3,149.7,"6,437.3",10.4,1.5,0.4,"1,160.0","1,737.1",2.9,0.3,0.2,530.6,32.1,0.2,0.1,0.8,0.8,0.0,-0.4,11.3,-0.3,0.0,0.0,0.0,16.8,0.2,0.0
02/24/2025 - 8,0.2,"2,279.3",817.2,33.6,"6,345.2",-2.9,1.4,0.3,"1,159.3","1,722.9",0.8,0.0,0.1,152.5,9.4,0.0,0.3,0.7,2.4,0.0,-0.5,11.1,-0.3,0.0,0.0,0.0,14.7,0.2,0.0
