Reservoir,Site,DateTime,Depth_m,Temp_C,DO_mgL,DOSat,Cond_uScm,PAR_umolm2s,ORP_mV,pH,Flag_Temp,Flag_DO,Flag_DOSat,Flag_Cond,Flag_PAR,Flag_ORP,Flag_pH,Notes 
FCR,50,2/29/20 9:41,0.1,5.6,12.36,98,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:43,0.8,5.6,12.2,96.7,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:45,1.6,5.6,12.18,96,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:46,2.8,5.6,12.05,95.7,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:49,3.8,5.6,12.01,95,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:50,5,5.6,11.98,94.6,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:51,6.2,5.6,11.94,95.1,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:51,8,5.6,11.88,9.41,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:53,9,5.6,11.83,94.2,,,,,0,0,0,0,1,1,1,
FCR,50,2/29/20 9:54,10,5.6,11.89,94,,,,,0,0,0,0,1,1,1,
FCR,100,2/29/20 11:18,0.1,3,13.06,96.8,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:11,0.1,10.5,12.23,108.9,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:12,1,10.4,12.32,108.1,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:13,2,9.6,12.55,107.7,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:13,3,8.6,12.34,104.5,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:14,4,7.8,12.04,99.7,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:15,5,7.1,11.36,93,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:16,6,6.8,10.86,87.7,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:16,7,6.6,10.68,85.5,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:17,8,6.5,10.66,85.4,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:18,9,6.5,10.46,83.8,,,,,0,0,0,0,1,1,1,
FCR,50,3/16/20 15:19,10,6.5,10.42,83.2,,,,,0,0,0,0,1,1,1,
BVR,50,3/16/20 11:08,0.1,9.2,12.39,106,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:09,1,9.2,12.25,106.3,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:11,2,9.1,12.16,103.9,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:12,3,8.1,12.27,103.4,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:13,4,7.4,12.24,101.3,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:14,5,7,12.19,99.9,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:15,6,6.7,12.05,97,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:17,7,6.5,11.8,95.1,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:18,8,6.2,11.5,92,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:19,9,6.1,11.36,90.4,,,,,0,0,0,1,1,1,1,
BVR,50,3/16/20 11:20,10,6.1,11.2,89,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:08,0.1,15,10.06,100,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:10,1.6,13.4,10.5,100.1,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:12,2.8,11.7,10.31,95.3,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:15,3.8,10.1,9.16,81.4,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:18,5,8,7.09,59.6,,,,,0,0,0,1,1,1,1,
FCR,50,4/4/20 16:21,6.2,7.3,6.22,51.2,,,,,0,0,0,1,1,1,1,
