No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,50,machine blank,blank,278,5007,0.206,2.946,1,1,0,0,14.3203,,,1/25/23,11:14:35 AM
2,2,50,machine blank,blank,0,843,0,0.468,1,1,0,0,0,,Nnp,1/25/23,11:22:35 AM
3,3,50,crucible blank,very low,59,175,0.031,0.068,1,1,0,0,2.2022,,Cu,1/25/23,11:33:19 AM
4,4,10.16,RunIn,very low,2979,11812,10.562,35.884,1,1,0,0,3.3974,,,1/25/23,11:43:56 AM
5,5,10.04,aspartic acid,very low,3028,11833,10.52,36.06,0.9693,0.9913,0,0,3.4278,,,1/25/23,11:54:36 AM
6,6,9.73,aspartic acid,very low,3092,11601,10.52,36.06,0.9209,0.9797,0,0,3.4278,,,1/25/23,12:05:10 PM
7,7,10.05,aspartic acid,very low,2936,11865,10.52,36.06,0.9988,0.9897,0,0,3.4278,,,1/25/23,12:15:48 PM
8,8,20,f20jul20_8m_f3,very low,6690,12078,11.201,18.39,0.963,0.9869,0,0,1.6418,,,1/25/23,12:26:29 PM
9,9,20,f20jul20_4m_f3,very low,7484,7637,12.493,11.7,0.963,0.9869,0,0,0.9365,,,1/25/23,12:37:07 PM
10,10,20,b30jul20_4m_f3,very low,7396,6203,12.349,9.538,0.963,0.9869,0,0,0.7723,,,1/25/23,12:47:44 PM
11,11,20,b30jul20_8m_f3,very low,5390,7368,9.087,11.293,0.963,0.9869,0,0,1.2428,,,1/25/23,12:58:25 PM
12,12,20,f7aug20_8m_f3,very low,6177,11032,10.367,16.814,0.963,0.9869,0,0,1.6219,,,1/25/23,1:09:03 PM
13,13,20,f7aug20_4m_f3,very low,8755,7192,14.562,11.028,0.963,0.9869,0,0,0.7573,,,1/25/23,1:19:43 PM
14,14,20,f24aug20_4m_f3,very low,7323,7316,12.231,11.215,0.963,0.9869,0,0,0.9169,,,1/25/23,1:30:21 PM
15,15,20,b26aug20_4m_f3,very low,5864,7183,9.858,11.015,0.963,0.9869,0,0,1.1174,,,1/25/23,1:40:59 PM
16,16,20,f11sep20_4m_f3,very low,7509,7306,12.534,11.201,0.963,0.9869,0,0,0.8937,,,1/25/23,1:52:01 PM
17,17,20,b26aug20_8m_f3,very low,6249,8712,10.484,13.319,0.963,0.9869,0,0,1.2703,,,1/25/23,2:02:40 PM
18,18,10.31,aa as unknown,very low,3321,12347,11.104,36.461,0.963,0.9869,0,0,3.2837,,,1/25/23,2:13:19 PM
19,19,20,f30sep20_4m_f3,very low,8487,11630,14.126,17.715,0.963,0.9869,0,0,1.2541,,,1/25/23,2:24:02 PM
20,20,20,f30sep20_8m_f3,very low,5191,8802,8.764,13.455,0.963,0.9869,0,0,1.5353,,,1/25/23,2:34:42 PM
21,21,20,b1oct20_8m_f3,very low,6335,10675,10.624,16.276,0.963,0.9869,0,0,1.532,,,1/25/23,2:45:26 PM
22,22,20,b16sep20_8m_f3,very low,4006,9366,6.837,14.305,0.963,0.9869,0,0,2.0923,,,1/25/23,2:56:12 PM
23,23,20,f5oct20_4m_f3,very low,4024,5874,6.866,8.32,0.963,0.9869,0,0,1.2118,,,1/25/23,3:06:57 PM
24,24,20,f5oct20_8m_f3,very low,2264,6311,4.006,9.7,0.963,0.9869,0,0,2.4215,,,1/25/23,3:17:39 PM
25,25,20,b14oct20_8m_f3,very low,4131,8244,7.039,12.613,0.963,0.9869,0,0,1.7919,,,1/25/23,3:28:25 PM
26,26,20,f19oct20_8m_f3,very low,4540,11313,7.704,17.237,0.963,0.9869,0,0,2.2373,,,1/25/23,3:39:11 PM
27,27,20,b26oct20_8m_f3,very low,4782,8677,8.099,13.265,0.963,0.9869,0,0,1.638,,,1/25/23,3:49:55 PM
28,28,20,b2nov20_8m_f3,very low,5131,11657,8.665,17.757,0.963,0.9869,0,0,2.0493,,,1/25/23,4:00:36 PM
29,29,10.31,aa as unknown,very low,3382,12291,11.296,36.299,0.963,0.9869,0,0,3.2135,,,1/25/23,4:11:21 PM
30,30,20,f9nov20_8m_f3,very low,5096,6846,8.609,10.507,0.963,0.9869,0,0,1.2204,,,1/25/23,4:22:04 PM
31,31,20,f19oct20_4m_f3,very low,5073,6614,8.572,10.158,0.963,0.9869,0,0,1.1851,,,1/25/23,4:32:51 PM
32,32,20,f2nov20_4m_f3,very low,3793,8457,6.491,12.935,0.963,0.9869,0,0,1.9928,,,1/25/23,4:43:38 PM
33,33,20,f9nov20_4m_f3,very low,6261,5351,10.503,7.694,0.963,0.9869,0,0,0.7326,,,1/25/23,4:54:22 PM
34,34,20,b22aug22_8m_f3,very low,7329,12455,12.24,18.959,0.963,0.9869,0,0,1.5489,,,1/25/23,5:05:09 PM
35,35,20,f22aug22_4m_f3,very low,4475,12351,7.599,18.803,0.963,0.9869,0,0,2.4745,,,1/25/23,5:15:55 PM
36,36,20,f8aug22_8m_f3,very low,11063,36616,18.32,55.395,0.963,0.9869,0,0,3.0237,,,1/25/23,5:26:42 PM
37,37,20,b25jul22_4m_f3,very low,5736,16410,9.65,24.92,0.963,0.9869,0,0,2.5824,,,1/25/23,5:37:30 PM
38,38,20,b11jul22_8m_f3,very low,6232,11567,10.456,17.621,0.963,0.9869,0,0,1.6853,,,1/25/23,5:48:21 PM
39,39,20,b22aug22_4m_f3,very low,7043,15541,11.776,23.61,0.963,0.9869,0,0,2.0049,,,1/25/23,5:59:10 PM
40,40,10.5,aa as unknown,very low,3311,12579,10.87,36.467,0.963,0.9869,0,0,3.355,,,1/25/23,6:09:56 PM
41,41,20,b8aug22_8m_f3,very low,7511,16988,12.536,25.792,0.963,0.9869,0,0,2.0574,,,1/25/23,6:20:49 PM
42,42,20,f8aug22_4m_f3,very low,4575,14084,7.762,21.414,0.963,0.9869,0,0,2.7589,,,1/25/23,6:31:31 PM
43,43,20,f25jul22_8m_f3,very low,6988,21891,11.685,33.183,0.963,0.9869,0,0,2.8397,,,1/25/23,6:42:21 PM
44,44,20,b11jul22_4m_f3,very low,3730,11996,6.387,18.267,0.963,0.9869,0,0,2.8598,,,1/25/23,6:53:09 PM
45,45,20,f22aug22_8m_f3,very low,5249,23542,8.857,35.673,0.963,0.9869,0,0,4.0278,,,1/25/23,7:03:58 PM
46,46,20,b8aug22_4m_f3,very low,4800,14252,8.128,21.666,0.963,0.9869,0,0,2.6657,,,1/25/23,7:14:41 PM
47,47,20,b25jul22_8m_f3,very low,4372,12678,7.431,19.294,0.963,0.9869,0,0,2.5963,,,1/25/23,7:25:24 PM
48,48,20,f25jul22_4m_f3,very low,7634,13613,12.737,20.704,0.963,0.9869,0,0,1.6255,,,1/25/23,7:36:09 PM
49,49,20,f11jul22_8m_f3,very low,6304,13570,10.573,20.639,0.963,0.9869,0,0,1.9521,,,1/25/23,7:46:57 PM
50,50,20,f17oct22_4m_f3,very low,3557,5226,6.106,7.541,0.963,0.9869,0,0,1.2349,,,1/25/23,7:57:43 PM
51,51,10.09,aa as unknown,very low,3349,12059,11.435,36.397,0.963,0.9869,0,0,3.183,,,1/25/23,8:08:31 PM
52,52,20,f11oct22_8m_f3,very low,6821,24639,11.414,37.327,0.963,0.9869,0,0,3.2702,,,1/25/23,8:19:18 PM
53,53,20,f26sep22_4m_f3,very low,5135,15152,8.672,23.024,0.963,0.9869,0,0,2.655,,,1/25/23,8:30:07 PM
54,54,20,f13sep22_8m_f3,very low,3809,12885,6.515,19.607,0.963,0.9869,0,0,3.0093,,,1/25/23,8:40:54 PM
55,55,20,b5sep22_4m_f3,very low,2088,11789,3.72,17.955,0.963,0.9869,0,0,4.8267,,,1/25/23,8:51:43 PM
56,56,20,b11oct22_8m_f3,very low,8459,33038,14.08,49.996,0.963,0.9869,0,0,3.5508,,,1/25/23,9:02:26 PM
57,57,20,f11oct22_4m_f3,very low,4859,12444,8.222,18.943,0.963,0.9869,0,0,2.3038,,,1/25/23,9:13:05 PM
58,58,20,b19sep22_8m_f3,very low,3856,13926,6.592,21.175,0.963,0.9869,0,0,3.2122,,,1/25/23,9:23:45 PM
60,60,20,f5sep22_8m_f3,very low,8129,20373,13.542,30.895,0.963,0.9869,0,0,2.2814,,,1/25/23,9:45:06 PM
61,61,20,b11oct22_4m_f3,very low,4801,21639,8.129,32.803,0.963,0.9869,0,0,4.0355,,,1/25/23,9:55:50 PM
62,62,10.02,aa as unknown,very low,3171,11997,10.936,36.465,0.963,0.9869,0,0,3.3344,,,1/25/23,10:06:33 PM
63,63,20,f26sep22_8m_f3,very low,5846,20363,9.828,30.88,0.963,0.9869,0,0,3.142,,,1/25/23,10:17:14 PM
64,64,20,b19sep22_4m_f3,very low,6884,10088,11.517,15.392,0.963,0.9869,0,0,1.3365,,,1/25/23,10:27:50 PM
65,65,20,b5sep22_8m_f3,very low,6808,17399,11.392,26.411,0.963,0.9869,0,0,2.3183,,,1/25/23,10:38:32 PM
66,66,20,f5sep22_4m_f3,very low,4110,13431,7.006,20.429,0.963,0.9869,0,0,2.9161,,,1/25/23,10:49:08 PM
67,67,20,b28nov22_8m_f3,very low,5945,7513,9.989,11.512,0.963,0.9869,0,0,1.1525,,,1/25/23,10:59:44 PM
68,68,20,f28nov22_4m_f3,very low,7061,18298,11.804,27.766,0.963,0.9869,0,0,2.3523,,,1/25/23,11:10:21 PM
69,69,20,f16nov22_8m_f3,very low,7999,29394,13.331,44.5,0.963,0.9869,0,0,3.3381,,,1/25/23,11:21:18 PM
70,70,608.9,internal reference zzyzx,very low,346,4851,0.021,0.232,0.963,0.9869,0,0,11.3033,,,1/25/23,11:32:05 PM
