"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_DateTime","Flag_NH4","Flag_PO4","Flag_NO3NO2","SRP_ugL","Flag_SRP"
"47","BVR",50,2022-06-20 12:15:00,3,1,"9/21/22",23,6.6,4,"","B50 20jun 3.0",0,0,0,0,7,0
"48","BVR",50,2022-06-20 12:30:00,6,1,"9/21/22",514,14.2,5,"","B50 20jun 6.0",0,0,0,0,14,0
"49","BVR",50,2022-06-20 12:40:00,8,1,"9/21/22",663,26.7,7,"","B50 20jun 8.0",0,0,0,0,27,0
"50","BVR",50,2022-06-27 10:31:00,0.1,1,"9/21/22",34,10.9,5,"","B50 27jun 0.1",0,0,0,0,11,0
"51","BVR",50,2022-06-27 10:41:00,3,1,"9/21/22",78,12.6,6,"3m","B50 27jun 5.0",0,0,0,0,13,0
"52","BVR",50,2022-06-27 10:52:00,6,1,"9/21/22",582,8.9,9,"","B50 27jun 6.0",0,0,0,0,9,0
"53","BVR",50,2022-06-27 11:05:00,8,1,"9/21/22",1050,20.4,7,"","B50 27jun 8.0",0,0,0,0,20,0
"54","BVR",50,2022-07-05 11:59:00,0.1,1,"9/21/22",19,8,2,"5-Jul","B50 05jun 0.1",0,0,0,3,8,0
"55","BVR",50,2022-07-05 12:10:00,3,1,"9/21/22",119,6.7,4,"","B50 05jul 3.0",0,0,0,3,7,0
"56","BVR",50,2022-07-05 12:20:00,6,1,"9/21/22",871,27,6,"","B50 05jul 6.0",0,0,0,0,27,0
"57","BVR",50,2022-07-05 12:30:00,8,1,"9/21/22",1500,26.6,10,"","B50 05jul 8.0",0,0,0,0,27,0
"58","BVR",50,2022-07-11 11:05:00,0.1,1,"9/21/22",229,4.7,8,"","B50 11jul 0.1",0,0,0,0,5,0
"59","BVR",50,2022-07-11 11:20:00,3,1,"9/21/22",121,4,8,"","B50 11jul 3.0",0,0,0,0,4,0
"60","BVR",50,2022-07-11 11:31:00,6,1,"9/21/22",802,34.9,8,"","B50 11jul 6.0",0,0,0,0,35,0
"61","BVR",50,2022-07-11 11:40:00,8,1,"9/21/22",1390,19.5,6,"","B50 11jul 8.0",0,0,0,0,20,0
"62","BVR",40,2022-07-18 10:23:00,0.1,1,"8/10/22",263,8.8,10,"","B40 18jul22 0.1",0,0,0,0,9,0
"63","BVR",40,2022-07-18 10:38:00,3,1,"8/10/22",227,11,8,"","B40 18jul22 3.0",0,0,0,0,11,0
"64","BVR",50,2022-07-18 11:06:00,0.1,1,"8/10/22",261,4.8,9,"","B50 18jul22 0.1",0,0,0,0,5,0
"65","BVR",50,2022-07-18 11:31:00,3,1,"8/10/22",92,6.6,4,"","B50 18jul22 3.0",0,0,0,0,7,0
"66","BVR",50,2022-07-18 11:46:00,6,1,"8/10/22",812,16.6,3,"","B50 18jul22 6.0",0,0,0,3,17,0
"67","BVR",50,2022-07-18 11:54:00,8,1,"8/10/22",1650,10.2,3,"","B50 18jul22 8.0",0,0,0,3,10,0
"68","BVR",50,2022-07-25 10:01:00,0.1,1,"8/10/22",141,6.5,10,"","B50 25jul22 0.1",0,0,0,0,6,0
"69","BVR",50,2022-07-25 10:05:00,3,1,"8/10/22",66,6.3,7,"","B50 25jul22 3.0",0,0,0,0,6,0
"70","BVR",50,2022-07-25 10:14:00,6,1,"8/10/22",1230,12.4,3,"","B50 25jul22 6.0",0,0,0,3,12,0
"71","BVR",50,2022-07-25 10:33:00,8,1,"8/10/22",1870,13.1,4,"","B50 25jul22 8.0",0,0,0,0,13,0
"72","BVR",50,2022-08-01 10:28:00,0.1,1,"10/5/22",23,6.06,12,"","b50 01aug 0.1",0,0,0,0,6,0
"73","BVR",50,2022-08-01 10:30:00,3,1,"11/9/22",20,10.9,8,"","b50 01aug 3.0",0,0,0,0,11,0
"74","BVR",50,2022-08-01 10:48:00,6,1,"11/9/22",861,8.6,6,"","b50 01aug 6.0",0,0,0,0,9,0
"75","BVR",50,2022-08-01 10:58:00,8,1,"11/9/22",1760,13.2,5,"","b50 01aug 8.0",0,0,0,0,13,0
"76","BVR",50,2022-08-08 10:00:00,0.1,1,"8/10/22",5,5.3,0,"","B50 08aug22 0.1",0,0,0,3,5,0
"77","BVR",50,2022-08-08 10:08:00,3,1,"8/10/22",0,8.8,0,"","B50 08aug22 3.0",0,3,0,3,9,0
"78","BVR",50,2022-08-08 10:16:00,6,1,"8/10/22",944,42.9,5,"","B50 08aug22 6.0",0,0,0,0,43,0
"79","BVR",50,2022-08-08 10:24:00,8,1,"3/24/23",1490,16.1,0,"","B50 8aug22 8m",0,0,0,3,16,0
"80","BVR",50,2022-08-18 10:12:00,0.1,1,"10/5/22",10,7.56,3,"","b50 18aug 0.1",0,0,0,3,8,0
"81","BVR",50,2022-08-18 10:18:00,3,1,"10/5/22",25,5.65,3,"","b50 18aug 3.0",0,0,0,3,6,0
"82","BVR",50,2022-08-18 10:35:00,6,1,"10/5/22",1100,44.6,12,"","b50 18aug 6.0",0,0,0,0,45,0
"83","BVR",50,2022-08-18 10:47:00,7,1,"10/5/22",2120,22.1,7,"","b50 18aug 7.0",0,0,0,0,22,0
"84","BVR",50,2022-08-22 10:30:00,0.1,1,"10/5/22",17,5.85,2,"","b50 22aug 0.1",0,0,0,3,6,0
"85","BVR",50,2022-08-22 10:39:00,3,1,"10/5/22",16,7.31,3,"","b50 22aug 3.0",0,0,0,3,7,0
"86","BVR",50,2022-08-22 11:00:00,6,1,"10/5/22",1460,14.1,4,"","b50 22aug 6.0",0,0,0,3,14,0
"87","BVR",50,2022-08-22 11:14:00,7,1,"10/5/22",2020,10.1,2,"","b50 22aug 7.0",0,0,0,3,10,0
"88","BVR",50,2022-09-05 10:15:00,0.1,1,"11/9/22",36,4.7,5,"","b50 05sep 0.1",0,0,0,0,5,0
"89","BVR",50,2022-09-05 10:22:00,3,1,"10/5/22",56,6.34,4,"","b50 05sep 3.0",0,0,0,0,6,0
"90","BVR",50,2022-09-05 10:25:00,6,1,"10/5/22",1330,17,7,"","b50 05sep 6.0",0,0,0,0,17,0
"91","BVR",50,2022-09-05 10:30:00,7,1,"9/21/22",3030,17.9,6,"","B50 05sep 7.0",0,0,0,0,18,0
"92","BVR",50,2022-09-19 10:02:00,0.1,1,"11/9/22",6,3.9,0,"","b50 19sep 0.1",0,0,0,43,4,0
"93","BVR",50,2022-09-19 10:07:00,3,1,"11/9/22",41,3.1,2,"","b50 19sep 3.0",0,0,0,3,3,0
"94","BVR",50,2022-09-19 10:12:00,6,1,"11/9/22",1700,54.8,10,"","b50 19sep 6.0",0,0,0,0,55,0
"95","BVR",50,2022-09-19 10:20:00,7,1,"11/9/22",3160,19.5,9,"","b50 19sep 7.0",0,0,0,0,20,0
"96","BVR",50,2022-10-11 11:00:00,0.1,1,"11/9/22",205,3.4,14,"","b50 11oct 0.1",0,0,0,0,3,0
"97","BVR",50,2022-10-11 11:10:00,3,1,"11/9/22",182,4.5,14,"","b50 11oct 3.0",0,0,0,0,4,0
"98","BVR",50,2022-10-11 11:15:00,6,1,"11/9/22",581,9.2,9,"","b50 11oct 6.0",0,0,0,0,9,0
"99","BVR",50,2022-10-11 11:26:00,7,1,"11/9/22",1510,70.7,21,"","b50 11oct 7.0",0,0,0,0,71,0
