Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
BVR,50,6/7/22 11:13,0.1,1,9/8/22,11.4,7.5,0.3,,B50 07jun 0.1
BVR,50,6/7/22 11:26,3,1,9/8/22,11,5.4,3.1,,B50 07jun 3.0
BVR,50,6/7/22 11:48,9,1,9/8/22,784,35.7,12.5,,B50 07jun 9.0
BVR,50,5/9/22 11:48,3,1,9/8/22,11.1,3.2,-1.1,,B50 09may 3.0
BVR,50,5/9/22 12:00,6,1,9/8/22,7.3,2.4,1.7,Flag_DateTime,B50 09may 6.0
BVR,50,5/17/22 12:50,3,1,9/8/22,8,3.1,2.3,17-May,B50 12may 3.0
BVR,50,6/13/22 12:00,0.1,1,9/8/22,5.4,6.8,3,Flag_DateTime,B50 13jun 0.1
BVR,50,6/13/22 12:18,6,1,9/8/22,296,7.9,1.4,,B50 13jun 6.0
BVR,50,6/13/22 12:37,8,1,9/8/22,906,43.4,11.4,,B50 13jun 8.0
BVR,50,5/17/22 12:25,0.1,1,9/8/22,5.4,5.6,-0.6,,B50 17may 0.1
BVR,50,5/17/22 13:15,6,1,9/8/22,12.7,4,1.8,,B50 17may 6.0
BVR,50,5/23/22 11:50,0.1,1,9/8/22,6,3.2,2.2,,B50 23may 0.1
BVR,50,5/31/22 12:00,0.1,1,9/8/22,41.4,8,8.4,Flag_DateTime,B50 31may 0.1
BVR,50,5/31/22 12:20,1.6,1,9/8/22,24.5,7.6,5.4,,B50 31may 1.6
BVR,50,5/31/22 12:27,3,1,9/8/22,11.4,9.6,1.8,,B50 31may 3.0
BVR,50,5/31/22 12:46,6,1,9/8/22,10,3,1,,B50 31may 6.0
BVR,50,5/31/22 12:36,9,1,9/8/22,613,49.9,17.9,,B50 31may 9.0
BVR,50,5/23/22 12:28,9,1,9/8/22,388,12.2,1.5,,B600 23may 9.0
CCR,50,4/20/22 10:30,21,1,9/8/22,33.1,3.3,27.8,,C 20apr 21.0
CCR,100,4/20/22 12:00,0.1,1,9/8/22,7.2,2.9,17.3,Flag_DateTime,C 20apr HPB
CCR,50,2/28/22 10:31,0.1,1,9/8/22,6.7,1.3,72.4,,C 28feb 0.1
CCR,50,2/28/22 10:40,1.5,1,9/8/22,10.9,1.8,67.8,,C 28feb 1.5
CCR,50,2/28/22 11:15,20,1,9/8/22,8.6,2.2,73.3,20m,C 28feb 21.0
CCR,50,2/28/22 10:50,6,1,9/8/22,7.4,1.3,61.4,,C 28feb 6.0
CCR,50,2/28/22 11:00,9,1,9/8/22,7.2,1.2,70.1,,C 28feb 9.0
CCR,500,2/28/22 12:00,0.1,1,9/8/22,12,4.9,89.1,Flag_DateTime,C 28feb CCT 0.1
