ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/19/2022 - 5,0.4,"2,871.4","1,121.2",13.9,"4,566.6",33.2,0.7,-1.3,"1,260.9","2,674.8",0.4,0.1,-0.3,696.4,459.1,0.5,-1.2,-0.2,0.4,-0.1,-0.7,19.4,-0.4,0.0,0.0,-0.1,38.3,0.1,0.0
09/19/2022 - 6,0.4,"2,964.8","1,124.5",6.4,"4,490.6",1.6,0.7,-1.2,"1,264.5","2,697.9",0.2,-0.1,-0.3,57.1,356.7,0.3,-1.2,-0.4,16.2,-0.1,-0.7,19.3,-0.4,0.0,0.0,-0.3,34.5,0.1,0.0
09/19/2022 - 7,0.3,"2,975.5","1,220.8",13.0,"7,348.5",38.5,0.5,-1.4,"1,361.2","3,367.9",0.7,0.1,-0.3,"6,742.2","1,272.6",2.5,-1.2,-0.1,0.6,0.0,-0.7,23.6,-0.4,0.0,0.0,0.2,77.4,0.1,0.0
09/19/2022 - 8,0.3,"3,015.8","1,225.7",4.7,"7,185.4",0.2,0.4,-1.4,"1,356.1","3,364.1",0.4,0.0,-0.4,"4,776.1","1,237.6",2.4,-1.2,-0.8,13.0,-0.1,-0.8,23.7,-0.5,0.0,0.0,-0.3,76.5,0.1,0.0
09/19/2022 - 9,0.3,"2,938.2","1,217.9",9.1,"7,487.9",32.6,0.4,-1.5,"1,326.3","3,282.7",0.6,0.0,-0.3,"6,205.3","1,182.5",2.2,-1.2,-0.3,-0.2,0.0,-0.8,23.3,-0.5,0.0,0.0,-0.4,69.9,0.1,0.0
09/19/2022 - 10,0.3,"2,940.8","1,210.4",5.1,"7,262.2",-0.5,0.1,-1.4,"1,345.6","3,280.4",0.4,-0.1,-0.4,"1,102.6","1,174.5",2.1,-1.2,-0.3,13.1,-0.1,-1.0,23.3,-0.5,0.0,0.1,-0.5,69.4,0.1,0.0
09/19/2022 - 11,0.3,"2,975.0","1,242.4",7.6,"7,756.5",39.8,0.2,-1.5,"1,316.9","3,369.0",0.6,0.0,-0.4,"5,387.9","1,306.6",2.4,-1.2,-0.6,0.2,0.0,-0.8,23.9,-0.5,0.0,0.0,-0.5,69.4,0.0,0.0
09/19/2022 - 12,0.4,"2,986.2","1,230.6",5.2,"7,491.7",-0.4,0.1,-1.5,"1,327.8","3,323.5",0.5,-0.1,-0.4,140.2,"1,284.2",2.3,-1.2,-0.6,21.0,-0.1,-0.7,23.6,-0.3,0.0,0.0,0.2,72.7,0.1,0.0
09/19/2022 - 13,0.3,"2,980.0","1,249.2",7.6,"7,989.4",32.7,0.2,-1.5,"1,303.7","3,348.0",0.6,0.0,-0.4,"5,819.9","1,237.3",2.3,-1.2,-0.6,-0.3,0.0,-0.8,23.9,-0.4,0.0,0.0,0.1,67.6,0.1,0.0
09/19/2022 - 14,0.3,"2,971.8","1,243.2",5.1,"7,701.0",-0.8,0.1,-1.5,"1,304.0","3,340.6",0.4,-0.1,-0.4,136.2,"1,237.6",2.1,-1.2,-0.9,25.8,-0.1,-0.8,23.9,-0.4,0.0,0.0,-0.4,67.0,0.0,0.0
