ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),112Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2022 - 37,1.2,1570.7,3256.2,74.1,1804.8,9.1,6.1,1.4,1086.9,11959.5,-0.2,-0.1,0.1,119.9,65.8,0.1,0.7,0.6,4.6,0.3,-0.4,50.4,1,0,0,0.1,57.8,0.2,0.1
11/17/2022 - 38,1.1,1587,3229.6,14.7,1690,-0.3,6.5,1.3,1072.1,11796.3,0.7,-0.2,0.1,30.3,3.8,0,0.6,0.7,11.2,0.2,-0.4,50.6,0.9,0,0,0,55.5,0.1,0.1
11/17/2022 - 51,1.1,1595.5,3261.2,55.9,1770.7,5.3,6.9,1.3,1092.7,12009.6,0.7,-0.1,0.1,95.7,65.9,0.1,0.8,1.2,9.7,0.3,-0.5,50.9,0.8,0,0,0,57.9,0.2,0.1
11/17/2022 - 52,1.1,1616.2,3292.9,14.8,1729,0.1,6.9,1.3,1085.7,12046.6,0.6,-0.2,0.1,30.8,4.3,0,0.6,0.5,9,0.2,-0.5,51.2,0.9,0,0,0,55.7,0.1,0.1
11/17/2022 - 53,1.1,1578.6,3240,71.9,1852.3,10.1,6.8,1.2,1077.3,11866.8,1.2,-0.1,0.2,131.1,68.3,0.1,0.7,0.8,5.7,0.2,-0.5,50.1,0.8,0,0,0,57.3,0.2,0.1
11/17/2022 - 54,1,1591.4,3238.3,15.5,1717.3,0.1,6.8,1.2,1064.6,11851.1,0.5,-0.3,0.1,30.8,3.8,0,0.7,0.7,15.8,0.2,-0.5,50.3,0.8,0,0,0,55.7,0.1,0.1
11/17/2022 - 43,1.1,1620,3329.7,61.3,1782.2,8,6.9,1.2,1110.6,12178,1,-0.2,0.1,128.6,70.8,0.1,0.8,0.9,17,0.2,-0.5,51.8,0.8,0,0,0,59.5,0.3,0.1
11/17/2022 - 44,1,1599.8,3229.9,14.9,1713.9,0.1,6.9,1.2,1082,11947.6,0.5,-0.3,0.1,28.3,3.4,0,0.6,0.9,9.3,0.2,-0.6,50.9,0.8,0,0,0,55.7,0.1,0
11/17/2022 - 48,1,1565.1,3258.1,19,1808.5,0.1,6.8,1.2,1081.5,11966.5,0.6,-0.3,0.1,35.3,31.3,0,0.7,0.5,10.4,0.2,-0.6,50.8,0.8,0,0,0,55.6,0.1,0.1
