ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05/23/22 - 1,0.5,"3,065.3","1,076.6",15.8,"7,562.3",9.4,0.8,1.1,998.9,"2,416.0",1.0,0.2,0.1,316.3,17.4,0.1,0.0,0.5,-0.2,0.1,0.0,15.4,0.2,0.0,0.0,-0.3,13.0,0.1,0.0
05/23/22 - 2,0.4,"3,092.0","1,062.4",13.4,"7,656.9",-0.2,0.7,0.9,990.3,"2,365.2",0.7,0.2,0.1,157.4,1.7,0.0,0.0,0.3,5.8,0.1,0.0,15.0,0.1,0.0,0.0,-0.3,13.9,0.1,0.0
05/23/22 - 3,0.4,"3,054.2","1,080.0",16.7,"7,578.7",9.2,0.6,0.8,979.3,"2,405.4",0.8,0.2,0.1,347.5,18.6,0.1,-0.1,0.4,-0.6,0.1,0.2,15.4,0.1,0.0,0.0,-0.4,13.1,0.1,0.0
05/23/22 - 4,0.4,"3,041.9","1,053.8",9.7,"7,666.4",-0.4,0.5,0.8,960.3,"2,370.4",0.6,0.1,0.2,142.2,0.6,0.0,0.0,0.2,-0.3,0.1,0.2,15.2,0.1,0.0,0.0,-0.5,11.1,0.0,0.0
05/23/22 - 5,0.4,"3,075.6","1,088.9",16.9,"7,600.6",10.4,0.7,0.8,959.7,"2,470.3",0.8,0.2,0.1,391.3,26.1,0.1,0.0,0.8,-0.1,0.1,0.0,15.8,0.1,0.0,0.0,-0.5,14.9,0.1,0.0
05/23/22 - 6,0.3,"3,052.7","1,063.2",13.0,"7,573.6",-1.0,0.5,0.7,915.2,"2,391.5",0.6,0.1,0.1,132.6,0.5,0.0,-0.1,0.3,-0.3,0.1,0.0,15.4,0.0,0.0,0.0,-0.5,12.6,0.0,0.0
05/23/22 - 7,0.3,"3,023.2","1,110.6",14.9,"7,463.6",19.2,0.6,0.8,994.7,"2,575.0",0.7,0.1,0.1,503.9,76.5,0.1,0.0,1.0,0.1,0.1,0.0,16.5,0.0,0.0,0.0,-0.5,20.1,0.1,0.0
05/23/22 - 8,0.3,"3,018.5","1,087.9",11.3,"7,454.5",0.4,0.5,0.8,958.2,"2,513.7",0.6,0.1,0.1,56.9,15.9,0.0,0.0,0.2,12.1,0.1,0.0,16.1,0.0,0.0,0.0,-0.4,17.9,0.1,0.0
