ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/03/2022 - 1,0.5,"2,938.5","1,142.1",22.4,"5,009.3",16.6,0.8,1.5,"1,325.9","2,771.5",1.4,0.0,0.0,766.1,159.7,0.3,0.1,0.9,4.4,0.2,0.1,18.2,0.4,0.0,0.0,3.5,31.6,0.1,0.1
10/03/2022 - 2,0.4,"2,870.1","1,111.5",6.9,"4,862.1",-0.2,0.7,1.2,"1,291.3","2,716.4",0.9,-0.1,0.0,66.0,7.5,0.0,0.0,0.3,8.3,0.1,0.0,18.0,0.2,0.0,0.0,3.1,28.1,0.0,0.0
10/03/2022 - 3,0.3,"2,895.7","1,134.4",21.0,"4,918.4",23.5,0.9,1.1,"1,318.7","2,773.0",1.2,0.0,0.0,786.4,173.1,0.3,0.1,0.8,3.1,0.1,0.1,18.2,0.2,0.0,0.0,3.1,31.5,0.1,0.0
10/03/2022 - 4,0.3,"2,864.8","1,118.3",7.2,"4,862.4",-0.2,0.9,1.0,"1,296.8","2,702.0",0.8,-0.1,0.0,64.0,14.5,0.0,0.1,0.7,8.2,0.1,0.0,17.8,0.1,0.0,0.0,2.8,27.0,0.0,0.0
10/03/2022 - 5,0.3,"2,898.2","1,136.0",21.5,"4,993.9",18.9,1.0,1.0,"1,314.9","2,780.9",1.1,0.0,0.1,794.6,165.7,0.3,0.1,0.8,3.6,0.1,0.2,18.2,0.1,0.0,0.0,3.0,31.3,0.1,0.0
10/03/2022 - 6,0.3,"2,891.2","1,126.3",9.2,"4,913.3",0.6,1.0,1.0,"1,304.0","2,741.0",0.8,-0.1,0.1,77.3,7.4,0.0,0.1,0.6,17.6,0.1,0.1,17.9,0.0,0.0,0.0,2.7,27.9,0.1,0.0
10/03/2022 - 7,0.3,"2,859.3","1,125.2",21.0,"4,931.7",15.9,0.9,0.9,"1,291.4","2,746.2",1.2,0.0,0.0,794.4,166.6,0.4,0.1,0.8,2.9,0.1,0.0,18.0,0.0,0.0,0.0,2.6,31.3,0.1,0.0
10/03/2022 - 8,0.3,"2,851.7","1,114.9",7.3,"4,880.1",0.4,0.9,0.9,"1,280.4","2,705.3",0.8,-0.1,0.1,63.6,14.1,0.0,0.1,0.4,13.0,0.1,0.2,17.9,0.0,0.0,0.0,2.6,27.8,0.0,0.0
