ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/27/2022 - 1,0.3,"2,482.1",867.0,18.4,"6,750.9",19.2,1.0,0.4,"1,229.0","1,864.9",0.8,0.2,0.1,549.8,25.9,0.2,0.1,0.6,1.5,0.1,-0.2,13.0,0.0,0.0,0.0,0.4,16.0,0.2,0.0
06/27/2022 - 2,0.3,"2,441.4",826.7,14.2,"6,701.8",2.9,1.0,0.3,"1,123.0","1,737.7",0.6,0.2,0.1,379.9,11.3,0.1,0.0,0.4,3.0,0.1,-0.2,12.1,-0.1,0.0,0.0,0.2,14.9,0.1,0.0
06/27/2022 - 3,0.3,"2,463.5",878.4,15.0,"6,745.0",16.0,0.6,0.3,"1,187.2","1,937.7",0.8,0.2,0.1,699.7,23.0,0.1,0.1,0.8,2.7,0.1,0.0,13.5,0.0,0.0,0.0,0.4,17.5,0.1,0.0
06/27/2022 - 4,0.3,"2,451.0",854.2,11.3,"6,812.6",2.3,0.5,0.3,"1,132.7","1,850.5",0.7,0.2,0.1,343.4,6.8,0.1,0.0,0.4,2.9,0.1,-0.1,12.9,0.0,0.0,0.0,0.2,15.7,0.1,0.0
06/27/2022 - 5,0.3,"2,923.2","1,114.4",11.3,"7,416.9",18.4,0.6,0.4,"1,113.6","2,639.1",0.8,0.1,0.1,"2,128.2",372.9,0.7,0.1,1.2,1.8,0.1,0.0,18.2,0.0,0.0,0.0,0.2,40.3,0.1,0.0
06/27/2022 - 6,0.3,"2,965.6","1,122.1",6.3,"7,418.2",6.3,0.4,0.5,"1,171.2","2,657.8",-1.6,0.0,0.1,"1,716.4",371.4,0.7,-0.2,0.9,15.3,0.1,0.0,18.2,0.0,0.0,0.0,0.1,38.4,0.2,0.0
06/27/2022 - 7,0.3,"2,935.6","1,143.7",8.0,"7,442.0",26.4,0.3,0.3,"1,122.0","2,751.5",0.8,0.0,0.1,"3,388.6",659.2,1.1,0.1,1.2,1.9,0.1,0.1,18.6,0.0,0.0,0.0,0.1,42.2,0.1,0.0
06/27/2022 - 8,0.3,"2,928.6","1,139.9",3.4,"7,480.7",7.3,0.3,0.4,"1,119.2","2,683.8",0.6,0.0,0.1,"2,593.6",573.5,0.9,0.1,0.2,28.0,0.1,0.1,18.4,0.0,0.0,0.0,0.0,39.5,0.0,0.0
