ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/18/2022 - 1,0.5,"2,607.7",987.1,18.5,"4,529.4",14.1,0.1,1.0,"1,183.0","2,222.2",0.8,0.2,-0.1,288.1,15.6,0.1,-0.3,0.7,3.5,0.2,0.2,15.2,0.5,0.0,0.0,0.6,23.9,0.1,0.0
08/18/2022 - 2,0.4,"2,668.3",981.2,7.1,"4,558.0",2.1,0.2,0.8,"1,204.0","2,234.2",0.9,0.1,-0.1,145.5,7.8,0.0,-0.2,2.0,21.6,0.2,0.2,15.2,0.4,0.0,0.0,0.4,25.6,0.1,0.0
08/18/2022 - 3,0.4,"2,645.9",989.9,15.0,"4,617.4",14.8,0.2,0.7,"1,190.1","2,216.7",0.9,0.2,0.0,292.3,12.7,0.1,-0.3,0.6,1.7,0.2,0.1,15.5,0.3,0.0,0.0,0.3,24.1,0.1,0.0
08/18/2022 - 4,0.4,"2,641.7",989.1,15.6,"4,598.8",1.8,0.2,1.1,"1,193.8","2,214.7",0.7,0.2,0.0,143.7,4.3,0.0,-0.3,0.5,258.1,0.2,0.1,16.6,0.2,0.0,0.0,0.2,23.7,0.1,0.0
08/18/2022 - 5,0.4,"2,978.1","1,171.7",24.4,"6,516.9",47.3,0.3,0.9,"1,318.7","3,017.6",0.2,0.1,0.0,"1,466.6",846.9,1.6,-0.3,0.4,2.0,0.2,0.2,20.9,0.2,0.0,0.0,0.1,67.3,0.1,0.0
08/18/2022 - 6,0.4,"3,037.7","1,204.8",3.7,"6,386.7",1.7,0.3,1.2,"1,335.6","3,097.8",0.7,0.0,-0.1,654.4,851.9,1.6,-0.3,0.7,38.2,0.1,0.1,20.6,3.4,0.0,0.0,0.0,64.6,0.1,0.0
08/18/2022 - 7,0.3,"2,989.3","1,196.0",12.4,"7,213.3",30.4,0.1,0.8,"1,295.5","3,096.1",1.0,0.2,0.0,"5,262.3",849.8,1.5,-0.3,0.6,1.6,0.2,0.2,21.4,0.9,0.0,0.0,0.1,61.3,0.1,0.0
08/18/2022 - 8,0.4,"2,968.2","1,177.6",4.2,"7,046.7",0.7,-0.1,1.1,"1,265.9","3,049.2",0.8,0.2,0.0,"4,376.0",841.4,1.5,-0.1,0.0,282.4,0.2,0.1,21.4,0.4,0.0,0.0,0.0,60.7,0.0,0.0
