ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/12/2022 - 23,0.2,"2,017.4",673.8,34.0,"5,718.1",9.5,-0.3,-0.5,"1,188.2","1,550.0",0.8,0.1,0.1,424.9,56.0,0.1,0.1,0.3,1.5,0.0,1.4,10.1,1.8,0.0,0.0,0.7,17.9,0.2,0.0
04/12/2022 - 24,0.2,"2,098.1",669.9,17.2,"5,669.3",0.8,-0.3,-0.4,"1,199.1","1,519.8",0.5,0.0,0.1,39.3,10.2,0.0,0.1,0.5,10.2,0.0,1.5,10.0,1.8,0.0,0.0,1.3,17.8,0.4,0.0
04/12/2022 - 25,0.2,"2,042.7",687.3,27.8,"5,743.7",10.3,-0.4,-0.5,"1,206.9","1,553.6",0.8,0.1,0.1,"1,135.4",159.8,0.4,0.1,0.2,2.2,0.0,1.3,10.4,1.8,0.0,0.0,0.7,22.6,0.3,0.0
04/12/2022 - 26,0.2,"2,053.6",683.7,12.4,"5,715.3",-0.7,-0.4,-0.4,"1,207.7","1,565.1",0.4,0.0,0.1,114.0,139.5,0.3,0.1,0.2,4.7,0.0,1.3,10.3,1.8,0.0,0.0,0.6,22.2,0.2,0.0
04/19/2022 - 1,0.4,"2,868.6",990.1,32.4,"6,583.3",14.3,0.1,-0.5,935.9,"2,374.0",0.9,0.1,0.1,391.4,24.7,0.1,0.1,1.5,4.4,-0.1,1.4,14.9,1.8,0.0,0.0,1.3,14.4,0.4,0.0
04/19/2022 - 2,0.4,"2,922.5","1,008.9",15.2,"6,787.0",-0.1,0.2,-0.5,958.3,"2,432.7",0.5,0.0,0.3,77.1,1.8,0.0,0.2,1.2,20.2,-0.1,1.5,15.1,1.7,0.0,0.0,0.3,14.1,0.2,0.0
04/19/2022 - 3,0.4,"2,918.8","1,018.8",26.4,"6,855.8",10.7,0.1,-0.5,967.4,"2,451.7",0.8,0.1,0.1,388.7,25.4,0.1,0.1,1.5,3.2,-0.1,1.4,15.3,1.7,0.0,0.0,0.3,14.7,0.2,0.0
04/19/2022 - 4,0.4,"2,803.7",951.0,17.2,"6,453.1",3.8,0.0,-0.5,927.7,"2,302.0",0.7,0.1,0.1,85.1,3.0,0.0,0.1,1.9,16.3,0.1,1.8,14.3,2.4,0.0,0.0,3.6,13.8,0.5,0.0
04/19/2022 - 5,0.4,"2,910.9","1,014.4",29.3,"6,748.8",14.1,0.3,-0.5,982.7,"2,457.8",0.9,0.1,0.1,425.2,32.3,0.1,0.1,1.7,2.3,0.0,1.6,15.3,1.9,0.0,0.0,0.9,15.6,0.3,0.0
04/19/2022 - 6,0.4,"2,888.1","1,003.4",16.1,"6,691.5",0.1,0.1,-0.5,969.9,"2,409.2",0.5,0.0,0.1,71.7,1.5,0.0,0.1,1.3,8.3,-0.1,1.4,15.0,1.9,0.0,0.0,0.7,14.9,0.2,0.0
04/19/2022 - 7,0.4,"2,879.2","1,009.3",32.7,"6,724.9",13.7,0.1,-0.5,"1,002.5","2,476.1",0.9,0.1,0.1,435.2,40.2,0.1,0.1,1.9,4.3,-0.1,1.6,15.5,1.8,0.0,0.0,0.6,16.5,0.3,0.0
04/19/2022 - 8,0.3,"2,836.9",978.9,17.1,"6,527.7",2.8,0.1,-0.5,972.8,"2,359.0",0.5,0.0,0.1,77.9,1.5,0.0,0.9,1.5,9.9,-0.1,1.4,14.7,1.9,0.0,0.0,1.4,15.3,0.4,0.0
04/19/2022 - 9,0.4,"2,922.6","1,021.6",42.3,"6,761.7",12.8,0.2,-0.5,"1,040.7","2,544.5",0.9,0.1,0.1,446.1,52.2,0.1,0.1,2.0,3.5,-0.1,1.4,15.6,1.8,0.0,0.0,0.4,17.3,0.3,0.0
04/19/2022 - 10,0.4,"2,902.0","1,018.8",17.8,"6,744.1",0.3,0.1,-0.5,"1,030.8","2,482.5",0.5,0.0,0.1,72.6,1.4,0.0,0.1,1.3,11.1,-0.1,1.6,15.4,1.7,0.0,0.0,0.3,17.5,0.2,0.0
04/19/2022 - 11,0.4,"2,893.1","1,018.8",27.3,"6,704.1",14.2,0.1,-0.5,"1,053.4","2,522.7",0.8,0.1,0.1,551.5,81.9,0.2,0.1,2.1,2.6,-0.1,1.4,15.6,1.8,0.0,0.0,0.5,18.3,0.3,0.0
