ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy/Gavin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/05/2022 - 1,0.3,"2,451.6",868.0,37.7,"6,941.0",23.7,0.5,-0.3,"1,289.4","1,938.3",-0.7,0.3,0.1,633.3,30.9,0.2,0.1,0.8,2.0,0.1,0.9,12.7,0.1,0.0,0.0,0.0,16.7,0.1,0.0
07/05/2022 - 2,0.3,"2,472.5",802.8,25.9,"6,891.5",5.7,0.4,-0.4,"1,193.8","1,730.8",1.2,0.3,0.1,533.4,20.1,0.2,0.1,1.4,5.6,0.1,0.5,11.6,0.0,0.0,0.0,-0.1,14.9,0.1,0.0
07/05/2022 - 3,0.3,"2,496.3",919.8,33.7,"6,968.6",22.5,0.5,-0.4,"1,216.7","2,032.2",-1.4,0.1,0.1,756.2,82.6,0.2,0.1,0.7,2.9,0.1,-0.1,13.6,0.0,0.0,0.0,0.0,24.8,0.2,0.0
07/05/2022 - 4,0.3,"2,516.8",928.1,14.0,"6,957.9",4.0,0.3,-0.4,"1,233.4","2,060.2",1.1,0.1,0.0,364.7,68.2,0.2,0.1,0.9,15.7,0.1,-0.2,13.6,-0.1,0.0,0.0,-0.1,24.0,0.1,0.0
07/05/2022 - 5,0.3,"2,876.7","1,104.8",22.6,"7,433.8",28.0,0.3,-0.4,"1,227.3","2,844.5",0.8,0.1,0.0,"2,618.9",443.6,0.8,0.1,1.1,6.2,0.1,-0.4,18.4,-0.1,0.0,0.0,-0.1,45.5,0.1,0.0
07/05/2022 - 6,0.3,"2,896.9","1,095.4",18.5,"7,451.5",6.5,0.3,-0.4,"1,235.7","2,773.0",1.2,0.0,0.0,"1,963.2",420.3,0.8,0.2,0.4,52.9,0.1,-0.6,18.2,0.0,0.0,0.0,0.3,44.8,0.2,0.0
07/05/2022 - 7,0.3,"2,920.2","1,168.9",8.0,"7,339.5",34.8,0.3,-0.6,"1,145.8","2,900.8",1.2,-0.1,0.0,"3,161.1",879.6,1.4,0.2,0.9,3.3,0.1,-0.8,19.1,-0.1,0.0,0.0,0.1,40.9,0.1,0.0
07/05/2022 - 8,0.3,"2,855.6","1,128.4",6.4,"7,089.1",8.0,0.2,-0.6,"1,127.1","2,801.1",-1.5,-0.1,0.0,"1,376.3",787.5,1.3,0.2,0.1,12.6,0.1,-0.9,18.1,-0.1,0.0,0.0,0.2,38.9,0.1,0.0
