ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy - part 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/25/2022 - 20,0.2,"2,412.1",743.2,8.5,"5,880.3",-0.9,0.7,1.2,"1,387.0","1,418.9",1.0,0.4,-0.1,429.5,1.6,0.0,-0.3,-0.3,2.0,0.3,0.3,10.2,0.2,0.0,0.0,-0.1,19.3,0.1,0.0
07/25/2022 - 21,0.2,"2,281.3",804.8,13.2,"5,909.3",10.6,0.4,0.8,"1,314.2","1,748.5",1.1,0.2,-0.1,526.8,389.5,0.3,-0.3,0.0,2.3,0.3,0.3,12.1,0.1,0.0,0.0,-0.2,32.4,0.2,0.0
07/25/2022 - 22,0.2,"2,282.0",794.5,3.3,"5,773.5",-1.2,0.4,0.8,"1,291.0","1,690.7",0.8,0.1,-0.1,166.2,238.2,0.1,-0.3,-0.6,30.6,0.2,0.2,11.9,0.1,0.0,0.0,-0.3,25.8,0.1,0.0
07/25/2022 - 23,0.2,"2,158.1",821.2,4.4,"6,803.6",17.1,0.0,0.5,"1,357.6","2,137.5",1.0,0.3,-0.1,"15,608.5","1,333.6",2.1,-0.2,-0.5,-0.9,0.8,0.4,14.8,0.2,0.0,0.0,-0.3,62.4,0.1,0.0
07/25/2022 - 24,0.1,"2,150.8",797.5,2.0,"6,759.6",-2.1,-0.2,0.4,"1,298.3","2,038.0",0.9,0.2,-0.1,"15,405.4","1,296.9",2.0,-0.3,-0.7,1.6,0.7,0.1,14.2,0.2,0.0,0.0,-0.3,42.7,0.1,0.0
07/25/2022 - 25,0.2,"2,114.9",805.5,6.1,"6,886.3",18.7,-0.2,0.3,"1,380.8","2,019.4",1.0,0.3,-0.1,"21,368.1","1,228.8",1.8,-0.2,-0.5,-1.4,1.0,0.1,14.4,0.3,0.0,0.0,-0.4,54.1,3.6,0.0
08/01/2022 - 1,0.3,"2,650.4",969.8,12.7,"6,316.2",10.2,0.3,0.4,"1,244.9","2,205.8",1.0,0.2,-0.1,545.8,18.8,0.1,-0.3,0.2,-1.2,0.1,0.2,14.6,0.0,0.0,0.0,-0.4,20.8,0.1,0.0
08/01/2022 - 2,0.3,"2,627.9",944.7,5.4,"6,323.8",-0.2,0.3,0.5,"1,215.3","2,139.0",0.8,0.1,-0.1,270.9,4.6,0.1,-0.4,-0.1,4.7,0.1,0.2,14.3,0.0,0.0,0.0,-0.5,20.9,0.1,0.0
