ICP-MS Data,,(Note: I excluded the gallium internal standard from this data due to a few high values),,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/19/2022 - 29,0.1,"1,557.8",448.5,494.4,"5,488.6",67.9,-0.1,-0.4,530.2,"1,103.4",8.8,0.5,0.7,479.4,49.4,0.2,0.9,0.6,5.2,0.3,0.3,7.0,0.7,1.3,0.1,3.7,12.4,0.6,0.1
04/19/2022 - 30,-0.1,"1,524.2",433.1,377.5,"5,284.2",62.3,-0.2,-0.8,517.7,"1,046.4",6.4,0.4,0.4,404.3,40.6,0.2,0.7,0.4,4.7,0.1,0.2,6.7,0.4,1.4,1.9,2.2,10.7,0.6,0.0
05/02/2022 - 30,1.0,"4,357.4",662.7,"2,437.2","7,731.4",197.9,-0.4,2.4,728.4,"1,789.9",34.6,2.9,2.5,"2,706.1",262.8,1.2,1.3,2.3,15.1,0.3,0.0,12.4,0.4,3.1,0.1,1.7,46.6,2.5,0.1
05/09/2022 - 29,0.9,"1,467.9",632.1,"2,291.5","7,301.3",181.3,-0.5,0.2,860.2,"1,591.7",33.2,2.5,2.0,"2,353.3",218.4,1.0,1.2,1.7,15.3,0.2,0.0,10.9,0.3,2.1,0.1,1.0,39.4,2.1,0.0
05/09/2022 - 30,0.6,"1,433.5",584.7,"1,752.5","6,661.2",160.7,-0.6,0.0,785.6,"1,469.9",26.2,2.0,1.6,"1,925.8",184.4,0.8,0.8,1.4,11.2,0.2,0.0,9.9,0.2,1.9,0.1,0.8,33.3,1.7,0.0
05/17/2022 - 29,-0.2,"1,646.3",581.2,182.8,"5,505.5",65.1,-0.5,229.8,586.5,"1,365.4",3.9,1.9,1.4,278.5,11.7,0.1,1.2,0.8,2.5,0.4,0.2,7.7,0.1,1.9,2.3,2.7,10.5,0.3,0.0
05/17/2022 - 30,-0.2,"1,781.4",612.5,193.5,"5,674.0",67.0,-0.4,235.6,633.5,"1,446.1",4.1,2.1,1.7,266.3,12.1,0.1,1.1,0.9,2.9,0.4,0.4,8.2,0.1,2.0,2.0,2.4,11.2,0.4,0.0
05/23/2022 - 29,-0.5,"1,085.7",394.4,295.1,"3,535.2",42.6,-0.5,0.0,608.6,931.2,4.9,0.4,0.4,502.1,41.9,0.2,0.2,0.5,1.4,0.1,0.4,5.8,0.1,0.4,0.0,0.4,10.3,0.6,0.0
