ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/26/2022 - 15,0.4,"3,317.8",789.8,35.2,"10,134.0",15.7,1.1,0.2,893.5,"1,882.5",1.0,-0.5,0.1,29.2,1.4,0.0,0.1,0.8,5.3,0.2,0.4,11.4,1.3,0.0,0.0,0.4,11.2,0.6,0.0
01/26/2022 - 16,0.4,"4,004.6",813.9,28.9,"10,246.9",12.5,0.6,0.2,549.2,"2,043.2",0.8,-0.5,0.1,16.3,0.7,0.0,0.0,0.1,3.4,0.1,0.5,11.4,1.2,0.0,0.0,0.1,7.4,0.6,0.0
01/26/2022 - 19,0.1,"2,218.1",739.2,58.6,"5,921.5",21.6,0.2,0.4,"1,324.3","1,541.1",1.3,-0.4,0.2,782.8,139.4,0.3,0.2,1.0,6.8,0.3,0.4,10.3,1.3,0.0,0.0,0.3,22.3,0.9,0.0
01/26/2022 - 20,0.1,"2,872.1",740.1,25.8,"5,823.8",7.6,0.1,0.4,898.9,"1,659.2",0.5,-0.5,0.1,311.2,99.9,0.1,0.1,0.3,3.9,0.2,0.4,10.2,1.2,0.0,0.0,0.1,11.0,0.7,0.0
01/26/2022 - 21,0.2,"2,220.4",759.6,68.0,"6,107.3",19.4,0.1,-0.1,"1,324.1","1,569.9",1.4,-0.4,0.1,772.0,139.4,0.3,0.1,0.1,3.3,0.3,0.7,10.5,1.6,0.0,0.0,1.5,22.7,0.6,0.0
01/26/2022 - 22,0.1,"2,708.0",736.4,24.8,"5,795.6",7.6,-0.1,0.0,"1,096.9","1,670.4",0.5,-0.5,0.1,333.1,110.3,0.2,0.1,0.3,4.0,0.2,0.5,10.2,1.4,0.0,0.0,1.0,12.0,0.9,0.0
01/26/2022 - 23,0.1,"2,168.0",722.7,51.3,"5,755.3",20.7,-0.1,0.0,"1,280.7","1,516.2",1.0,-0.4,0.1,755.7,135.3,0.2,0.1,0.2,5.2,0.3,0.4,10.2,1.3,0.0,0.0,0.7,21.9,0.8,0.0
01/26/2022 - 24,0.1,"3,252.1",748.1,24.0,"5,792.9",10.7,-0.2,-0.1,752.6,"1,545.8",0.5,-0.5,0.1,374.8,82.9,0.1,0.1,0.3,4.5,0.2,0.5,9.7,1.2,0.0,0.0,0.4,6.7,0.7,0.0
