ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cissy / part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/18/2022 - 19,0.2,"2,384.2",776.7,46.8,"6,300.5",7.8,1.5,0.2,"1,389.7","1,418.9",1.6,0.1,-0.1,769.5,37.6,0.1,-0.3,-0.1,-0.9,0.1,-0.3,10.3,0.1,0.0,0.0,0.2,24.2,0.4,0.0
07/18/2022 - 20,0.1,"2,369.2",755.7,29.2,"6,140.1",0.8,1.3,0.1,"1,373.2","1,376.6",1.0,-0.2,0.0,328.2,7.6,0.0,-0.3,-0.4,21.0,0.1,-0.4,10.3,0.1,0.0,0.0,0.2,29.9,0.1,0.0
07/18/2022 - 21,0.1,"2,272.6",816.6,31.5,"6,063.1",11.3,0.8,-0.1,"1,307.3","1,609.8",1.2,-0.2,-0.1,486.4,116.8,0.2,-0.3,-0.4,-0.8,0.0,-0.5,11.9,0.0,0.0,0.0,0.1,28.6,0.1,0.0
07/18/2022 - 22,0.1,"2,294.3",805.5,15.2,"6,127.5",-0.9,0.9,0.0,"1,338.9","1,589.9",0.8,-0.4,0.1,95.2,25.6,0.0,-0.2,1.1,12.4,0.0,-0.4,11.7,0.0,0.0,0.0,0.0,28.7,0.1,0.0
07/18/2022 - 23,0.1,"2,197.5",823.6,19.5,"6,691.8",23.7,0.6,-0.5,"1,331.2","1,989.5",1.1,-0.3,0.0,"11,323.5","1,262.6",1.9,-0.2,-0.2,5.0,0.5,-0.4,14.2,0.1,0.0,0.0,0.1,50.7,0.2,0.0
07/18/2022 - 24,0.1,"2,191.8",838.2,15.0,"6,648.4",-1.8,0.3,-0.5,"1,329.3","2,029.5",0.8,-0.4,-0.1,"9,527.7","1,283.1",1.9,-0.1,4.8,68.8,0.3,-0.3,14.4,0.1,0.0,0.0,0.0,40.9,0.2,0.0
07/18/2022 - 25,0.1,"2,165.3",822.0,19.5,"7,060.2",36.7,0.2,-0.7,"1,361.0","1,939.6",1.1,-0.1,0.0,"19,060.9","1,154.2",1.7,-0.2,-0.4,-0.2,0.9,-0.5,14.2,0.2,0.0,0.0,0.0,49.8,0.1,0.0
07/18/2022 - 26,0.1,"2,191.1",815.9,14.5,"7,062.1",6.6,0.2,-0.7,"1,337.2","1,915.9",0.9,-0.3,0.2,"18,473.1","1,140.2",1.7,-0.1,-0.6,12.7,0.8,-0.3,14.0,0.2,0.0,0.0,0.0,45.7,0.0,0.0
