
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BVR_20251215,,Exported,"Aqua4Plus 1.9.6"
# Records,  2389 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-6.19,13.661,
,Maximum,20.56,14.138,
,Mean,5.87,13.892,
,Variance,31.107,0.0083,
,Std Deviation,5.577,0.0909,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,5-Jan-10 05:30:32,1.50,13.999
2,5-Jan-10 05:45:32,0.38,13.996
3,5-Jan-10 06:00:32,-0.25,13.997
4,5-Jan-10 06:15:32,-0.81,13.999
5,5-Jan-10 06:30:32,-1.38,13.998
6,5-Jan-10 06:45:32,-1.94,13.997
7,5-Jan-10 07:00:32,-2.38,13.993
8,5-Jan-10 07:15:32,-2.75,13.992
9,5-Jan-10 07:30:32,-3.00,13.988
10,5-Jan-10 07:45:32,-3.31,13.987
11,5-Jan-10 08:00:32,-3.50,13.987
12,5-Jan-10 08:15:32,-3.75,13.985
13,5-Jan-10 08:30:32,-3.81,13.985
14,5-Jan-10 08:45:32,-4.06,13.984
15,5-Jan-10 09:00:32,-4.19,13.981
16,5-Jan-10 09:15:32,-4.31,13.977
17,5-Jan-10 09:30:32,-4.38,13.977
18,5-Jan-10 09:45:32,-4.56,13.976
19,5-Jan-10 10:00:32,-4.75,13.974
20,5-Jan-10 10:15:32,-4.88,13.973
21,5-Jan-10 10:30:32,-4.94,13.970
22,5-Jan-10 10:45:32,-5.06,13.965
23,5-Jan-10 11:00:32,-5.25,13.965
24,5-Jan-10 11:15:32,-5.38,13.963
25,5-Jan-10 11:30:32,-5.38,13.961
26,5-Jan-10 11:45:32,-5.56,13.959
27,5-Jan-10 12:00:32,-5.69,13.958
28,5-Jan-10 12:15:32,-5.75,13.956
29,5-Jan-10 12:30:32,-5.75,13.955
30,5-Jan-10 12:45:32,-5.88,13.952
31,5-Jan-10 13:00:32,-6.00,13.950
32,5-Jan-10 13:15:32,-6.06,13.947
33,5-Jan-10 13:30:32,-6.00,13.945
34,5-Jan-10 13:45:32,-6.13,13.944
35,5-Jan-10 14:00:32,-6.19,13.943
36,5-Jan-10 14:15:32,-6.19,13.944
37,5-Jan-10 14:30:32,-6.19,13.942
38,5-Jan-10 14:45:32,-6.19,13.943
39,5-Jan-10 15:00:32,-6.19,13.942
40,5-Jan-10 15:15:32,-6.06,13.942
41,5-Jan-10 15:30:32,-5.69,13.942
42,5-Jan-10 15:45:32,-5.50,13.941
43,5-Jan-10 16:00:32,-5.31,13.940
44,5-Jan-10 16:15:32,-5.25,13.941
45,5-Jan-10 16:30:32,-5.06,13.941
46,5-Jan-10 16:45:32,-5.06,13.941
47,5-Jan-10 17:00:32,-5.00,13.941
48,5-Jan-10 17:15:32,-4.81,13.938
49,5-Jan-10 17:30:32,-4.19,13.939
50,5-Jan-10 17:45:32,-3.56,13.936
51,5-Jan-10 18:00:32,-3.50,13.938
52,5-Jan-10 18:15:32,-3.88,13.941
53,5-Jan-10 18:30:32,-3.94,13.940
54,5-Jan-10 18:45:32,-3.69,13.941
55,5-Jan-10 19:00:32,-2.75,13.944
56,5-Jan-10 19:15:32,-2.06,13.946
