
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20210107,,Exported,"Aqua4Plus 1.9.10"
# Records,  9511 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-8.00,13.649,
,Maximum,29.38,14.127,
,Mean,6.57,13.907,
,Variance,49.782,0.0090,
,Std Deviation,7.056,0.0946,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,7-Jan-21 09:36:48,3.56,13.974
2,7-Jan-21 09:51:48,4.44,13.973
3,7-Jan-21 10:06:48,5.06,13.966
4,7-Jan-21 10:21:48,5.69,13.963
5,7-Jan-21 10:36:48,6.00,13.966
6,7-Jan-21 10:51:48,5.88,13.965
7,7-Jan-21 11:06:48,5.06,13.960
8,7-Jan-21 11:21:48,5.63,13.958
9,7-Jan-21 11:36:48,7.44,13.954
10,7-Jan-21 11:51:48,8.81,13.951
11,7-Jan-21 12:06:48,8.38,13.946
12,7-Jan-21 12:21:48,7.19,13.940
13,7-Jan-21 12:36:48,6.69,13.938
14,7-Jan-21 12:51:48,6.56,13.934
15,7-Jan-21 13:06:48,6.19,13.932
16,7-Jan-21 13:21:48,6.56,13.934
17,7-Jan-21 13:36:48,7.00,13.930
18,7-Jan-21 13:51:48,7.56,13.930
19,7-Jan-21 14:06:48,7.88,13.926
20,7-Jan-21 14:21:48,7.38,13.921
21,7-Jan-21 14:36:48,7.31,13.922
22,7-Jan-21 14:51:48,7.44,13.923
23,7-Jan-21 15:06:48,7.25,13.924
24,7-Jan-21 15:21:48,6.81,13.923
25,7-Jan-21 15:36:48,6.69,13.926
26,7-Jan-21 15:51:48,6.69,13.931
27,7-Jan-21 16:06:48,6.63,13.939
28,7-Jan-21 16:21:48,6.31,13.939
29,7-Jan-21 16:36:48,5.94,13.936
30,7-Jan-21 16:51:48,5.38,13.936
31,7-Jan-21 17:06:48,4.88,13.932
32,7-Jan-21 17:21:48,4.44,13.927
33,7-Jan-21 17:36:48,4.25,13.931
34,7-Jan-21 17:51:48,4.06,13.928
35,7-Jan-21 18:06:48,3.81,13.923
36,7-Jan-21 18:21:48,3.50,13.920
37,7-Jan-21 18:36:48,3.25,13.920
38,7-Jan-21 18:51:48,3.06,13.923
39,7-Jan-21 19:06:48,2.88,13.922
40,7-Jan-21 19:21:48,2.81,13.923
41,7-Jan-21 19:36:48,2.81,13.929
42,7-Jan-21 19:51:48,2.81,13.932
43,7-Jan-21 20:06:48,2.88,13.930
44,7-Jan-21 20:21:48,2.75,13.939
45,7-Jan-21 20:36:48,2.75,13.937
46,7-Jan-21 20:51:48,2.75,13.931
47,7-Jan-21 21:06:48,2.69,13.936
48,7-Jan-21 21:21:48,2.63,13.938
49,7-Jan-21 21:36:48,2.63,13.938
50,7-Jan-21 21:51:48,2.56,13.934
51,7-Jan-21 22:06:48,2.50,13.932
52,7-Jan-21 22:21:48,2.44,13.928
53,7-Jan-21 22:36:48,2.38,13.923
54,7-Jan-21 22:51:48,2.19,13.923
55,7-Jan-21 23:06:48,2.00,13.920
56,7-Jan-21 23:21:48,2.00,13.918
57,7-Jan-21 23:36:48,2.06,13.914
58,7-Jan-21 23:51:48,2.00,13.906
59,8-Jan-21 00:06:48,2.00,13.904
60,8-Jan-21 00:21:48,2.00,13.899
61,8-Jan-21 00:36:48,2.13,13.895
62,8-Jan-21 00:51:48,2.19,13.893
63,8-Jan-21 01:06:48,2.31,13.893
64,8-Jan-21 01:21:48,2.38,13.903
65,8-Jan-21 01:36:48,2.44,13.902
66,8-Jan-21 01:51:48,2.31,13.911
67,8-Jan-21 02:06:48,2.25,13.914
68,8-Jan-21 02:21:48,2.25,13.909
69,8-Jan-21 02:36:48,2.25,13.904
70,8-Jan-21 02:51:48,2.19,13.911
71,8-Jan-21 03:06:48,2.13,13.907
72,8-Jan-21 03:21:48,2.13,13.903
73,8-Jan-21 03:36:48,2.13,13.900
74,8-Jan-21 03:51:48,2.00,13.896
75,8-Jan-21 04:06:48,2.00,13.889
76,8-Jan-21 04:21:48,1.94,13.897
77,8-Jan-21 04:36:48,1.94,13.898
78,8-Jan-21 04:51:48,1.94,13.894
79,8-Jan-21 05:06:48,1.88,13.892
80,8-Jan-21 05:21:48,1.88,13.889
81,8-Jan-21 05:36:48,1.88,13.889
82,8-Jan-21 05:51:48,1.94,13.886
83,8-Jan-21 06:06:48,1.94,13.884
84,8-Jan-21 06:21:48,1.81,13.883
85,8-Jan-21 06:36:48,1.81,13.883
86,8-Jan-21 06:51:48,1.69,13.881
87,8-Jan-21 07:06:48,1.63,13.881
88,8-Jan-21 07:21:48,1.56,13.879
89,8-Jan-21 07:36:48,1.63,13.879
90,8-Jan-21 07:51:48,1.63,13.881
91,8-Jan-21 08:06:48,1.75,13.881
92,8-Jan-21 08:21:48,2.00,13.885
93,8-Jan-21 08:36:48,2.31,13.884
94,8-Jan-21 08:51:48,2.50,13.885
95,8-Jan-21 09:06:48,2.63,13.886
96,8-Jan-21 09:21:48,2.75,13.887
97,8-Jan-21 09:36:48,3.19,13.886
98,8-Jan-21 09:51:48,3.44,13.882
99,8-Jan-21 10:06:48,3.63,13.881
100,8-Jan-21 10:21:48,3.50,13.877
101,8-Jan-21 10:36:48,3.25,13.873
102,8-Jan-21 10:51:48,3.13,13.869
103,8-Jan-21 11:06:48,3.00,13.866
104,8-Jan-21 11:21:48,2.56,13.859
105,8-Jan-21 11:36:48,2.13,13.852
106,8-Jan-21 11:51:48,1.75,13.844
107,8-Jan-21 12:06:48,1.56,13.842
108,8-Jan-21 12:21:48,1.44,13.838
109,8-Jan-21 12:36:48,1.44,13.835
110,8-Jan-21 12:51:48,1.44,13.831
111,8-Jan-21 13:06:48,1.44,13.829
112,8-Jan-21 13:21:48,1.38,13.825
113,8-Jan-21 13:36:48,1.44,13.824
114,8-Jan-21 13:51:48,1.38,13.823
115,8-Jan-21 14:06:48,1.38,13.822
116,8-Jan-21 14:21:48,1.44,13.821
117,8-Jan-21 14:36:48,1.56,13.821
118,8-Jan-21 14:51:48,1.63,13.818
119,8-Jan-21 15:06:48,1.63,13.816
120,8-Jan-21 15:21:48,1.69,13.815
121,8-Jan-21 15:36:48,1.75,13.815
122,8-Jan-21 15:51:48,1.88,13.816
123,8-Jan-21 16:06:48,1.88,13.815
124,8-Jan-21 16:21:48,1.88,13.816
125,8-Jan-21 16:36:48,1.94,13.815
126,8-Jan-21 16:51:48,1.81,13.814
127,8-Jan-21 17:06:48,1.69,13.814
128,8-Jan-21 17:21:48,1.63,13.813
129,8-Jan-21 17:36:48,1.56,13.812
130,8-Jan-21 17:51:48,1.56,13.812
131,8-Jan-21 18:06:48,1.63,13.815
132,8-Jan-21 18:21:48,1.56,13.814
133,8-Jan-21 18:36:48,1.56,13.815
134,8-Jan-21 18:51:48,1.56,13.815
135,8-Jan-21 19:06:48,1.56,13.816
136,8-Jan-21 19:21:48,1.63,13.815
137,8-Jan-21 19:36:48,1.69,13.815
138,8-Jan-21 19:51:48,1.75,13.816
139,8-Jan-21 20:06:48,1.81,13.818
140,8-Jan-21 20:21:48,1.81,13.818
141,8-Jan-21 20:36:48,1.94,13.819
142,8-Jan-21 20:51:48,2.00,13.820
143,8-Jan-21 21:06:48,2.13,13.823
144,8-Jan-21 21:21:48,2.13,13.823
145,8-Jan-21 21:36:48,2.25,13.824
146,8-Jan-21 21:51:48,2.19,13.826
147,8-Jan-21 22:06:48,2.19,13.826
148,8-Jan-21 22:21:48,2.13,13.824
149,8-Jan-21 22:36:48,2.19,13.824
150,8-Jan-21 22:51:48,2.13,13.825
151,8-Jan-21 23:06:48,2.06,13.822
152,8-Jan-21 23:21:48,2.06,13.821
153,8-Jan-21 23:36:48,2.06,13.822
154,8-Jan-21 23:51:48,2.00,13.821
155,9-Jan-21 00:06:48,2.00,13.818
156,9-Jan-21 00:21:48,1.88,13.819
157,9-Jan-21 00:36:48,1.75,13.819
158,9-Jan-21 00:51:48,1.63,13.820
159,9-Jan-21 01:06:48,1.63,13.820
160,9-Jan-21 01:21:48,1.56,13.819
161,9-Jan-21 01:36:48,1.50,13.816
162,9-Jan-21 01:51:48,1.38,13.817
163,9-Jan-21 02:06:48,1.31,13.822
164,9-Jan-21 02:21:48,1.19,13.818
165,9-Jan-21 02:36:48,1.13,13.819
166,9-Jan-21 02:51:48,0.94,13.816
167,9-Jan-21 03:06:48,0.81,13.821
168,9-Jan-21 03:21:48,0.69,13.821
169,9-Jan-21 03:36:48,0.56,13.823
170,9-Jan-21 03:51:48,0.44,13.823
171,9-Jan-21 04:06:48,0.38,13.822
172,9-Jan-21 04:21:48,0.25,13.827
173,9-Jan-21 04:36:48,0.13,13.830
174,9-Jan-21 04:51:48,-0.06,13.831
175,9-Jan-21 05:06:48,-0.13,13.834
176,9-Jan-21 05:21:48,-0.13,13.834
177,9-Jan-21 05:36:48,-0.13,13.832
178,9-Jan-21 05:51:48,-0.19,13.838
179,9-Jan-21 06:06:48,-0.31,13.846
180,9-Jan-21 06:21:48,-0.38,13.849
181,9-Jan-21 06:36:48,-0.44,13.853
182,9-Jan-21 06:51:48,-0.63,13.854
183,9-Jan-21 07:06:48,-0.69,13.849
184,9-Jan-21 07:21:48,-0.69,13.855
185,9-Jan-21 07:36:48,-0.69,13.853
186,9-Jan-21 07:51:48,-0.69,13.858
187,9-Jan-21 08:06:48,-0.69,13.861
188,9-Jan-21 08:21:48,-0.63,13.868
189,9-Jan-21 08:36:48,-0.56,13.876
190,9-Jan-21 08:51:48,-0.44,13.879
191,9-Jan-21 09:06:48,-0.19,13.883
192,9-Jan-21 09:21:48,1.31,13.892
193,9-Jan-21 09:36:48,2.06,13.894
194,9-Jan-21 09:51:48,3.06,13.896
195,9-Jan-21 10:06:48,3.81,13.891
196,9-Jan-21 10:21:48,3.81,13.890
197,9-Jan-21 10:36:48,4.25,13.892
198,9-Jan-21 10:51:48,3.88,13.893
199,9-Jan-21 11:06:48,3.50,13.889
200,9-Jan-21 11:21:48,4.06,13.883
201,9-Jan-21 11:36:48,5.13,13.882
202,9-Jan-21 11:51:48,5.63,13.882
203,9-Jan-21 12:06:48,5.44,13.882
204,9-Jan-21 12:21:48,4.94,13.877
205,9-Jan-21 12:36:48,4.63,13.878
206,9-Jan-21 12:51:48,4.63,13.876
207,9-Jan-21 13:06:48,4.75,13.877
208,9-Jan-21 13:21:48,5.06,13.877
209,9-Jan-21 13:36:48,5.50,13.875
210,9-Jan-21 13:51:48,5.88,13.875
211,9-Jan-21 14:06:48,6.00,13.878
212,9-Jan-21 14:21:48,6.31,13.878
213,9-Jan-21 14:36:48,6.75,13.879
214,9-Jan-21 14:51:48,6.94,13.880
215,9-Jan-21 15:06:48,7.13,13.884
216,9-Jan-21 15:21:48,7.56,13.886
217,9-Jan-21 15:36:48,7.25,13.884
218,9-Jan-21 15:51:48,6.19,13.885
219,9-Jan-21 16:06:48,5.44,13.889
220,9-Jan-21 16:21:48,5.06,13.893
221,9-Jan-21 16:36:48,4.75,13.896
222,9-Jan-21 16:51:48,4.38,13.899
223,9-Jan-21 17:06:48,4.00,13.902
224,9-Jan-21 17:21:48,3.69,13.905
225,9-Jan-21 17:36:48,3.38,13.907
226,9-Jan-21 17:51:48,3.06,13.911
227,9-Jan-21 18:06:48,2.69,13.915
228,9-Jan-21 18:21:48,2.31,13.917
229,9-Jan-21 18:36:48,2.00,13.920
230,9-Jan-21 18:51:48,1.69,13.921
231,9-Jan-21 19:06:48,1.38,13.924
232,9-Jan-21 19:21:48,1.13,13.925
233,9-Jan-21 19:36:48,1.00,13.926
234,9-Jan-21 19:51:48,1.00,13.931
235,9-Jan-21 20:06:48,0.88,13.935
236,9-Jan-21 20:21:48,0.63,13.939
237,9-Jan-21 20:36:48,0.19,13.939
238,9-Jan-21 20:51:48,-0.13,13.944
239,9-Jan-21 21:06:48,-0.31,13.945
240,9-Jan-21 21:21:48,-0.44,13.947
241,9-Jan-21 21:36:48,-0.63,13.948
242,9-Jan-21 21:51:48,-0.63,13.952
243,9-Jan-21 22:06:48,-0.38,13.946
244,9-Jan-21 22:21:48,-0.25,13.952
245,9-Jan-21 22:36:48,-0.06,13.951
246,9-Jan-21 22:51:48,-0.13,13.951
247,9-Jan-21 23:06:48,-0.13,13.948
248,9-Jan-21 23:21:48,-0.25,13.950
249,9-Jan-21 23:36:48,-0.31,13.951
250,9-Jan-21 23:51:48,-0.50,13.948
251,10-Jan-21 00:06:48,-0.63,13.950
252,10-Jan-21 00:21:48,-0.69,13.954
