
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20211109,,Exported,"Aqua4Plus 1.9.6"
# Records,  14771 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,-11.19,13.500,
,Maximum,26.31,14.247,
,Mean,7.11,13.906,
,Variance,47.118,0.0100,
,Std Deviation,6.864,0.0998,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
109,10-Nov-21 17:24:07,16.19,13.950
110,10-Nov-21 17:39:07,15.50,13.952
111,10-Nov-21 17:54:07,14.94,13.954
112,10-Nov-21 18:09:07,14.31,13.956
113,10-Nov-21 18:24:07,13.88,13.960
114,10-Nov-21 18:39:07,13.38,13.962
115,10-Nov-21 18:54:07,13.06,13.964
116,10-Nov-21 19:09:07,12.75,13.962
117,10-Nov-21 19:24:07,12.44,13.962
118,10-Nov-21 19:39:07,12.19,13.963
119,10-Nov-21 19:54:07,12.00,13.963
120,10-Nov-21 20:09:07,11.81,13.963
121,10-Nov-21 20:24:07,11.56,13.965
122,10-Nov-21 20:39:07,11.44,13.963
123,10-Nov-21 20:54:07,11.25,13.964
124,10-Nov-21 21:09:07,11.19,13.964
125,10-Nov-21 21:24:07,11.06,13.964
126,10-Nov-21 21:39:07,11.00,13.965
127,10-Nov-21 21:54:07,10.94,13.967
128,10-Nov-21 22:09:07,11.06,13.967
129,10-Nov-21 22:24:07,11.19,13.967
130,10-Nov-21 22:39:07,11.06,13.966
131,10-Nov-21 22:54:07,11.06,13.966
132,10-Nov-21 23:09:07,11.00,13.968
133,10-Nov-21 23:24:07,11.00,13.966
134,10-Nov-21 23:39:07,10.94,13.963
135,10-Nov-21 23:54:07,11.38,13.962
136,11-Nov-21 00:09:07,11.13,13.962
137,11-Nov-21 00:24:07,11.31,13.961
138,11-Nov-21 00:39:07,11.69,13.961
139,11-Nov-21 00:54:07,11.75,13.966
140,11-Nov-21 01:09:07,11.13,13.965
141,11-Nov-21 01:24:07,11.19,13.964
142,11-Nov-21 01:39:07,11.25,13.964
143,11-Nov-21 01:54:07,11.13,13.963
144,11-Nov-21 02:09:07,10.31,13.961
145,11-Nov-21 02:24:07,10.38,13.963
146,11-Nov-21 02:39:07,10.44,13.962
147,11-Nov-21 02:54:07,10.19,13.961
148,11-Nov-21 03:09:07,9.94,13.958
149,11-Nov-21 03:24:07,9.69,13.955
150,11-Nov-21 03:39:07,9.56,13.955
151,11-Nov-21 03:54:07,9.63,13.953
152,11-Nov-21 04:09:07,9.81,13.955
153,11-Nov-21 04:24:07,10.19,13.956
154,11-Nov-21 04:39:07,10.13,13.960
155,11-Nov-21 04:54:07,9.94,13.960
156,11-Nov-21 05:09:07,9.88,13.958
157,11-Nov-21 05:24:07,9.63,13.960
158,11-Nov-21 05:39:07,9.50,13.957
159,11-Nov-21 05:54:07,9.50,13.956
160,11-Nov-21 06:09:07,9.31,13.957
161,11-Nov-21 06:24:07,9.25,13.958
162,11-Nov-21 06:39:07,9.13,13.957
163,11-Nov-21 06:54:07,9.00,13.958
164,11-Nov-21 07:09:07,8.81,13.960
165,11-Nov-21 07:24:07,8.88,13.959
166,11-Nov-21 07:39:07,9.13,13.955
167,11-Nov-21 07:54:07,9.44,13.959
168,11-Nov-21 08:09:07,9.81,13.960
169,11-Nov-21 08:24:07,10.19,13.962
170,11-Nov-21 08:39:07,10.50,13.963
171,11-Nov-21 08:54:07,11.13,13.963
172,11-Nov-21 09:09:07,14.31,13.962
173,11-Nov-21 09:24:07,16.06,13.961
174,11-Nov-21 09:39:07,15.81,13.963
175,11-Nov-21 09:54:07,16.44,13.961
176,11-Nov-21 10:09:07,18.06,13.959
177,11-Nov-21 10:24:07,19.06,13.958
178,11-Nov-21 10:39:07,18.06,13.961
179,11-Nov-21 10:54:07,17.69,13.955
