Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR_umolm2s,Salinity,Desc_rate,Flag,Reservoir,Cast_Number
2023-06-27T12:44:42Z,0.344,23.6474,5.58,2.4289,0.2556,9.6021,11.2701,43.259849,44.633,10.1595,115.504,167.4,2.445841173114642,0.057,0,FCR,3
2023-06-27T12:44:42Z,0.359,23.6195,5.58,2.4289,0.213,9.6444,11.1498,43.100521,44.555,10.0579,115.456,159.41,2.442799215750238,0.066,0,FCR,3
2023-06-27T12:44:42Z,0.376,23.583,5.58,2.3298,0.213,9.6444,11.6308,42.909216,44.451,9.9496,116.043,158.17,2.4387002726292133,0.075,0,FCR,3
2023-06-27T12:44:42Z,0.396,23.5302,5.58,2.3031,0.213,9.6444,11.6308,42.743883,44.375,9.8635,117.214,143.18,2.437106194773588,0.086,0,FCR,3
2023-06-27T12:44:42Z,0.419,23.4548,5.58,2.3031,0.213,9.6444,11.6007,42.578258,44.286,9.8219,118.807,131.61,2.4359645747191743,0.096,0,FCR,3
2023-06-27T12:44:42Z,0.445,23.361,5.58,2.3221,0.213,9.6444,11.6759,42.368168,44.132,9.8356,120.551,121.2,2.432001633945724,0.107,0,FCR,3
2023-06-27T12:44:42Z,0.475,23.2589,5.67,2.036,0.213,10.0251,8.9254,42.186365,43.999,9.905,122.168,96.812,2.4297004804430844,0.115,0,FCR,3
2023-06-27T12:44:42Z,0.507,23.1562,5.67,2.0208,0.213,10.0251,9.0306,42.055693,43.932,10.0247,123.425,77.112,2.4313011678182557,0.122,0,FCR,3
2023-06-27T12:44:42Z,0.54,23.0653,5.67,2.0055,0.213,10.0251,8.9554,41.933378,43.887,10.1784,124.163,67.862,2.4335638353165305,0.126,0,FCR,3
2023-06-27T12:44:42Z,0.574,22.9957,5.67,2.0093,0.213,10.0251,8.9705,41.816514,43.851,10.3413,124.346,58.923,2.435209105158822,0.128,0,FCR,3
2023-06-27T12:44:42Z,0.607,22.9336,5.31,2.0627,0.1704,6.8103,6.0396,41.691765,43.811,10.4922,124.051,51.184,2.436214090094117,0.127,0,FCR,3
2023-06-27T12:44:42Z,0.64,22.858,5.31,2.0742,0.1704,6.8103,5.9644,41.54171,43.752,10.6152,123.399,43.354,2.436829658208633,0.125,0,FCR,3
