"Num","Date","Start","End","Gas","Slope","R2","Ta","Flux","Reservoir","Site","Date_real","Time"
1,"2001-12-31","19:06:35","19:10:34","CO2",-0.012,0.79,31.71,-0.069,"FCR",50,2025-08-18,"11:20"
2,"2001-12-31","19:11:48","19:15:47","CO2",-0.02,0.84,32.63,-0.115,"FCR",50,2025-08-18,"11:20"
1,"2001-12-31","19:06:35","19:10:34","CH4",0.001,0.79,31.71,0.006,"FCR",50,2025-08-18,"11:20"
2,"2001-12-31","19:11:48","19:15:47","CH4",0.002,0.92,32.63,0.011,"FCR",50,2025-08-18,"11:20"
