"Num","Date","Start","End","Gas","Slope","R2","Ta","Flux","Reservoir","Site","Date_real","Time"
1,"2001-12-31","19:03:50","19:07:49","CO2",-0.016,0.92,28.19,-0.093,"FCR",50,25-04-21,"11:17"
2,"2001-12-31","19:10:01","19:14:00","CO2",-0.014,0.9,29.23,-0.081,"FCR",50,25-04-21,"11:17"
1,"2001-12-31","19:03:50","19:07:49","CH4",0.003,0.99,28.19,0.017,"FCR",50,25-04-21,"11:17"
2,"2001-12-31","19:10:01","19:14:00","CH4",0.002,0.97,29.23,0.012,"FCR",50,25-04-21,"11:17"
