attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir; CCR=Carvins Cove Reservoir	character			NA	value is missing
Site	"Sampling site within each reservoir; 51=Deep hole or site nearest to the dam in the reservoir, attached to the platform."	numeric	dimensionless		NA	value is missing
DataStream_Code	Four-letter code corresponding to the data logger at sampled reservoir; CCRW=Carvins Cove Reservoir waterquality sensors	categorical	dimensionless		NA	value is missing
DateTime_start	"Date and time maintenance began. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset."	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
DateTime_end	"Date and time maintenance ended. All data were collected in the GMT -5 time zone (Eastern Standard Time), No time zone shifts were observed throughout the dataset."	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
Parameter	Name of variable corresponding to data table names	categorical			NA	value is missing
ColumnNumber	Column number associated with parameters in the raw file during QAQC	categorical	dimensionless		NA	value is missing
Flag	Data flag applied to associated variable	categorical	dimensionless		NA	value is missing
FlagColumn	Column number associated with  the Flag column for the parameter in raw file during QAQC	categorical	dimensionless		NA	value is missing
Notes	Additional information describing Flag for associated variable	character			NA	No note recorded
