No. ,Hole  Pos.,Weight  [mg],Name  ,Method  ,N  Area,C  Area,N  [%],C  [%],N  Factor,C  Factor,N  Blank,C  Blank,C/N  ratio,Memo  ,Info  ,Date,Time
1,1,100,clean out blank,blank [O2],0,128,0,0.025,1,1,0,0,0,,"Nnp,Cu",2019-APR-03,11:44:30 AM
2,2,100,clean out blank,blank [O2],98,1743,0.031,0.532,1,1,0,0,17.153,,,2019-APR-03,11:51:55 AM
3,3,100,clean out blank,blank [O2],99,185,0.032,0.036,1,1,0,0,1.1301,,Cu,2019-APR-03,11:59:21 AM
4,4,24.93,RunIn,aspartic acid 1,7687,29204,10.682,35.941,1,1,0,0,3.3646,,,2019-APR-03,12:10:02 PM
5,5,25.18,RunIn,aspartic acid 1,7911,29771,10.877,36.273,1,1,0,0,3.3348,,,2019-APR-03,12:20:55 PM
6,6,24.57,aspartic acid,aspartic acid 1,7594,29142,10.52,36.06,0.9821,0.9909,0,0,3.4278,,,2019-APR-03,12:31:34 PM
7,7,24.69,aspartic acid,aspartic acid 1,7446,28864,10.52,36.06,1.0061,1.0053,0,0,3.4278,,,2019-APR-03,12:42:25 PM
8,8,25.01,aspartic acid,aspartic acid 1,7629,29443,10.52,36.06,0.9953,0.9984,0,0,3.4278,,,2019-APR-03,12:53:04 PM
9,9,19.96,F_sed_8m_r1_111317,soil,471,4715,0.896,6.99,0.9945,0.9982,0,0,7.8008,,,2019-APR-03,1:01:44 PM
10,10,43,F_sed_4m_r1_21aug17,soil,1924,16306,1.659,11.65,0.9945,0.9982,0,0,7.0217,,,2019-APR-03,1:10:17 PM
11,11,45.37,F_sed_4m_r2_26jun17,soil,1348,15370,1.144,10.412,0.9945,0.9982,0,0,9.1055,,,2019-APR-03,1:19:04 PM
12,12,51.44,F_sed_8m_r1_22may17,soil,1939,18835,1.396,11.238,0.9945,0.9982,0,0,8.0481,,,2019-APR-03,1:27:41 PM
13,13,47.18,F_sed_r2_8m_28aug17,soil,1074,10786,0.876,7.051,0.9945,0.9982,0,0,8.0454,,,2019-APR-03,1:36:24 PM
14,14,11.03,F_sed_4m_r1_111317,soil,291,3248,0.975,8.986,0.9945,0.9982,0,0,9.221,,,2019-APR-03,1:45:07 PM
15,15,44.34,F_sed_8m_r2_102717,soil,1158,11578,1.006,8.047,0.9945,0.9982,0,0,7.9987,,,2019-APR-03,1:53:49 PM
16,16,16.42,F_sed__4m_r1_4sep17,soil,867,6937,2.031,13.114,0.9945,0.9982,0,0,6.4555,,,2019-APR-03,2:02:24 PM
17,17,17.79,F_sed_r1_4m_101617,soil,916,7819,1.981,13.614,0.9945,0.9982,0,0,6.8725,,,2019-APR-03,2:11:07 PM
18,18,21.23,F_sed_4m_r2_8sep17,soil,725,7195,1.31,10.513,0.9945,0.9982,0,0,8.0252,,,2019-APR-03,2:19:44 PM
19,19,8.77,F_sed_8m_r2_113117,soil,242,2096,1.004,7.334,0.9945,0.9982,0,0,7.3047,,,2019-APR-03,2:28:33 PM
20,20,47.96,F_sed_8m_31jul17,soil,1269,14537,1.019,9.321,0.9945,0.9982,0,0,9.1489,,,2019-APR-03,2:37:13 PM
21,21,43.06,DUP_F_sed_8m_r2_102717,soil,1085,11014,0.97,7.887,0.9945,0.9982,0,0,8.1277,,,2019-APR-03,2:45:58 PM
22,22,25.23,aa run as unknown,aspartic acid 1,7737,29727,10.564,36.082,0.9945,0.9982,0,0,3.4155,,,2019-APR-03,2:56:46 PM
23,23,43.02,F_sed_8m_r1_15sep17,soil,969,10620,0.867,7.615,0.9945,0.9982,0,0,8.7853,,,2019-APR-03,3:05:35 PM
24,24,43.19,F_sed_4m_r1_103017,soil,1177,13660,1.049,9.731,0.9945,0.9982,0,0,9.2737,,,2019-APR-03,3:14:17 PM
25,25,45.34,F_sed_8m_r1_11sep17,soil,969,10280,0.823,6.997,0.9945,0.9982,0,0,8.5028,,,2019-APR-03,3:23:09 PM
26,26,21.48,F_sed_4m_r2_10jul17,soil,535,8847,0.949,12.736,0.9945,0.9982,0,0,13.4171,,,2019-APR-03,3:31:51 PM
27,27,44.43,F_sed_4m_r2_103017,soil,1252,14258,1.085,9.87,0.9945,0.9982,0,0,9.0973,,,2019-APR-03,3:40:41 PM
28,28,33.09,F_sed_4m_r1_24jul17,soil,1039,13783,1.209,12.814,0.9945,0.9982,0,0,10.6004,,,2019-APR-03,3:49:22 PM
29,29,40.22,F_sed_4m_r2_21aug17,soil,1689,14017,1.577,10.72,0.9945,0.9982,0,0,6.7967,,,2019-APR-03,3:58:15 PM
30,30,26.35,F_sed_r2_4m_101617,soil,933,10177,1.363,11.92,0.9945,0.9982,0,0,8.7474,,,2019-APR-03,4:06:59 PM
31,31,38.81,F_sed_4m_r2_24jul17,soil,1346,15624,1.334,12.372,0.9945,0.9982,0,0,9.2732,,,2019-APR-03,4:15:52 PM
32,32,32.06,F_sed_4m_r1_10jul17,soil,940,12087,1.128,11.613,0.9945,0.9982,0,0,10.2916,,,2019-APR-03,4:24:36 PM
33,33,46.95,F_sed_8m_r2_14aug17,soil,1134,12113,0.93,7.947,0.9945,0.9982,0,0,8.546,,,2019-APR-03,4:33:27 PM
34,34,47.42,DUP_F_sed_8m_r1_11sep17,soil,912,10728,0.74,6.978,0.9945,0.9982,0,0,9.4234,,,2019-APR-03,4:42:12 PM
35,35,25,aa run as unknown,aspartic acid 1,7562,28860,10.425,35.356,0.9945,0.9982,0,0,3.3914,,,2019-APR-03,4:53:10 PM
36,36,0,,,0,0,0,0,0.9945,0.9982,0,0,0,,,,
