"","DateTime","Reservoir","Depth_m","Site","TFe_mgL","TMn_mgL","SFe_mgL","SMn_mgL","Flag_DateTime","Flag_TFe_mgL","Flag_TMn_mgL","Flag_SFe_mgL","Flag_SMn_mgL"
"1",2023-05-08,"BVR",0.1,50,0.2046,0.0167,0.1186,0.0079,0,0,0,0,0
"2",2023-05-08,"BVR",3,50,0.2154,0.0186,0.1165,0.0117,0,0,0,0,0
"3",2023-05-08,"BVR",6,50,0.2998,0.0692,0.0904,0.0564,0,0,0,0,0
"4",2023-05-08,"BVR",9,50,2.4957,0.873,1.4524,0.8637,0,0,0,0,0
"5",2023-05-08,"FCR",0.1,50,0.2462,0.0233,0.0757,0.0038,0,0,0,0,0
"6",2023-05-08,"FCR",1.6,50,0.2724,0.0233,0.0853,0.0077,0,0,0,0,0
"7",2023-05-08,"FCR",3.8,50,0.2675,0.0302,0.0569,0.0022,0,0,0,0,0
"8",2023-05-08,"FCR",5,50,0.263,0.0484,0.0548,0.0083,0,0,0,0,0
"9",2023-05-08,"FCR",6.2,50,0.2586,0.0582,0.034,0.0097,0,0,0,0,0
"10",2023-05-08,"FCR",8,50,0.2372,0.0728,0.0347,0.0139,0,0,0,0,0
"11",2023-05-08,"FCR",9,50,0.2446,0.0748,0.024,0.013,0,0,0,0,0
"12",2023-05-08,"FCR",0.1,100,NA,NA,0.0037,0.0035,0,1,1,3,0
"13",2023-05-16,"FCR",0.1,50,0.3008,0.017,0.1348,0.0013,0,0,0,0,0
"14",2023-05-16,"FCR",1.6,50,0.2727,0.0169,0.1233,0.0027,0,0,0,0,0
"15",2023-05-16,"FCR",3.8,50,0.2544,0.033,0.06,0.0019,0,0,0,0,0
"16",2023-05-16,"FCR",5,50,0.2446,0.0489,0.0461,0.0155,0,0,0,0,0
"17",2023-05-16,"FCR",6.2,50,0.2981,0.0853,0.0422,0.0376,0,0,0,0,0
"18",2023-05-16,"FCR",8,50,0.3178,0.1037,0.0341,0.0449,0,0,0,0,0
"19",2023-05-16,"FCR",9,50,0.3222,0.1087,0.0375,0.046,0,0,0,0,0
"20",2023-05-16,"FCR",0.1,100,NA,NA,0.0128,0.0063,0,1,1,0,0
"21",2023-05-22,"BVR",0.1,50,0.352,0.0096,0.2241,0.004,0,0,0,0,0
"22",2023-05-22,"BVR",3,50,0.299,0.0106,0.1903,0.0027,0,0,0,0,0
"23",2023-05-22,"BVR",6,50,0.3605,0.1893,0.1759,0.1765,0,0,0,0,0
"24",2023-05-22,"BVR",9,50,5.1843,0.9048,4.9295,0.8909,0,0,0,0,0
"25",2023-05-22,"FCR",0.1,50,0.3104,0.0161,0.1715,0.0043,0,0,0,0,0
"26",2023-05-22,"FCR",1.6,50,0.333,0.0144,0.1999,0.0028,0,0,0,0,0
"27",2023-05-22,"FCR",3.8,50,0.2842,0.0491,0.1012,0.011,0,0,0,0,0
"28",2023-05-22,"FCR",5,50,0.281,0.1081,0.0633,0.0587,0,0,0,0,0
"29",2023-05-22,"FCR",6.2,50,0.3388,0.1499,0.0539,0.0882,0,0,0,0,0
"30",2023-05-22,"FCR",8,50,0.3337,0.1492,0.0319,0.0911,0,0,0,0,0
"31",2023-05-22,"FCR",9,50,0.3601,0.1503,0.0619,0.0679,0,0,0,0,0
"32",2023-05-22,"FCR",0.1,100,NA,NA,0.0221,0.0056,0,1,1,0,0
"33",2023-05-29,"BVR",0.1,50,0.3466,0.0086,0.2198,0.0023,0,0,0,0,0
"34",2023-05-29,"BVR",3,50,0.374,0.0115,0.2056,0.0019,0,0,0,0,0
"35",2023-05-29,"BVR",6,50,0.3599,0.1108,0.2122,0.1385,0,0,0,0,0
"36",2023-05-29,"BVR",9,50,7.6348,1.0325,7.3453,1.01,0,0,0,0,0
"37",2023-05-29,"FCR",0.1,50,0.4193,0.0151,0.1981,0.0033,0,0,0,0,0
"38",2023-05-29,"FCR",1.6,50,0.3785,0.0146,0.1818,0.0024,0,0,0,0,0
"39",2023-05-29,"FCR",3.8,50,0.2444,0.0323,0.0942,0.0124,0,0,0,0,0
"40",2023-05-29,"FCR",5,50,-0.0196,2e-04,0.0905,0.0503,0,4,0,0,0
"41",2023-05-29,"FCR",6.2,50,0.3764,0.2007,0.0442,0.1641,0,0,0,0,0
"42",2023-05-29,"FCR",8,50,0.3495,0.2087,0.0535,0.1712,0,0,0,0,0
"43",2023-05-29,"FCR",9,50,0.4531,0.2293,0.074,0.1951,0,0,0,0,0
"44",2023-05-29,"FCR",0.1,200,NA,NA,0.0319,0.0053,0,1,1,0,0
