Reservoir,Site,DateTime,WeirWaterLevel_cm,Flag_WeirWaterLevel
FCR,100,4/20/2020 11:55,24.8,2
FCR,100,6/8/2020 15:50,28.1,2
FCR,100,8/10/2020 13:52,0,2
FCR,100,8/24/2020 15:30,12,1
FCR,100,9/14/2020 14:56,10,1
FCR,100,9/30/2020 13:15,12.8,1
FCR,100,10/19/2020 16:30,10,1
FCR,100,11/2/2020 13:10,15,1
FCR,100,11/9/2020 13:14,11,1
FCR,100,12/2/2020 13:31,20.05,1
