file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,diag_72_mean,int_p_mean,air_p_mean,vin_sf_mean,co2_mean,co2_mean,h2o_mean,h2o_mean,dew_point_mean,cell_t_mean,int_t_1_mean,int_t_2_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2023-02-07,16:30,38.687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-02-07T163000_AIU-0547.ghg,2023-02-07,17:00,38.7082,0,17895,17895,-0.145213,1,-25.5814,0,1.92025,1,0.220991,0,0.431185E-01,1,0.106020E-02,0,-9999,-9999,-9999,-9999,-9999,0.246902E-11,0.217828E-13,0.122469E-13,18.1986,450.524,452.322,3.50000,0,160.557,3.97473,3.99059,0.800000,1,0.902695E-01,2.09768,2.10605,-0.100000,0,286.400,285.284,95809.5,1.16825,1007.50,0.247559E-01,0.279408E-02,0.289323E-02,380.919,1410.74,0.247656E-02,27.0013,1029.83,266.815,-0.797999,0.273605,0.121374,0.852287,-0.375388E-14,0.135670E-15,0.852287,3.66307,172.044,161.075,8.18732,-9999,0.352562,0.354425,144.779,0.200306E-01,-13.3219,0.616465E-01,0,80.3884,-12.1992,27.5947,68.7148,104.794,146.976,220.196,-0.143889,1.00920,-25.1670,1.01359,1.73310,1.10799,0.173548,1.11278,0.389161E-01,1.10799,0.848039E-02,1.17959,800000009,800000009,800000009,800000009,800000019,801000019,899999999,899999999,89999,89999,89,89,12,47,3,10,9,0,0,0,0,0,0,0,0,0,0,17895,0,0,0,17895,17895,17895,17895,0.348902,0.246088,0.113861,0.778266E-01,0.204298E-03,11.2692,0.313331E-07,-0.213821E-01,0.173548E-03,0.389161E-01,0.848039E-05,8190.00,96208.6,96208.6,11.3566,450.456,452.253,3.97418,3.99005,-6.34323,286.449,286.466,286.445,92.9680,93.1420,92.7939,0.348028,0.00000,-1.00000,0.00000,2.09415,91.9591,1.00015,-273.150,9.00093,-273.150
2023-02-07T170000_AIU-0547.ghg,2023-02-07,17:30,38.7290,0,18000,18000,-0.682034E-01,0,-26.6003,1,-2.65034,1,0.133767,1,-0.594774E-01,1,0.834218E-03,1,-1.17170,-0.645965,-0.680795E-01,-0.144963E-01,-0.311093E-03,0.100501E-09,0.836796E-12,0.498894E-12,18.1965,449.431,451.119,0.200000,0,151.508,3.74207,3.75612,0.800000,1,0.903284E-01,2.09291,2.10077,0.00000,1,285.769,284.668,95823.6,1.17105,1007.36,0.246988E-01,-0.385413E-02,0.273017E-02,358.675,1354.48,0.233138E-02,26.4805,995.810,266.033,-0.390373,0.604135,0.173628,0.739944,0.305511E-14,0.552311E-14,0.739944,3.92432,202.742,122.869,13.5710,-9999,0.241332,0.364418,44.6587,0.649369E-01,10.0365,0.934346E-01,0,67.5738,-10.2546,23.1959,57.7611,88.0893,123.546,185.095,-0.675182E-01,1.01015,-26.3546,1.01592,-2.35657,1.12466,0.143739,1.12925,-0.528847E-01,1.12466,0.861298E-02,1.21167,800000009,800000009,800000009,800000009,800000009,811100009,899999999,899999999,89999,89999,89,89,26,9,1,3,14,0,0,0,0,0,0,0,0,0,0,16200,0,0,0,18000,18000,18000,18000,0.273446,0.373039,0.823513E-01,0.239646,0.352068E-04,5.10365,0.379035E-07,-0.223405E-01,0.143739E-03,-0.528847E-01,0.861298E-05,8190.00,96200.9,96200.9,11.3500,449.649,451.338,3.74393,3.75800,-7.11947,285.947,285.963,285.943,92.9600,93.1339,92.7861,0.347836,0.00000,-1.00000,0.00000,2.08959,91.7867,1.00016,-273.150,9.00094,-273.150
2023-02-07T173000_AIU-0547.ghg,2023-02-07,18:00,38.7498,0,18000,18000,-0.969185E-01,1,-16.7962,1,4.49409,1,0.594472,2,0.100758,1,0.320956E-02,1,-1.89094,-0.474701,-0.149991,-0.106428E-01,0.104331E-03,0.485490E-11,0.387914E-13,0.242736E-13,18.1637,447.033,448.635,0.800000,1,145.131,3.57186,3.58466,8.30000,0,0.908150E-01,2.09450,2.10201,0.900000,0,284.746,283.676,95829.2,1.17529,1007.25,0.246113E-01,0.652911E-02,0.261525E-02,342.380,1268.14,0.222520E-02,26.9986,925.760,265.431,-0.542010,0.450924,0.137979,0.718433,0.424236E-14,0.267286E-15,0.718433,4.20172,194.936,140.241,11.0728,-9999,0.287164,0.289733,119.159,0.243372E-01,-3.73739,0.494078E-01,0,76.5177,-11.6119,26.2661,65.4062,99.7486,139.899,209.594,-0.959566E-01,1.01002,-16.3403,1.01416,4.06000,1.10692,0.501998,1.11058,0.910255E-01,1.10692,0.762822E-02,1.18269,800000009,800000009,800000009,800000009,800000009,811000009,899999999,899999999,89999,89999,89,89,22,19,3,10,16,3,0,0,0,0,0,0,0,0,0,15000,0,0,0,18000,18000,18000,18000,0.211121,0.282890,0.854562E-01,0.553212,0.765359E-03,16.8315,0.138909E-06,-0.138031E-01,0.501998E-03,0.910255E-01,0.762822E-05,8190.00,96198.2,96198.2,11.3500,447.351,448.957,3.57507,3.58791,-7.72040,284.991,285.007,284.987,92.9621,93.1331,92.7911,0.341967,0.00000,-1.00000,0.00000,2.09131,91.7151,1.00015,-273.150,9.00089,-273.150
2023-02-07T180000_AIU-0547.ghg,2023-02-07,18:30,38.7707,0,18000,18000,-0.655964E-01,1,-90.0978,1,-12.7714,2,-2.93268,2,-0.285744,2,-0.933842E-03,1,-4.15088,-1.22522,-0.353197,-0.274129E-01,0.351406E-03,-0.294801E-09,-0.209490E-11,-0.149987E-11,18.0764,441.428,442.817,3.60000,0,128.454,3.13685,3.14672,0.00000,0,0.919683E-01,2.09983,2.10643,0.00000,1,282.464,281.517,95844.6,1.18469,1006.98,0.244201E-01,-0.185162E-01,0.231474E-02,300.731,1096.64,0.195387E-02,27.4230,795.907,263.770,-0.646610E-01,0.879886E-01,0.105981,0.152168,-0.966841E-14,-0.163086E-13,0.152168,2.74296,180.042,126.311,44.1449,-9999,0.235308,0.175122,12.2221,0.237275,7.05468,0.320961,0,65.8726,-9.99642,22.6119,56.3069,85.8715,120.436,180.435,-0.641091E-01,1.02320,-88.2158,1.02973,-10.8012,1.18240,-2.37727,1.18279,-0.241664,1.18240,0.238882E-01,1.33302,800000009,800000009,800000009,800000009,810100009,810101009,899999999,899999999,89999,89999,89,89,19,6,3,6,0,0,0,0,0,0,0,0,0,0,0,8512,0,0,0,18000,18000,18000,18000,0.938133E-01,0.172986,0.834451E-01,1.04810,0.263367E-02,17.0652,0.136280E-06,-0.739473E-01,-0.237727E-02,-0.241664,0.238882E-04,8190.00,96211.9,96211.9,11.3500,442.629,444.026,3.14553,3.15547,-9.35981,283.382,283.397,283.378,92.9804,93.1502,92.8107,0.339564,0.00000,-1.00000,0.00000,2.09701,91.5761,1.00012,-273.150,9.00067,-273.150
2023-02-07T183000_AIU-0547.ghg,2023-02-07,19:00,38.7915,0,18000,18000,-0.522333E-01,1,-26.6630,1,-6.30461,2,-3.42715,1,-0.140875,2,0.755012E-04,1,-2.62090,-0.954641,-0.303018,-0.213313E-01,-0.153906E-03,0.128893E-09,0.826543E-12,0.663136E-12,17.9700,436.643,437.869,0.800000,1,115.236,2.80004,2.80790,0.800000,1,0.924535E-01,2.09751,2.10339,0.00000,1,281.119,280.160,95860.1,1.19077,1006.77,0.242984E-01,-0.912873E-02,0.207654E-02,268.484,999.656,0.174386E-02,26.8576,731.172,262.336,0.159986,-0.356377E-01,0.895353E-01,0.186767,0.870634E-14,0.717264E-14,0.186767,1.80165,351.984,347.442,28.6459,-9999,0.209440,0.133743,29.1227,0.995786E-01,4.22912,0.106192,0,90.1227,-13.6765,30.9362,77.0355,117.484,164.773,246.860,-0.511279E-01,1.02162,-26.3992,1.02342,-5.55474,1.13500,-2.96410,1.13540,-0.124120,1.13500,0.802159E-02,1.24485,800000009,800000009,800000009,800000009,800000009,800010019,899999999,899999999,89999,89999,89,89,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14488,0,0,0,18000,18000,18000,18000,0.102535,0.134757,0.301939E-01,0.408618,0.207338E-02,11.1609,0.334109E-07,-0.220207E-01,-0.296410E-02,-0.124120,0.802159E-05,8190.00,96226.9,96226.9,11.3429,437.788,439.021,2.80756,2.81547,-10.7934,281.989,282.004,281.985,92.9875,93.1562,92.8187,0.337517,0.00000,-1.00000,0.00000,2.09499,91.5442,1.00010,-273.150,9.00063,-273.150
2023-02-07T190000_AIU-0547.ghg,2023-02-07,19:30,38.8123,0,18000,18000,-0.224377E-01,1,-3.56156,1,0.485908,1,-0.415710,1,0.108424E-01,1,-0.178328E-02,1,-2.84491,-1.36643,0.395387,-0.304901E-01,-0.674286E-03,-0.142371E-10,-0.746235E-13,-0.719818E-13,18.3244,442.853,443.883,3.40000,0,96.0469,2.32121,2.32661,0.800000,1,0.926469E-01,2.08739,2.09225,0.00000,1,279.642,278.695,95875.6,1.19745,1006.49,0.241674E-01,0.702586E-03,0.173077E-02,222.607,903.515,0.144538E-02,24.6379,680.908,260.007,0.981196,0.346922,0.161617,1.05319,-0.334450E-13,-0.776948E-15,1.05319,2.22504,316.556,19.4721,8.82713,-9999,0.136887,0.143147,60.8717,0.476412E-01,-7.32971,0.215882E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.222445E-01,1.00869,-3.48825,1.01452,0.431578,1.12589,-0.371300,1.13353,0.963008E-02,1.12589,-0.575004E-03,1.19950,800000009,800000009,800000009,800000009,800001009,800001109,899999999,899999999,89999,89999,89,89,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0,10300,0,0,0,18000,18000,18000,18000,0.151203,0.123809,0.112815E-01,0.159180,0.861945E-02,12.6245,0.364485E-07,-0.289431E-02,-0.371300E-03,0.963008E-02,-0.575004E-06,8190.00,96239.4,96239.4,11.3405,443.950,444.986,2.32733,2.33276,-13.1270,280.479,280.496,280.474,93.0207,93.1886,92.8528,0.335829,0.00000,-1.00000,0.00000,2.08531,91.6838,1.00007,-293.136,9.00045,-273.150
2023-02-07T193000_AIU-0547.ghg,2023-02-07,20:00,38.8331,0,18000,18000,-0.203661E-01,1,18.7681,1,0.189119E-01,2,-2.90593,1,0.421796E-03,2,0.170948E-02,1,-0.956615,-0.232382,0.119847,-0.518287E-02,0.103500E-03,0.933060E-11,0.469949E-13,0.470372E-13,18.4338,444.732,445.730,3.20000,0,92.8442,2.23995,2.24498,0.800000,1,0.929279E-01,2.08894,2.09363,0.00000,1,279.172,278.203,95871.0,1.19954,1006.43,0.241259E-01,0.273324E-04,0.167305E-02,214.804,873.125,0.139474E-02,24.6018,658.320,259.568,1.13107,0.439034,0.160419,1.22385,0.218177E-13,0.506169E-15,1.22385,2.39443,312.406,21.2142,7.53189,-9999,0.130301,0.133646,-9.96243,-0.291094,992.395,-0.119309,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.201367E-01,1.01139,18.5192,1.01421,0.171845E-01,1.10052,-2.62396,1.10751,0.383270E-03,1.10052,-0.418627E-02,1.14792,800000009,800000009,800000009,800000009,800010009,800010109,899999999,899999999,89999,89999,89,89,2,5,2,27,5,1,0,0,0,0,0,0,0,0,0,12900,0,0,0,18000,18000,18000,18000,0.176458,0.762915E-01,0.145416E-01,0.288280,0.222834E-01,0.511656,0.313398E-07,0.153399E-01,-0.262396E-02,0.383270E-03,-0.418627E-05,8190.00,96239.7,96239.7,11.3500,445.142,446.142,2.24204,2.24708,-13.5785,279.554,279.573,279.549,93.0211,93.1866,92.8557,0.330875,0.00000,-1.00000,0.00000,2.08693,91.7383,1.00006,-273.150,9.00032,-273.150
2023-02-07T200000_AIU-0547.ghg,2023-02-07,20:30,38.8540,0,18000,18000,-0.271593E-01,1,17.4148,1,0.869109,1,-1.87987,1,0.193850E-01,1,0.170119E-02,1,0.117548,0.695706E-01,0.735214,0.155174E-02,0.518438E-03,0.143139E-09,0.710356E-12,0.705913E-12,18.9077,456.260,457.296,0.800000,1,93.8334,2.26429,2.26943,8.10000,0,0.932465E-01,2.09671,2.10146,0.00000,1,279.191,278.263,95872.1,1.19928,1006.45,0.241309E-01,0.125615E-02,0.169088E-02,217.140,876.810,0.140991E-02,24.7648,659.670,259.701,0.829254,0.159344,0.136026,0.855311,-0.718656E-14,0.757040E-14,0.855311,1.93634,325.481,10.8770,9.15101,-9999,0.150487,0.172247,-16.5397,-0.175335,20.0375,-0.958755E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.267704E-01,1.01453,17.1985,1.01601,0.794576,1.09380,-1.72019,1.09781,0.177226E-01,1.09380,-0.384543E-02,1.14933,800000009,800000009,800000009,800000009,800000009,801110009,899999999,899999999,89999,89999,89,89,2,1,2,4,0,0,0,0,0,0,0,0,0,0,0,11700,0,0,0,18000,18000,18000,18000,0.175837,0.156057,0.125996E-01,0.410859,0.351865E-02,0.525949,0.577269E-07,0.142488E-01,-0.172019E-02,0.177226E-01,-0.384543E-05,8190.00,96246.4,96246.4,11.3462,456.237,457.272,2.26417,2.26931,-13.4569,279.355,279.373,279.351,93.0255,93.1911,92.8599,0.331185,0.00000,-1.00000,0.00000,2.09466,91.6781,1.00005,-273.150,9.00025,-273.150
