file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,air_t_mean,air_p_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,diag_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2023-09-18,14:30,261.604,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-09-18T143000_AIU-0547.ghg,2023-09-18,15:00,261.6249,1,18000,18000,-0.405577,0,64.8154,1,174.294,0,-0.845138E-01,2,3.94326,0,-0.512192E-02,1,-9999,-9999,-9999,-9999,-9999,0.358036E-09,0.149456E-10,0.219417E-11,14.3206,369.047,374.821,0.100000,1,597.793,15.4053,15.6463,0.400000,0,0.877619E-01,2.13480,2.16820,-0.100000,0,294.531,293.097,95358.5,1.12692,1013.94,0.256792E-01,0.255523,0.108104E-01,1462.23,2322.55,0.959293E-02,62.9578,860.324,285.795,0.744678,-0.317493,0.163571,0.825895,0.566181E-13,0.250014E-13,0.825895,8.50747,350.329,336.909,11.4231,-9999,0.599917,1.80078,-281.163,-0.103143E-01,0.371874,-0.945551E-01,0,71.7356,-10.8862,24.6245,61.3185,93.5147,131.156,196.495,-0.399623,1.01490,74.1049,1.01624,160.452,1.08627,-0.778018E-01,1.08627,3.63008,1.08627,-0.357698E-01,1.14959,800000009,800000009,800000009,800000009,800000019,800101119,899999999,899999999,89999,89999,89,89,17,10,1,37,36,16,4,0,0,0,0,0,0,0,0,0,73,1.37285,1.79045,0.438260,0.165128,1.27824,0.459780,0.198487E-06,0.648552E-01,-0.202900E-02,0.946694E-01,-0.357698E-04,14.3216,597.798,11.1600,369.046,15.4049,12.6391,72.0371,72.3240,71.7502,0.573819,0.286526E-03,-1.00000,0.00000,2.12804,294.787,94962.9,91.8369,1.00011,-322.609,9.00085,-294.145,71.5557
2023-09-18T150000_AIU-0547.ghg,2023-09-18,15:30,261.6457,1,18000,18000,-0.311984,0,28.3370,0,217.641,0,0.400537,2,4.92498,0,0.161498E-01,2,0.395941,-0.269622,0.293741E-01,-0.610125E-02,-0.903659E-03,-0.148827E-09,-0.616325E-11,-0.905398E-12,14.3154,369.537,375.280,0.100000,1,592.832,15.3034,15.5412,0.300000,0,0.870887E-01,2.12038,2.15334,0.00000,0,294.738,293.312,95339.1,1.12590,1013.89,0.257025E-01,0.319139,0.107292E-01,1452.31,2353.72,0.952942E-02,61.7026,901.413,285.691,0.714890,-0.167307,0.214968,0.765030,-0.274353E-14,-0.103963E-13,0.765030,7.18195,345.962,346.828,16.3195,-9999,0.526400,1.77459,-434.401,-0.667586E-02,0.130200,-0.471572E-01,0,65.8416,-9.99171,22.6013,56.2804,85.8311,120.379,180.350,-0.307146,1.01575,40.5143,1.01677,200.301,1.08657,0.368624,1.08657,4.53258,1.08657,-0.756220E-02,1.15020,800000009,800000009,800000009,800000009,800000009,800001109,899999999,899999999,89999,89999,89,89,7,19,2,33,30,21,8,0,0,0,0,0,0,0,0,0,73,1.38964,1.74145,0.418089,0.682574E-01,0.993063,0.398298,0.129382E-06,0.354911E-01,0.962112E-02,0.118301,-0.756220E-05,14.3162,592.842,11.1600,369.535,15.3026,12.5359,72.0677,72.3613,71.7742,0.587043,0.286834E-03,-1.00000,0.00000,2.11489,295.104,94963.7,92.0698,1.00006,-513.543,9.00044,-421.003,81.1262
2023-09-18T153000_AIU-0547.ghg,2023-09-18,16:00,261.6665,1,18000,18000,-0.243093,0,30.3685,0,127.737,0,-0.156975,2,2.89164,0,-0.411386E-02,1,0.720431,-2.03224,0.700006E-01,-0.460047E-01,-0.513478E-03,-0.985474E-10,-0.386367E-11,-0.595038E-12,14.3496,370.708,376.175,0.100000,1,562.594,14.5341,14.7484,0.200000,0,0.866442E-01,2.11218,2.14333,-0.100000,0,295.060,293.705,95327.0,1.12458,1013.47,0.257338E-01,0.187378,0.101774E-01,1379.46,2411.54,0.904997E-02,57.2026,1032.08,284.909,1.26612,-0.649628E-01,0.316837,1.30678,-0.492142E-13,-0.686761E-14,1.30678,6.83277,334.202,357.063,14.0316,-9999,0.464934,1.85140,-279.224,-0.103859E-01,0.237742,-0.573103E-01,0,63.8742,-9.69316,21.9259,54.5987,83.2665,116.782,174.961,-0.240462,1.01094,37.4342,1.01399,117.531,1.08684,-0.144433,1.08684,2.66060,1.08684,-0.210964E-01,1.14791,800000009,800000009,800000009,800000009,800001019,800001119,899999999,899999999,89999,89999,89,89,11,13,5,36,34,34,7,0,0,0,0,0,0,0,0,0,73,1.33807,2.01287,0.351849,0.481314E-01,0.819271,0.311744,0.272025E-07,0.328450E-01,-0.377139E-02,0.694728E-01,-0.210964E-04,14.3505,562.604,11.1600,370.709,14.5335,11.7523,72.1049,72.4035,71.8064,0.597104,0.287006E-03,-1.00000,0.00000,2.10943,295.658,94953.2,92.7458,1.00007,-408.487,9.00060,-336.821,130.250
2023-09-18T160000_AIU-0547.ghg,2023-09-18,16:30,261.6873,1,18000,18000,-0.166245,0,19.0211,0,136.811,0,0.210809,2,3.09744,0,0.172983E-02,0,0.242380,1.05983,-0.163887E-01,0.239949E-01,-0.726635E-04,0.169685E-09,0.684157E-11,0.102552E-11,14.3156,370.434,376.050,0.100000,0,577.193,14.9356,15.1620,0.200000,0,0.865185E-01,2.11102,2.14303,-0.200000,0,295.230,293.837,95320.1,1.12382,1013.69,0.257506E-01,0.200714,0.104518E-01,1417.29,2431.19,0.930020E-02,58.2960,1013.91,285.320,1.43588,-0.180946,0.284205,1.47488,0.762082E-13,0.118532E-13,1.47488,6.83584,340.134,352.818,11.1103,-9999,0.384614,1.44869,-252.378,-0.114907E-01,0.139033,-0.434117E-01,0,58.8970,-8.93784,20.2174,50.3443,76.7782,107.682,161.328,-0.164568,1.01019,26.7235,1.01365,125.771,1.08778,0.193798,1.08778,2.84750,1.08778,-0.128088E-01,1.14812,800000009,800000009,800000009,800000009,800001019,800001119,899999999,899999999,89999,89999,89,89,13,7,2,26,56,14,12,0,0,0,0,0,0,0,0,0,73,1.08554,1.51692,0.294921,0.354947E-01,2.91530,0.610266,0.311470E-07,0.234579E-01,0.506572E-02,0.744313E-01,-0.128088E-04,14.3164,577.196,11.1600,370.431,14.9348,12.1570,72.1118,72.4132,71.8105,0.602668,0.288025E-03,-1.00000,0.00000,2.10922,295.954,94946.1,91.8211,1.00010,-273.150,9.00090,-273.150,133.101
2023-09-18T163000_AIU-0547.ghg,2023-09-18,17:00,261.7082,1,18000,18000,-0.156804,1,23.3503,0,214.716,0,-0.707233,1,4.86060,0,0.133898E-01,0,-0.255150,-0.724000,0.272373E-01,-0.163894E-01,0.317572E-03,-0.192720E-09,-0.761835E-11,-0.116545E-11,14.3533,370.889,376.408,0.100000,1,567.397,14.6615,14.8797,0.200000,0,0.867997E-01,2.11609,2.14758,0.00000,0,295.065,293.698,95332.2,1.12461,1013.54,0.257329E-01,0.314967,0.102670E-01,1391.58,2410.50,0.912940E-02,57.7299,1018.92,285.042,1.84015,0.313712,0.330939,1.89581,0.185285E-13,-0.134268E-13,1.89581,7.83789,325.189,9.67486,10.0533,-9999,0.373403,1.95310,-188.135,-0.154145E-01,0.108749,-0.548620E-01,0,56.3028,-8.54416,19.3269,48.1268,73.3963,102.939,154.222,-0.155408,1.00898,35.4532,1.01330,196.803,1.09102,-0.648228,1.09102,4.45508,1.09102,-0.834111E-02,1.14962,800000009,800000009,800000009,800000009,800001019,800001119,899999999,899999999,89999,89999,89,89,5,8,3,36,35,27,4,0,0,0,0,0,0,0,0,0,73,1.78860,1.80648,0.311113,0.285691E-01,1.86116,0.587600,0.321391E-07,0.311037E-01,-0.169279E-01,0.116340,-0.834111E-05,14.3541,567.402,11.1569,370.888,14.6607,11.8772,72.1250,72.4247,71.8253,0.599410,0.287515E-03,-1.00000,0.00000,2.11326,295.663,94953.7,92.9802,1.00009,-273.150,9.00083,-273.150,140.177
2023-09-18T170000_AIU-0547.ghg,2023-09-18,17:30,261.7290,1,18000,18000,-0.291123,0,19.7950,0,123.437,0,0.371530,1,2.79423,0,0.531442E-02,1,-0.295742E-01,-1.34222,0.109386,-0.303838E-01,-0.176164E-03,0.636590E-11,0.241740E-12,0.382877E-13,14.4193,372.718,378.069,0.100000,1,547.560,14.1537,14.3569,0.300000,0,0.867245E-01,2.11328,2.14362,-0.200000,0,295.002,293.682,95353.1,1.12513,1013.26,0.257217E-01,0.181066,0.991572E-02,1343.89,2408.17,0.881292E-02,55.8054,1064.28,284.514,1.06779,-0.251552,0.208397,1.11664,-0.273292E-13,0.441486E-15,1.11664,7.60081,343.442,346.744,10.7561,-9999,0.508670,1.83638,-561.061,-0.516878E-02,0.160366,-0.341347E-01,0,69.5762,-10.5585,23.8833,59.4727,90.6996,127.208,190.580,-0.287646,1.01209,26.6975,1.01458,113.646,1.08615,0.342061,1.08615,2.57260,1.08615,-0.892507E-02,1.14807,800000009,800000009,800000009,800000009,800001119,810011119,899999999,899999999,89999,89999,89,89,31,10,2,42,29,22,13,0,0,0,0,0,0,0,0,0,73,1.77258,1.56008,0.340100,0.230142E-01,1.47455,0.369677,0.389984E-07,0.234178E-01,0.892417E-02,0.671175E-01,-0.892507E-05,14.4201,547.567,11.1500,372.717,14.1530,11.3528,72.1460,72.4492,71.8427,0.606439,0.287574E-03,-1.00000,0.00000,2.11409,295.945,94973.4,92.9260,1.00008,-273.150,9.00081,-273.150,135.235
2023-09-18T173000_AIU-0547.ghg,2023-09-18,18:00,261.7498,0,18000,18000,-0.221712,0,21.1431,1,238.054,0,-2.27560,2,5.38752,0,0.737527E-01,2,-0.455859,1.79676,0.156405,0.406634E-01,-0.292886E-03,-0.600193E-09,-0.237193E-10,-0.356847E-11,14.5637,375.330,380.981,0.100000,1,575.549,14.8328,15.0561,0.200000,0,0.865891E-01,2.10861,2.14035,0.00000,1,294.816,293.434,95369.7,1.12600,1013.63,0.257010E-01,0.349112,0.103999E-01,1408.31,2371.52,0.923614E-02,59.3844,963.207,285.223,1.20884,-0.217245E-01,0.280140,1.24107,0.520211E-13,-0.412115E-13,1.24107,6.79231,336.734,358.970,13.0455,-9999,0.443738,1.33543,-348.796,-0.831432E-02,0.888163E-01,-0.417472E-01,0,70.6720,-10.7247,24.2594,60.4093,92.1281,129.211,193.582,-0.219236,1.01129,34.6283,1.01416,219.092,1.08655,-2.09433,1.08655,4.95838,1.08655,0.464290E-01,1.14791,800000009,800000009,800000009,800000009,800011019,800111119,899999999,899999999,89999,89999,89,89,5,1,1,33,29,11,7,0,0,0,0,0,0,0,0,0,73,1.28082,1.14116,0.248898,0.685484E-01,17.9029,1.10552,0.401669E-06,0.303401E-01,-0.546333E-01,0.129345,0.464290E-04,14.5647,575.541,11.1824,375.325,14.8317,12.0458,72.1236,72.4205,71.8266,0.593963,0.286655E-03,-1.00000,0.00000,2.09906,294.731,94997.3,92.2958,1.00008,-325.880,9.00070,-289.744,108.902
2023-09-18T180000_AIU-0547.ghg,2023-09-18,18:30,261.7707,0,18000,18000,-0.149566,1,-14.5240,2,209.848,0,7.85095,0,4.74716,0,0.724585E-02,0,-0.807696,-0.920885,0.615284E-01,-0.208322E-01,-0.114702E-02,0.306928E-09,0.118133E-10,0.179506E-11,14.7107,376.355,381.887,0.200000,0,566.198,14.4855,14.6984,0.300000,0,0.860348E-01,2.09034,2.12107,-0.200000,0,294.343,292.995,95395.3,1.12813,1013.42,0.256529E-01,0.307616,0.101754E-01,1375.86,2308.07,0.901972E-02,59.6110,932.207,284.870,1.90604,0.370126,0.345878,1.97221,0.222662E-13,0.208643E-13,1.97221,7.82581,325.585,10.9892,10.1005,-9999,0.364114,1.64355,280.569,0.103361E-01,-0.692122E-01,0.348898E-01,0,59.4113,-9.01589,20.3940,50.7839,77.4486,108.623,162.737,-0.148561,1.00677,-2.53594,1.01238,190.632,1.10080,7.13204,1.10080,4.31246,1.10080,-0.194298E-02,1.17116,800000009,800000009,800000009,800000009,800011019,800011119,899999999,899999999,89999,89999,89,89,8,1,0,79,72,20,1,0,0,0,0,0,0,0,0,0,73,1.72039,1.30807,0.258637,0.632607E-01,12.4005,0.768967,0.563063E-07,-0.221813E-02,0.185635,0.112246,-0.194298E-05,14.7113,566.199,11.2000,376.346,14.4846,11.6991,72.1351,72.4212,71.8490,0.572224,0.284563E-03,-1.00000,0.00000,2.07445,293.566,95022.9,92.4544,1.00011,-287.968,9.00099,-273.150,143.000
