file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,air_t_mean,air_p_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,diag_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2023-11-14,13:00,318.541,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2023-11-14T130000_AIU-0547.ghg,2023-11-14,13:30,318.5624,1,18000,18000,-0.234783E-01,1,-4.21603,2,53.8201,1,0.692262,1,1.21061,1,-0.294996E-02,1,-9999,-9999,-9999,-9999,-9999,-0.999309E-10,-0.682593E-12,-0.529541E-12,16.6202,417.706,418.902,0.100000,0,113.527,2.85320,2.86137,0.200000,0,0.880719E-01,2.06320,2.06910,0.00000,1,287.348,287.088,96687.7,1.17205,1006.94,0.247085E-01,0.784472E-01,0.208085E-02,275.694,1587.30,0.177540E-02,17.3688,1311.60,262.670,1.93265,0.816891,0.297114,2.11913,-0.173927E-13,-0.601261E-14,2.11913,5.21121,310.901,22.9128,8.05975,-9999,0.141534,0.677167,57.1965,0.507024E-01,-0.783357E-01,0.252404E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.233156E-01,1.00698,-1.25915,1.01326,48.5323,1.10895,0.624248,1.10895,1.09166,1.10895,-0.460897E-02,1.18294,800000009,800000009,800000009,800000009,800000009,800100109,899999999,899999999,89999,89999,89,89,7,2,6,13,2,52,0,0,0,0,0,0,0,0,0,0,93,0.684403,0.546391,0.123541,0.453195E-01,0.236747,0.890323E-01,0.900259E-07,-0.106691E-02,0.154684E-01,0.270506E-01,-0.460897E-05,16.6212,113.515,10.8600,417.706,2.85270,-10.5815,94.6247,96.0361,93.2133,2.82287,0.279498E-03,-1.00000,0.00000,2.06995,288.209,96286.4,92.5986,1.00011,-273.150,9.00083,-273.150,143.000
2023-11-14T133000_AIU-0547.ghg,2023-11-14,14:00,318.5832,1,18000,18000,-0.433226E-01,1,-17.7860,1,68.7537,0,0.929976,0,1.54731,0,0.194153E-01,1,1.01037,-0.532695,-0.247989E-01,-0.119883E-01,-0.163537E-02,0.281971E-10,0.179754E-12,0.147815E-12,16.5576,417.307,418.420,0.100000,0,105.554,2.66030,2.66740,0.200000,0,0.867984E-01,2.03806,2.04350,-0.100000,0,287.863,287.621,96651.4,1.16952,1006.84,0.247621E-01,0.100265,0.193596E-02,256.974,1643.02,0.165534E-02,15.6403,1386.05,261.787,1.86244,0.828643,0.254178,2.05425,0.673024E-14,0.170297E-14,2.05425,5.53309,307.610,23.9854,7.10759,-9999,0.192465,0.753471,34.0838,0.850844E-01,-0.258691,0.784791E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.429749E-01,1.00809,-13.8762,1.01596,60.7571,1.13162,0.821813,1.13162,1.36734,1.13162,0.177675E-01,1.22121,800000009,800000009,800000009,800000009,800000119,800000119,899999999,899999999,89999,89999,89,89,2,16,4,5,23,67,0,0,0,0,0,0,0,0,0,0,93,0.783561,0.599182,0.124199,0.732876E-01,0.935083E-01,0.826567E-01,0.168461E-06,-0.117842E-01,0.204041E-01,0.339486E-01,0.177675E-04,16.5587,105.549,10.8992,417.307,2.65997,-11.4652,94.5831,95.9948,93.1713,2.82353,0.280621E-03,-1.00000,0.00000,2.04638,288.886,96262.4,92.0319,1.00016,-273.150,9.00116,-273.150,140.163
2023-11-14T140000_AIU-0547.ghg,2023-11-14,14:30,318.6040,1,18000,18000,-0.450809E-01,1,-7.39856,2,96.7770,1,1.07350,1,2.17856,1,0.188541E-02,1,0.529972,0.174034,0.182411E-01,0.391771E-02,-0.550762E-03,0.832924E-10,0.543199E-12,0.433891E-12,16.5708,417.601,418.742,0.100000,0,108.068,2.72342,2.73086,0.200000,0,0.863216E-01,2.02958,2.03513,0.00000,1,288.149,287.900,96621.1,1.16799,1006.88,0.247945E-01,0.141171,0.197931E-02,262.983,1672.97,0.169463E-02,15.7196,1409.98,262.077,2.34881,1.12184,0.339117,2.62497,0.119747E-13,0.502645E-14,2.62497,6.45198,307.361,25.5301,7.42273,-9999,0.196461,0.922106,87.1284,0.332842E-01,-0.764495E-01,0.320222E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.447738E-01,1.00686,-2.08138,1.01362,86.9592,1.11290,0.964596,1.11290,1.95755,1.11290,-0.186960E-02,1.18323,800000009,800000009,800000009,800000009,800000009,800000119,899999999,899999999,89999,89999,89,89,3,1,3,6,26,42,2,0,0,0,0,0,0,0,0,0,93,0.965717,0.716987,0.161507,0.495678E-01,0.108026,0.127743,0.904741E-08,-0.176983E-02,0.239820E-01,0.486689E-01,-0.186960E-05,16.5719,108.061,10.8937,417.601,2.72307,-11.2028,94.5890,96.0005,93.1774,2.82319,0.280138E-03,-1.00000,0.00000,2.03498,288.867,96246.9,92.2589,1.00018,-273.150,9.00119,-273.150,143.000
2023-11-14T143000_AIU-0547.ghg,2023-11-14,15:00,318.6249,1,18000,18000,-0.532154E-01,1,-11.6676,0,61.0643,0,0.692948,0,1.37472,0,0.265702E-02,0,0.138768,-0.125271,0.962788E-02,-0.282019E-02,0.220609E-04,0.147597E-09,0.946154E-12,0.767851E-12,16.5906,417.756,418.878,0.100000,0,106.352,2.67797,2.68516,0.200000,0,0.863098E-01,2.02992,2.03538,0.00000,1,288.218,287.974,96616.0,1.16766,1006.86,0.248018E-01,0.890821E-01,0.194571E-02,258.584,1680.89,0.166634E-02,15.3838,1422.31,261.866,1.09873,0.403701,0.197169,1.18704,0.872290E-15,0.889645E-14,1.18704,5.20401,311.303,20.1745,9.56124,-9999,0.213482,0.791632,70.8865,0.409105E-01,-0.191070,0.464874E-01,0,52.6491,-7.98970,18.0727,45.0036,68.6334,96.2593,144.214,-0.527870E-01,1.00812,-8.19981,1.01355,55.2745,1.10475,0.627246,1.10475,1.24438,1.10475,0.210537E-02,1.18692,800000009,800000009,800000009,800000009,800000119,800010119,899999999,899999999,89999,89999,89,89,4,3,4,39,26,51,9,0,0,0,0,0,0,0,0,0,93,0.959678,0.503321,0.120263,0.216098E-01,0.111553,0.108185,0.136895E-07,-0.697460E-02,0.155985E-01,0.309456E-01,0.210537E-05,16.5916,106.349,10.8800,417.756,2.67768,-11.4031,94.5995,96.0105,93.1885,2.82203,0.279862E-03,-1.00000,0.00000,2.03327,288.712,96237.9,92.1469,1.00018,-273.150,9.00120,-273.150,143.000
2023-11-14T150000_AIU-0547.ghg,2023-11-14,15:30,318.6457,1,18000,18000,-0.359700E-01,1,-13.2313,0,57.6594,0,1.28775,0,1.29805,0,0.944018E-03,0,-0.271452E-01,0.212049,-0.506194E-03,0.477374E-02,0.104771E-04,0.972942E-10,0.641622E-12,0.505623E-12,16.6096,417.748,418.902,0.100000,1,109.534,2.75491,2.76252,0.200000,0,0.863174E-01,2.03009,2.03569,-0.600000,0,288.211,287.959,96616.6,1.16769,1006.90,0.248010E-01,0.841138E-01,0.200167E-02,266.008,1679.34,0.171422E-02,15.8401,1413.33,262.220,0.946069,0.482582,0.184513,1.07795,-0.261430E-13,0.585772E-14,1.07795,3.58970,302.546,27.0257,9.85587,-9999,0.175512,0.474080,34.7364,0.834859E-01,-0.229474,0.641184E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.356546E-01,1.00885,-9.94369,1.01526,51.5903,1.11764,1.15220,1.11764,1.16142,1.11764,0.119905E-02,1.21098,800000009,800000009,800000009,800000009,800000119,800010119,899999999,899999999,89999,89999,89,89,5,4,1,37,0,32,4,0,0,0,0,0,0,0,0,0,93,0.614738,0.251407,0.820159E-01,0.126062E-01,0.161906,0.107608,0.253324E-08,-0.845734E-02,0.286546E-01,0.288839E-01,0.119905E-05,16.6106,109.521,10.8671,417.748,2.75438,-11.0440,94.6180,96.0284,93.2077,2.82074,0.279394E-03,-1.00000,0.00000,2.03172,288.525,96238.3,92.8579,1.00018,-273.150,9.00119,-273.150,143.000
2023-11-14T153000_AIU-0547.ghg,2023-11-14,16:00,318.6665,1,18000,18000,-0.303617E-01,0,0.628482,2,26.2621,1,1.07865,1,0.591244,1,-0.719248E-03,1,0.673761E-01,0.817126E-01,0.282139E-01,0.183961E-02,-0.119078E-04,-0.344410E-09,-0.229321E-11,-0.178528E-11,16.6476,418.203,419.371,0.300000,0,110.846,2.78455,2.79233,0.200000,0,0.862946E-01,2.02990,2.03557,0.00000,1,288.249,287.995,96630.6,1.16770,1006.92,0.248007E-01,0.383126E-01,0.202324E-02,268.907,1683.19,0.173267E-02,15.9760,1414.28,262.356,0.288286,0.266175,0.162372,0.424644,0.248191E-13,-0.206882E-13,0.424644,2.02467,290.075,42.7164,22.4807,-9999,0.161249,0.138353,-567.171,-0.511310E-02,0.239311E-01,-0.331490E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.296287E-01,1.02474,2.06046,1.02256,24.0464,1.09215,0.987644,1.09215,0.541360,1.09215,-0.240252E-02,1.15807,800000009,800000009,800000009,800000009,800000119,800100119,899999999,899999999,89999,89999,89,89,3,6,3,57,17,54,1,0,0,0,0,0,0,0,0,0,93,0.131374,0.102397,0.429353E-01,0.142325E-01,0.242293,0.691795E-01,0.617664E-08,0.175242E-02,0.245626E-01,0.134636E-01,-0.240252E-05,16.6487,110.846,10.8600,418.202,2.78435,-10.8845,94.6449,96.0568,93.2330,2.82380,0.279422E-03,-1.00000,0.00000,2.02968,288.364,96250.5,91.5923,1.00017,-273.150,9.00115,-273.150,143.000
2023-11-14T160000_AIU-0547.ghg,2023-11-14,16:30,318.6873,1,18000,18000,-0.324677E-01,1,-6.13426,1,40.0330,1,-0.824359,2,0.900482,1,0.702356E-02,1,-1.72852,1.35448,0.181359,0.304669E-01,-0.229614E-03,-0.115576E-09,-0.898567E-12,-0.594974E-12,16.7973,421.117,422.500,0.100000,1,130.594,3.27405,3.28481,0.100000,1,0.864713E-01,2.02638,2.03303,-0.300000,0,287.384,287.085,96636.2,1.17125,1007.16,0.247248E-01,0.583512E-01,0.238621E-02,316.148,1587.01,0.203732E-02,19.9210,1270.86,264.407,0.381501,0.328386,0.174424,0.532733,-0.191166E-13,-0.688060E-14,0.532733,1.50580,287.468,40.7210,19.1119,-9999,0.166495,0.183373,63.9733,0.453314E-01,-0.153230,0.312329E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.320890E-01,1.01180,-3.87273,1.01527,36.3222,1.10216,-0.747946,1.10216,0.817013,1.10216,0.564750E-02,1.18720,800000009,800000009,800000009,800000009,800000109,800000109,899999999,899999999,89999,89999,89,89,0,3,3,13,15,21,0,0,0,0,0,0,0,0,0,0,93,0.113392,0.234455,0.188993E-01,0.649055,7.65258,0.584790,0.697349E-07,-0.328298E-02,-0.185535E-01,0.202668E-01,0.564750E-05,16.7985,130.588,10.8208,421.115,3.27325,-9.03403,94.6795,96.0909,93.2681,2.82285,0.278982E-03,-1.00000,0.00000,2.02595,287.516,96264.1,91.4299,1.00015,-284.899,9.00101,-273.150,118.836
2023-11-14T163000_AIU-0547.ghg,2023-11-14,17:00,318.7082,0,18000,18000,-0.486069E-02,1,8.76015,1,-16.2236,2,-2.45532,1,-0.364189,2,0.832707E-04,2,-4.02663,4.73095,0.573525,0.106201,-0.248315E-03,-0.551552E-10,-0.636951E-12,-0.277908E-12,17.2725,430.270,432.418,0.200000,0,199.469,4.96889,4.99371,0.100000,1,0.870302E-01,2.02259,2.03269,0.00000,1,285.432,284.982,96628.5,1.17905,1008.03,0.245588E-01,-0.235994E-01,0.364592E-02,479.508,1382.87,0.309227E-02,34.6748,903.365,269.859,0.745006,0.164803,0.172180,0.782202,-0.763717E-14,-0.319323E-14,0.782202,1.37801,321.183,12.4736,12.7162,-9999,0.642072E-01,0.364136E-01,-2.56962,-1.12857,-0.539965,-0.114795,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.478651E-02,1.01550,7.74286,1.01661,-14.9323,1.08647,-2.25990,1.08647,-0.335202,1.08647,-0.150421E-02,1.15001,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,2,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93,0.277403E-01,0.374373E-01,0.764976E-02,0.336016,8.57519,0.623403,0.171217E-06,0.651473E-02,-0.557772E-01,-0.827322E-02,-0.150421E-05,17.2737,199.470,10.8231,430.267,4.96820,-3.48456,94.7950,96.2038,93.3862,2.81754,0.276769E-03,-1.00000,0.00000,2.01988,285.449,96261.8,91.8695,1.00016,-273.150,9.00103,-273.150,143.000
